hanzi,english_current,english_fixed,verdict,reason
乘车,to ride; to drive,"to ride in a vehicle, to take (a bus/train)",fix,'to drive' wrong; word = to ride/take a vehicle
倾诉,to say everything,"to pour out (one's feelings), to confide",fix,'to say everything' weak; real sense = pour out/confide
全身,the whole body; typography em,the whole body,fix,strip bogus 'typography em' sense
失落,to lose; to drop,"dejected, feeling a sense of loss; to lose, to drop",fix,add dominant sense 'feel a sense of loss / dejected'
开朗,spacious and well-lit; open and clear,"cheerful, optimistic; open and clear, spacious",fix,add dominant personality sense 'cheerful/optimistic'
恐龙,dinosaur; old ugly person,dinosaur,fix,strip internet slang 'old ugly person'
感性,perception; perceptual,"emotional, sensuous; perceptual (vs. rational)",fix,'perception; perceptual' deficient; real sense = emotional/sensuous
报社,newspaper,"newspaper office, newspaper publisher",fix,"报社 = newspaper office/publisher, not the paper (报纸)"
无不,none lacking; none missing,"invariably, without exception",fix,misread as 无缺; means 'invariably / all without exception'
朵,flower; earlobe,(classifier for flowers and clouds),fix,mislabeled; 朵 is a measure word for flowers/clouds
松,pine tree; relaxed,"pine tree; loose, slack; relaxed",fix,add omitted sense 'loose'
淘汰,to wash out,"to eliminate, to weed out; to phase out",fix,'to wash out' misleading; real sense = eliminate/weed out
潮流,tide; current,"trend, fashion; tide, current",fix,add dominant figurative sense 'trend/fashion'
相当,equivalent to; appropriate,"quite, fairly, considerably; to be equivalent to; appropriate",fix,add dominant adverbial sense 'quite/fairly'
视野,field of view,"field of view; vision, horizons",fix,add figurative sense 'vision/horizons'
闭幕,the curtain falls; lower the curtain,"to lower the curtain, to close (a performance); to conclude, to close (a meeting/event)",fix,add figurative closing-ceremony sense
隆重,grand; prosperous,"grand, ceremonious; solemn",fix,'prosperous' confuses with 兴隆; word = grand/ceremonious/solemn
不假思索,idiom to act without taking time to think,"without hesitation, without a second thought",fix,strip meta label 'idiom'
不已,used after a verb endlessly; incessantly,"endlessly, incessantly",fix,strip embedded grammar note 'used after a verb'
与众不同,idiom to stand out from the crowd,"unique, unlike others; standing out from the crowd",fix,strip meta label 'idiom'
争先恐后,idiom to compete to be first,"to scramble to be first, to vie to be ahead",fix,strip meta label 'idiom'
争分夺秒,lit; making every second count,"to race against time, to make every second count",fix,strip meta label 'lit;'
亲,parent; one's own,"close, dear; relative, kin; one's own",fix,'parent' too narrow; word = dear / blood relation / one's own
侧面,lateral side; side,"side, lateral side; aspect, facet",fix,add figurative sense 'aspect'
偏偏,contrary to expectations; just,"contrary to expectations, as luck would have it; of all things, precisely",fix,clarify vague 'just'; 偏偏 = contrary to expectations / of all things
入门,entrance door; to enter a door,"to get started, to learn the basics; introduction, primer",fix,mis-parsed as 'enter a door'; real sense = get started / learn basics
创伤,wound; injury,"wound, injury; trauma (psychological)",fix,add psychological-trauma sense
即可,equivalent to; can then,"and that will do, will suffice; then it is fine",fix,'equivalent to' wrong; means '...and that will do'
咱,I or me; we,I or me; we,keep,current already carries both 'I/me' and 'we' facets; note is over-cautious
地道,tunnel; causeway,"authentic, genuine; tunnel, underground passage",fix,add dominant sense 'authentic/genuine'; 'causeway' wrong
大片,wide expanse; large area,"blockbuster (film); large expanse, wide area",fix,add dominant modern sense 'blockbuster (film)'
引领,to crane one's neck; to await eagerly,"to lead, to guide; to usher",fix,add common modern sense 'to lead/guide'
恭维,to compliment; to praise,"to flatter, to compliment (often insincerely)",fix,add flattery connotation
手臂,arm; assistant,arm,fix,drop questionable sense 'assistant'
教养,to educate; to bring up,"upbringing, breeding, good manners; to educate, to bring up",fix,add noun sense 'good manners/breeding'
新生,new; newborn,"newborn, new life; new student, freshman",fix,add omitted sense 'new student/freshman'
桩,stump; stake,"stake, pile, post; (classifier for matters/affairs)",fix,'stump' rare; add measure-word sense
欣欣向荣,idiom flourishing; thriving,"flourishing, thriving; prosperous",fix,strip meta label 'idiom'
正宗,orthodox school,"authentic, genuine; orthodox, original",fix,'orthodox school' archaic; word = authentic/original
流程,course; stream,"process, workflow; procedure",fix,'course; stream' wrong; word = process/workflow
深入人心,to win people's hearts,"deeply rooted in people's hearts, widely accepted",fix,'win people's hearts' imprecise; means deeply rooted in hearts
生成,to generate; to be born with,"to generate, to form, to produce",fix,drop dubious sense 'to be born with'
看好,to keep an eye on,"to be optimistic about, to be bullish on (prospects)",fix,kànhǎo = be optimistic/bullish; 'keep an eye on' is the kānhāo reading
私自,private; personal,"on one's own, without authorization, privately",fix,"adverbial 'on one's own / unauthorized', not 私人"
窘迫,poverty-stricken; very poor,"embarrassed, awkward; hard-pressed, in dire straits",fix,"mainly embarrassed / hard-pressed, not only 'poor'"
绝缘,to have no contact with; to be cut off from,to insulate; insulation; to be cut off from,fix,add dominant technical 'insulate/insulator' sense
见义勇为,"idiom, from the Analects to step in and help","to act bravely for a just cause, to stand up for what is right",fix,fix garbled gloss; sense = act bravely for what is right
质地,texture; background,"texture, quality (of material); grain",fix,'background' not a standard sense of 质地
贯通,to link up; to thread together,"to link up, to thread together; to master thoroughly",fix,add '融会贯通 = understand thoroughly' sense
贴切,close-fitting; closest,"apt, fitting, appropriate (esp. of wording)",fix,'close-fitting/closest' wrong; word = apt/fitting
赶到,to hurry,"to hurry to, to rush over and arrive",fix,'to hurry' incomplete; 赶到 = hurry AND arrive
踊跃,to leap; to jump,"eagerly, enthusiastically; to leap, to jump",fix,add dominant modern sense 'eagerly/enthusiastically'
迎来,to welcome,"to usher in, to welcome (an era or event)",fix,add 'usher in (era/event)' sense
门槛,doorstep; sill,"threshold, doorstep; barrier to entry, qualifying bar",fix,add figurative sense 'threshold/barrier'
青蛙,frog; old ugly guy,frog,fix,strip derogatory internet slang 'old ugly guy'
频道,frequency; television channel,channel (TV or radio),fix,'frequency' is 频率; 频道 = channel
风采,svelte; elegant manner,"elegant bearing, graceful demeanor; charisma",fix,'svelte' bogus; word = elegant bearing/presence
饭碗,rice bowl,"rice bowl; job, livelihood",fix,add figurative sense 'job/livelihood'
