hanzi,pinyin,english,thai_current,freq,level
小心翼翼,xiǎo xīn yì yì,idiom cautious; careful,ระมัดระวังอย่างระวัง,1,6
小朋友,xiǎo péng yǒu,child; kid,เด็ก,1,3
小看,xiǎo kàn,to look down on; to underestimate,ดูหมิ่น,1,4
小贩,xiǎo fàn,peddler; hawker,พ่อค้าเร่ร้าน,1,6
小路,xiǎo lù,minor road; lane,ทางเล็ก,1,6
小麦,xiǎo mài,wheat,ข้าวสาลี,1,6
少女,shào nǚ,girl; young lady,สาวน้อย,1,6
少见,shǎo jiàn,rare; seldom seen,หายากเห็น,1,3
少量,shǎo liàng,a smidgen; a little bit,จำนวนน้อย,1,6
尖,jiān,pointed; tapering,แหลม,1,5
尖端,jiān duān,sharp pointed end; the tip,ปลายแหลม,1,6
尚,shàng,still; yet; even,ยัง,1,6
就医,jiù yī,to receive medical treatment,รับการรักษา,1,6
就是说,jiù shì shuō,in other words; that is,กล่าวอีกนัยว่า,1,6
尽力,jìn lì,to strive one's hardest,พยายามเต็มที่,1,5
尽头,jìn tóu,end; extremity,ปลาย,1,6
尽早,jǐn zǎo,as early as possible,เร็วที่สุด,1,6
局限,jú xiàn,to limit; to confine,จำกัด,1,6
局面,jú miàn,aspect; phase,สถานการณ์,1,5
层出不穷,céng chū bù qióng,more and more emerge; innumerable succession,ออกมาเรื่อยๆไม่รู้จบ,1,6
屏幕,píng mù,screen,จอภาพ,1,5
展开,zhǎn kāi,to unfold; to spread out,คลี่คลาย,1,5
展览会,zhǎn lǎn huì,exhibition; show,นิทรรศการ,1,6
属,shǔ,category; genus,หมวดหมู่,1,5
屡次,lǚ cì,repeatedly; time and again,หลายครั้ง,1,5
山谷,shān gǔ,valley; ravine,หุบเขา,1,5
山路,shān lù,mountain road,เส้นทางภูเขา,1,3
岁月,suì yuè,years; time,เวลา,1,6
岗位,gǎng wèi,a post; a job,ตำแหน่ง,1,6
岛屿,dǎo yǔ,island,เกาะ,1,6
岩石,yán shí,geology rock,หิน,1,5
岸,àn,bank; shore,ชายฝั่ง,1,5
崇拜,chóng bài,to worship; adoration,บูชา,1,6
崛起,jué qǐ,to rise abruptly; to tower over,ลุกขึ้น,1,6
崭新,zhǎn xīn,brand new,ใหม่สะวะ,1,6
川流不息,chuān liú bù xī,the stream flows without stopping,ไหลอย่างไม่หยุด,1,6
工业,gōng yè,industry,อุตสาหกรรม,1,5
工作日,gōng zuò rì,workday; working day,วันทำงาน,1,4
工序,gōng xù,working procedure; process,กระบวนการทำงาน,1,6
工整,gōng zhěng,fine work; carefully and neatly done,งานเรียบร้อย,1,6
差距,chā jù,disparity; gap,ช่องว่าง,1,5
布,bù,to announce; to spread,ประกาศ,1,6
布满,bù mǎn,to be covered with; to be filled with,เต็มไปด้วย,1,6
布置,bù zhì,to arrange; to set up,จัดเรียง,1,6
师傅,shī fù,master; qualified worker,ช่างฝีมือ,1,4
带动,dài dòng,to spur; to provide impetus,ขับเคลื่อน,1,6
常人,cháng rén,ordinary person,คนธรรมดา,1,4
常理,cháng lǐ,common sense; normal reasoning,เหตุผลทั่วไป,1,6
常识,cháng shí,common sense; general knowledge,"สามัญสำนึก, ความรู้ทั่วไป",1,5
幢,chuáng,banner; pennant,"ธง, ธงชัย",1,6
平和,píng hé,gentle; mild,"อ่อนโยน, ใจเย็น",1,6
平坦,píng tǎn,level; even,เรียบ,1,5
平常心,píng cháng xīn,levelheadedness; calmness,จิตใจปกติ,1,6
平方米,píng fāng mǐ,square meter,ตารางเมตร,1,5
平民,píng mín,ordinary people; commoner,ราษฎรธรรมดา,1,6
平等,píng děng,equal; equality,เท่าเทียม,1,5
年度,nián dù,year; annual,ประจำปี,1,6
年画,nián huà,New Year picture,ภาพปีใหม่,1,6
幸亏,xìng kuī,fortunately; luckily,โชคดี,1,5
幸好,xìng hǎo,fortunately,โชคดี,1,5
幼稚,yòu zhì,young; childish,เด็กเก็กและช่างช้อม,1,6
广场,guǎng chǎng,public square; plaza,จัตุรัส,1,5
庆幸,qìng xìng,to rejoice; to be glad,ยินดี,1,6
序,xù,order; sequence,ลำดับ,1,6
应有尽有,yīng yǒu jìn yǒu,to have everything one needs,มีทุกอย่างที่ต้องการ,1,6
应邀,yìng yāo,at someone's invitation; on invitation,ได้รับการเชิญชวน,1,6
应酬,yìng chóu,to engage in social activities; dinner party,การสังสรรค์ทางสังคม,1,6
底下,dǐ xià,the location below something; afterwards,ด้านล่าง,1,4
庞大,páng dà,huge; enormous,ใหญ่โตมหาศาล,1,6
废墟,fèi xū,ruins,ซากปรักหักพัง,1,6
废物,fèi wù,rubbish; waste material,ขยะเสีย,1,6
度假,dù jià,to go on holidays; to spend one's vacation,พักผ่อน,1,6
庸俗,yōng sú,vulgar; tacky,"หยาบคาย, ไม่มีรสนิยม",1,6
建成,jiàn chéng,to establish; to build,สร้างเสร็จ,1,5
开业,kāi yè,to open a business; to open a practice,เปิดธุรกิจ,1,5
开创,kāi chuàng,to initiate; to start,เริ่มก่อตั้ง,1,6
开头,kāi tóu,beginning; to start,เริ่มต้น,1,6
开学,kāi xué,(school) term begins,เปิดปีการศึกษา,1,4
开展,kāi zhǎn,to launch; to develop,เปิดกว้าง,1,6
开张,kāi zhāng,to open for business,เปิดกิจการ,1,5
开支,kāi zhī,expenditures; expenses,ค่าใช้จ่าย,1,6
开水,kāi shuǐ,boiled water; boiling water,น้ำเดือด,1,5
开设,kāi shè,to offer; to open,เปิดให้บริการ,1,6
异性,yì xìng,the opposite sex; of the opposite sex,เพศตรงข้าม,1,6
弊端,bì duān,systemic problem,"ปัญหาเชิงระบบ, ข้อบกพร่อง",1,6
引人注目,yǐn rén zhù mù,to attract attention; eye-catching,ดึงความสนใจ,1,6
引领,yǐn lǐng,to crane one's neck; to await eagerly,นำทาง,1,6
弥漫,mí màn,to pervade; to fill the air,แพร่กระจาย,1,6
弯,wān,to bend; bent,โค้ง,1,5
强劲,qiáng jìng,strong; powerful,แรง,1,6
归,guī,to return; to go back,กลับ,1,5
归根到底,guī gēn dào dǐ,after all; in the final analysis,ที่สุดแล้ว,1,6
归纳,guī nà,to sum up; to summarize,สรุป,1,5
归还,guī huán,to return something; to revert,คืนให้,1,6
当下,dāng xià,immediately; at once,ในขณะนี้,1,5
当中,dāng zhōng,among; in the middle,ตรงกลาง,1,4
当代,dāng dài,the present age; the contemporary era,ยุคสมัยปัจจุบัน,1,6
当场,dāng chǎng,at the scene; on the spot,ณ ที่เหตุการณ์เกิด,1,5
当天,dàng tiān,on that day,ในวันเดียวกัน,1,4
当年,dāng nián,in those days; back then,ในสมัยนั้น,1,5
当成,dàng chéng,to consider as; to take to be,ถือว่า,1,6
录,lù,to record,บันทึก,1,6
录制,lù zhì,to record,บันทึก,1,5
录音,lù yīn,to record sound; an audio recording,บันทึกเสียง,1,5
录音机,lù yīn jī,tape recording machine; tape recorder,เครื่องบันทึกเสียง,1,5
形态,xíng tài,shape; form,รูปร่าง,1,5
彩票,cǎi piào,lottery ticket,ตั๋วสลากกินแบ่ง,1,6
彩色,cǎi sè,color; multicolored,สีสัน,1,5
影星,yǐng xīng,film star,ดาราซิเนมา,1,6
影片,yǐng piàn,a copy of a film; film,ภาพยนตร์,1,5
往后,wǎng hòu,from now on; in the future,ต่อจากนี้ไป,1,6
往来,wǎng lái,dealings; contacts,"การไปมาหาสู่, การติดต่อ",1,5
征,zhēng,journey; trip,การเดินทาง,1,5
征求,zhēng qiú,to solicit; to seek,ขออนุมัติ,1,5
征集,zhēng jí,to collect; to recruit,เก็บรวบรวม,1,6
很难说,hěn nán shuō,hard to say,เป็นการยากที่จะบอก,1,4
徐徐,xú xú,slowly; gently,ค่อยๆ,1,6
得以,dé yǐ,able to; so that someone can,สามารถ,1,5
得分,dé fēn,to score a point; score,ได้คะแนน,1,6
微不足道,wēi bù zú dào,idiom negligible; insignificant,เล็กน้อย,1,6
微妙,wēi miào,subtle,บดบาง,1,6
心事,xīn shì,a load on one's mind; worry,ความวิตกกังวล,1,5
心声,xīn shēng,heartfelt wish; inner voice,ความคิดเห็น,1,6
心思,xīn sī,mind; thoughts,ความคิด,1,5
心愿,xīn yuàn,cherished desire; dream,ความปรารถนา,1,5
心爱,xīn ài,beloved,ที่รัก,1,6
心疼,xīn téng,to love dearly; to feel sorry for someone,เห็นใจ,1,5
心脏病,xīn zàng bìng,heart disease,โรคหัวใจ,1,6
心酸,xīn suān,to feel sad,เศร้าใจ,1,5
心里话,xīn lǐ huà,one's true feelings; inner thoughts,ความในใจ,1,5
必要,bì yào,necessary; essential,จำเป็น,1,6
忍受,rěn shòu,to bear; to endure,อดทน,1,6
忧郁,yōu yù,sullen; depressed,เศร้า,1,6
快递,kuài dì,express delivery,บริการส่งด่วน,1,5
快餐,kuài cān,fast food; snack,อาหารสำเร็จรูป,1,6
念念不忘,niàn niàn bù wàng,to keep in mind constantly,ไม่ลืมเลย,1,5
怀念,huái niàn,to cherish the memory of; to think of,"คิดถึง, รำลึกถึง",1,5
怀抱,huái bào,to hug; to cherish,กอด,1,6
怀着,huái zhe,harboring (a feeling),ด้วย,1,6
思念,sī niàn,to think of; to long for,คิดถึง,1,5
思索,sī suǒ,to think deeply; to ponder,คิดหมกมุ่น,1,6
怠慢,dài màn,to slight; to neglect,ดูถูก,1,6
急于,jí yú,eager to; in a hurry to,รีบร้อนที่จะ,1,5
急性,jí xìng,acute,เฉียบพลัน,1,6
急需,jí xū,to urgently need; urgent need,ต้องการด่วน,1,6
性价比,xìng jià bǐ,cost-performance ratio,อัตราส่วนราคาต่อประสิทธิภาพ,1,6
性能,xìng néng,function; performance,สมรรถนะ,1,6
性质,xìng zhì,nature; characteristic,"ลักษณะ, คุณสมบัติ",1,5
怨言,yuàn yán,complaint,บ่นร้อง,1,6
恋爱,liàn ài,romantic love; in love,"ความรัก, มีความรัก",1,6
恍然大悟,huǎng rán dà wù,idiom to suddenly realize,เข้าใจโดยกะทันหัน,1,5
恐怖,kǒng bù,terrible; frightful,ร้ายแรง,1,5
恐慌,kǒng huāng,panic; panicky,ตื่นตกใจ,1,5
恭维,gōng wéi,to compliment; to praise,ชื่นชม,1,6
息息相关,xī xī xiāng guān,closely bound up; intimately related,เกี่ยวพันกันอย่างใกล้ชิด,1,5
恰巧,qià qiǎo,by chance; as chance would have it,บังเอิญ,1,6
恰恰,qià qià,exactly; just,พอดี,1,6
恳求,kěn qiú,to beg; to beseech,"วิงวอน, อ้อนวอน",1,5
恶化,è huà,to worsen,เลวลง,1,6
悬,xuán,to hang or suspend; to worry,แขวน,1,6
悲剧,bēi jù,tragedy,เรื่องเศร้า,1,6
情侣,qíng lǚ,sweethearts; lovers,คู่รัก,1,6
惊,jīng,to startle; to be frightened,ตกใจ,1,5
惊人,jīng rén,astonishing,"น่าทึ่ง, น่าตกใจ",1,5
惊叹,jīng tàn,to exclaim in admiration; a gasp of surprise,อุทานด้วยความทึ่ง,1,5
惊喜,jīng xǐ,nice surprise; to be pleasantly surprised,"ดีใจปนประหลาดใจ, เซอร์ไพรส์",1,5
