hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
恐惧,kǒng jù,to be frightened; fear,"กลัว, สยอง",5,6,"กลัว, หวาดกลัว",
悲观,bēi guān,pessimistic,มองโลกในแง่ร้าย,5,5,มองโลกในแง่ร้าย,
情形,qíng xíng,circumstances; situation,"สถานการณ์, ภาวะ",5,5,"สถานการณ์, ภาวะ",
情节,qíng jié,circumstances; plot,"โครงเรื่อง, เนื้อเรื่อง",5,6,"โครงเรื่อง, เนื้อเรื่อง",
意外,yì wài,unexpected; accident,"ไม่คาดคิด, เหตุอุบัติ",5,5,ไม่คาดคิด; อุบัติเหตุ,
愿望,yuàn wàng,desire; wish,"ความปรารถนา, ความหวัง",5,5,"ความปรารถนา, ความหวัง",
慢慢,màn màn,slowly; gradually,"ช้าๆ, ค่อยๆ",5,3,"ช้าๆ, ค่อยๆ",
成立,chéng lì,to establish; to set up,"ก่อตั้ง, จัดตั้ง",5,5,"ก่อตั้ง, จัดตั้ง",
戴,dài,"to wear (hat, glasses, etc.)",สวม(แว่น/หมวก/ถุงมือ),5,4,สวม(แว่น/หมวก/ถุงมือ),
手段,shǒu duàn,method; way,"วิธีการ, กลวิธี",5,5,"วิธีการ, กลวิธี",
打发,dǎ fā,to send away; to dismiss,"ส่งตัว, บังคับออก",5,6,"ไล่ไป, ส่งให้ไปทำธุระ",EN-GLOSS-BUG: EN omits very common 打发时间 = 'to pass/kill time' (ฆ่าเวลา); thai_current ส่งตัว/บังคับออก mis-rendered the sense
扩展,kuò zhǎn,to extend; to expand,"ขยาย, แผ่ขยาย",5,6,"ขยาย, แผ่ขยาย",
批准,pī zhǔn,to approve; to ratify,อนุมัติ,5,5,อนุมัติ,
承担,chéng dān,to undertake; to assume,"รับผิดชอบ, แบกรับ",5,5,"รับผิดชอบ, แบกรับ",
抑制,yì zhì,to inhibit; to keep down,"กดดัน, ยับยั้ง",5,6,"ยับยั้ง, ระงับ",กดดัน (to pressure) is the wrong sense for inhibit/suppress
抓,zhuā,to grab; to catch,"คว้า, จับ",5,5,"คว้า, จับ",
抬,tái,to lift; to raise,"ยก, หาม",5,4,"ยก, หาม",
持续,chí xù,to continue; to persist,"ต่อเนื่อง, ดำเนินต่อไป",5,5,"ต่อเนื่อง, ดำเนินต่อไป",
指导,zhǐ dǎo,to guide; to direct,"แนะนำ, ชี้แนะ",5,5,"แนะนำ, ชี้แนะ",
挖,wā,to dig; to excavate,ขุด,5,5,ขุด,
捕,bǔ,to catch; to seize,จับ,5,5,จับ,
损害,sǔn hài,harm; to damage,"ทำลาย, ก่อความเสียหาย",5,5,"ทำลาย, ก่อความเสียหาย",
据说,jù shuō,it is said that; reportedly,"เล่าว่า, ว่ากันว่า",5,5,"เล่าว่า, ว่ากันว่า",
措施,cuò shī,measure; step,มาตรการ,5,5,มาตรการ,
撞,zhuàng,to knock against; to bump into,"ชน, กระแทก",5,5,"ชน, กระแทก",
播放,bō fàng,to broadcast; to transmit,ออกอากาศ,5,5,ออกอากาศ,
收益,shōu yì,earnings; profit,"รายได้, ผลกำไร",5,6,"รายได้, ผลกำไร",
故,gù,happening; instance,"เหตุการณ์, ความ",5,5,"สาเหตุ, เหตุ",EN-GLOSS-BUG: EN 'happening; instance' does not match 故 (reason/cause 缘故; therefore; former/old; deliberately)
效率,xiào lǜ,efficiency,ประสิทธิภาพ,5,5,ประสิทธิภาพ,
教训,jiào xùn,to provide guidance; a talking-to,"บทเรียน, ข้อเตือน",5,5,บทเรียน; ดุด่าสั่งสอน,EN-GLOSS-BUG: 教训 is usually negative (to teach a harsh lesson / scold); EN 'to provide guidance' softens it
数,shù,number; figure,"จำนวน, ตัวเลข",5,4,"จำนวน, ตัวเลข",
文明,wén míng,civilized; civilization,"วัฒนธรรม, อารยะ",5,5,เจริญ; อารยธรรม,วัฒนธรรม = culture; 文明 = civilization/civilized
无奈,wú nài,to have no alternative; frustrated,"จำใจ, ไม่มีทางเลือก",5,5,"จำใจ, ไม่มีทางเลือก",
星星,xīng xīng,a star; the stars in the sky,ดาว,5,4,ดาว,
景色,jǐng sè,scenery; landscape,"ทิวทัศน์, ทัศนียภาพ",5,4,"ทิวทัศน์, ทัศนียภาพ",
晴,qíng,clear; fine,(ท้องฟ้า)แจ่มใส,5,2,(ท้องฟ้า)แจ่มใส,
晴天,qíng tiān,clear sky; sunny day,วันที่อากาศแจ่มใส,5,2,วันที่อากาศแจ่มใส,
智力,zhì lì,intelligence; intellect,สติปัญญา,5,6,สติปัญญา,
替,tì,to substitute for; to take the place of,"แทน, ทดแทน",5,4,"แทน, ทดแทน",
最初,zuì chū,first; primary,"เริ่มแรก, ตอนแรก",5,6,"เริ่มแรก, ตอนแรก",
月底,yuè dǐ,end of the month,สิ้นเดือน,5,4,สิ้นเดือน,
有害,yǒu hài,destructive; harmful,"เป็นอันตราย, มีโทษ",5,5,"เป็นอันตราย, มีโทษ",
有意思,yǒu yì si,interesting; meaningful,น่าสนใจ,5,2,น่าสนใจ,
有所,yǒu suǒ,somewhat; to some extent,"ค่อนข้าง, บ้าง",5,5,"ค่อนข้าง, บ้าง",
朝着,cháo zhe,towards,"หันไป, มุ่งสู่",5,5,"หันไป, มุ่งสู่",
期,qī,period; cycle,"งวด, ช่วง",5,6,"งวด, ช่วง",
期间,qī jiān,period of time; time,"ช่วงเวลา, ระหว่าง",5,5,"ช่วงเวลา, ระหว่าง",
机制,jī zhì,mechanism,กลไก,5,6,กลไก,
机械,jī xiè,machine; machinery,"เครื่องจักร, เครื่องกล",5,6,"เครื่องจักร, เครื่องกล",
杯,bēi,cup; trophy cup,ลักษณนาม(แก้ว/ถ้วย),5,2,แก้ว; ถ้วยรางวัล,thai_current gave only the classifier; EN 'cup; trophy cup' are the noun senses
某,mǒu,some; a certain,"บาง..., ...หนึ่ง",5,5,"บาง..., ...หนึ่ง",
根,gēn,root; basis,"รากฐาน, ต้น",5,5,"รากฐาน, ต้น",
桥梁,qiáo liáng,bridge,สะพาน,5,6,สะพาน,
检查,jiǎn chá,inspection; to examine,"ตรวจสอบ, ตรวจ",5,3,"ตรวจสอบ, ตรวจ",
此外,cǐ wài,besides,นอกจากนี้,5,5,นอกจากนี้,
比例,bǐ lì,proportion; scale,"สัดส่วน, อัตราส่วน",5,5,"สัดส่วน, อัตราส่วน",
比喻,bǐ yù,to compare; to liken to,"อุปมา, เปรียบเปรย",5,5,"อุปมา, เปรียบเปรย",
水利,shuǐ lì,water conservancy; irrigation works,วิศวกรรมน้ำ,5,6,"ชลประทาน, การชลประทาน",
水源,shuǐ yuán,water source; water supply,"แหล่งน้ำ, น้ำบาดาล",5,5,"แหล่งน้ำ, ต้นน้ำ","น้ำบาดาล = groundwater, too specific"
求学,qiú xué,to pursue one's studies; to attend school,เรียนหนังสือ,5,6,เรียนหนังสือ,
池塘,chí táng,pool; pond,"สระน้ำ, บ่อน้ำ",5,5,"สระน้ำ, บ่อน้ำ",
沉,chén,to sink; heavy,จม; หนัก,5,6,จม; หนัก,
沙漠,shā mò,desert,ทะเลทราย,5,5,ทะเลทราย,
没什么,méi shén me,it doesn't matter; think nothing of it,"ไม่มีอะไร, ไม่เป็นไร",5,3,"ไม่มีอะไร, ไม่เป็นไร",
没关系,méi guān xì,it doesn't matter,ไม่เป็นไร,5,1,ไม่เป็นไร,
洞,dòng,cave; hole,"ถ้ำ, หลุม",5,5,ถ้ำ; รู,
派,pài,group; to send,"สถาบัน, นิกาย",5,5,ฝ่าย(กลุ่ม); ส่งไป,thai_current สถาบัน/นิกาย missed the 'to send/dispatch' sense (ส่ง)
流传,liú chuán,to spread; to circulate,"เผยแพร่, สืบทอดกันมา",5,5,"เผยแพร่, สืบทอดกันมา",
海底,hǎi dǐ,seabed; seafloor,ก้นทะเล,5,4,ก้นทะเล,
深处,shēn chù,abyss; depths,"ที่ลึก, สระลึก",5,5,"ส่วนลึก, ที่ลึก",thai_current สระลึก is not correct Thai
深深,shēn shēn,deep; profound,อย่างลึกซึ้ง,5,6,อย่างลึกซึ้ง,
温室,wēn shì,greenhouse,เรือนกระจก,5,6,เรือนกระจก,
源泉,yuán quán,fountainhead; well-spring,"แหล่งกำเนิด, บ่อเกิด",5,6,"แหล่งกำเนิด, บ่อเกิด",
灯,dēng,lamp; light,"โคม, ไฟ",5,4,"โคม, ไฟ",
灿烂,càn làn,to glitter; brilliant,สวยงามเจิดจ้า,5,6,สวยงามเจิดจ้า,
烧,shāo,to burn; to set on fire,"เผา, ไหม้, ต้ม",5,5,"เผา, ไหม้; ต้ม",
热量,rè liàng,heat; quantity of heat,"ความร้อน, แคลอรี",5,4,ความร้อน; แคลอรี,
牙,yá,tooth; ivory,ฟัน,5,3,ฟัน; งาช้าง,EN 'ivory' sense (象牙) was missing
状况,zhuàng kuàng,condition; state,"สภาพ, สถานการณ์",5,5,"สภาพ, สถานการณ์",
独立,dú lì,independent; independence,"เป็นอิสระ, อิสระ",5,5,เป็นอิสระ; ความเป็นอิสระ,
现实,xiàn shí,reality; actuality,"ความเป็นจริง, สภาพจริง",5,5,"ความเป็นจริง, สภาพจริง",
生存,shēng cún,to exist; to survive,"มีชีวิต, ดำรงชีวิต",5,5,"มีชีวิต, ดำรงชีวิต",
生日,shēng rì,birthday,วันเกิด,5,2,วันเกิด,
由此,yóu cǐ,hereby; from this,"จากนี้, ดังนั้น",5,5,จากนี้; ดังนั้น,
男朋友,nán péng yǒu,boyfriend,"แฟน(หนุ่ม), แฟนผู้ชาย",5,2,"แฟน(หนุ่ม), แฟนผู้ชาย",
画儿,huà ér,picture; drawing,"ภาพวาด, ลายเส้น",5,3,"ภาพวาด, ลายเส้น",
盯,dīng,to stare at; to watch closely,"จ้อง, เพ่งมอง",5,5,"จ้อง, เพ่งมอง",
相关,xiāng guān,related; relevant,"เกี่ยวข้อง, สัมพันธ์",5,5,"เกี่ยวข้อง, สัมพันธ์",
真理,zhēn lǐ,truth,ความจริง,5,5,ความจริง,
硬,yìng,hard; stiff,"แข็ง, เกร็ง",5,4,"แข็ง, เกร็ง",
社交,shè jiāo,interaction; social contact,การเข้าสังคม,5,6,การเข้าสังคม,
票价,piào jià,ticket price; fare,ราคาตั๋ว,5,4,ราคาตั๋ว,
秋天,qiū tiān,autumn,ฤดูใบไม้ร่วง,5,3,ฤดูใบไม้ร่วง,
种类,zhǒng lèi,kind; genus,"ชนิด, ประเภท",5,5,"ชนิด, ประเภท",
秒,miǎo,second (time),วินาที,5,4,วินาที,
空中,kōng zhōng,in the sky; in the air,"ท้องฟ้า, อากาศ",5,6,"บนท้องฟ้า, กลางอากาศ",
突出,tū chū,prominent; outstanding,"โดดเด่น, เด่นชัด",5,5,"โดดเด่น, เด่นชัด",
突破,tū pò,to break through; to make a breakthrough,"ทะลุทะลวง, ก้าวข้าม",5,6,"ทะลุทะลวง, ก้าวข้าม",
窄,zhǎi,narrow; narrow-minded,แคบ,5,4,แคบ; ใจแคบ,
竟,jìng,unexpectedly; actually,"กลับ, ถึงกับ",5,5,"กลับ, ถึงกับ",
箱子,xiāng zi,suitcase; chest,"กระเป๋า, ลังขนของ",5,4,กระเป๋าเดินทาง; ลัง,
纷纷,fēn fēn,one after another; in succession,"กันเป็นทิวแถว, ทยอยกัน",5,5,"กันเป็นทิวแถว, ทยอยกัน",
组成,zǔ chéng,to form; to make up,ประกอบเป็น,5,4,ประกอบเป็น,
细致,xì zhì,delicate; fine,"ละเอียดลออ, ประณีต",5,5,"ละเอียดลออ, ประณีต",
结实,jiē shi,sturdy; strong; solid,แข็งแรง; ทนทาน,5,5,แข็งแรง; ทนทาน,
美妙,měi miào,beautiful; wonderful,"งดงาม, ไพเราะ",5,5,"งดงาม, ไพเราะ",
聚会,jù huì,party; gathering,"งานสังสรรค์, การรวมตัว",5,4,"งานสังสรรค์, การรวมตัว",
肯,kěn,to agree; to consent,"ยินยอม, เต็มใจ",5,6,"ยินยอม, เต็มใจ",
肺,fèi,lung,ปอด,5,5,ปอด,
腿,tuǐ,leg,ขา,5,3,ขา,
自觉,zì jué,to realize; responsible,รู้สึกตัว,5,5,รู้ตัว; มีจิตสำนึก,
节日,jié rì,holiday; festival,"วันหยุด, เทศกาล",5,3,"วันหยุด, เทศกาล",
若,ruò,if; like,"ถ้าหาก, ดุจ",5,5,ถ้าหาก; ดุจ,
草原,cǎo yuán,grassland; prairie,"ทุ่งหญ้า, ทุ่งนา",5,5,ทุ่งหญ้า,"fixed: current ทุ่งนา means paddy/farmland, wrong for grassland"
菜单,cài dān,menu,เมนู,5,3,เมนู,
薄,báo,thin; cold in manner,"บาง, เย็นชา",5,6,บาง; เย็นชา,
虎,hǔ,tiger,เสือ,5,6,เสือ,
行业,háng yè,trade; profession,"อุตสาหกรรม, ธุรกิจ",5,5,"อุตสาหกรรม, ธุรกิจ",
行李,xíng lǐ,luggage,"สัมภาระ, กระเป๋าเดินทาง",5,3,"สัมภาระ, กระเป๋าเดินทาง",
表格,biǎo gé,form; table,"แบบฟอร์ม, ตาราง",5,4,"แบบฟอร์ม, ตาราง",
裂,liè,to split; to crack,แตก,5,6,แตก,
觉,jué,to feel; to find that,รู้สึก,5,4,รู้สึก,
认可,rèn kě,to approve; approval,"ยอมรับ, เห็นชอบ",5,5,"ยอมรับ, เห็นชอบ",
证实,zhèng shí,to confirm; to verify,"ยืนยัน, พิสูจน์",5,6,"ยืนยัน, พิสูจน์",
诱饵,yòu ěr,bait,อาหารหลอก,5,6,เหยื่อ,current อาหารหลอก is unnatural; เหยื่อ is the real Thai for bait
调,diào,to transfer; to move,ย้าย,5,5,ย้าย,
谦虚,qiān xū,modest; self-effacing,ถ่อมตน,5,5,ถ่อมตน,
负担,fù dān,to bear; burden,ภาระ,5,5,ภาระ; แบกรับ,
财富,cái fù,wealth; riches,"ความมั่งคั่ง, ทรัพย์สมบัติ",5,6,"ความมั่งคั่ง, ทรัพย์สมบัติ",
贷款,dài kuǎn,a loan; to provide a loan,"เงินกู้, สินเชื่อ",5,5,"เงินกู้, สินเชื่อ",
赏,shǎng,to reward; to appreciate,"มอบให้, ประทับใจ",5,6,ให้รางวัล; ชื่นชม,current ประทับใจ (impressed) is off for 赏 appreciate/reward
赞成,zàn chéng,to approve; to endorse,"เห็นด้วย, สนับสนุน",5,5,"เห็นด้วย, สนับสนุน",
身边,shēn biān,at one's side; on hand,"ข้างกาย, ติดตัว",5,4,"ข้างกาย, ติดตัว",
车上,chē shàng,in the car,บนรถ,5,5,บนรถ,
轨道,guǐ dào,track; orbit,รางเพื่อเดินทาง,5,6,ราง; วงโคจร,current รางเพื่อเดินทาง is awkward and omits the orbit sense
转,zhuǎn,to turn; to change direction,"หมุน, เปลี่ยน, เลี้ยว",5,5,หมุน; เลี้ยว,trimmed 3-item list to lead + one distinct sense
软,ruǎn,soft; flexible,"นุ่ม; อ่อน, ยืดหยุ่น",5,4,นุ่ม; ยืดหยุ่น,cleaned mixed separators / 3 items
