orig_row,hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
190,海底,hǎi dǐ,seabed; seafloor,ก้นทะเล,5,4,ก้นทะเล,
191,深处,shēn chù,abyss; depths,"ที่ลึก, สระลึก",5,5,"ส่วนลึก, ที่ลึก",thai_current สระลึก is not correct Thai
199,牙,yá,tooth; ivory,ฟัน,5,3,ฟัน; งาช้าง,EN 'ivory' sense (象牙) was missing
205,由此,yóu cǐ,hereby; from this,"จากนี้, ดังนั้น",5,5,จากนี้; ดังนั้น,
210,真理,zhēn lǐ,truth,ความจริง,5,5,ความจริง,
217,空中,kōng zhōng,in the sky; in the air,"ท้องฟ้า, อากาศ",5,6,"กลางอากาศ, บนท้องฟ้า",
220,窄,zhǎi,narrow; narrow-minded,แคบ,5,4,แคบ; ใจแคบ,
234,若,ruò,if; like,"ถ้าหาก, ดุจ",5,5,ถ้าหาก; ดุจ,
235,草原,cǎo yuán,grassland; prairie,"ทุ่งหญ้า, ทุ่งนา",5,5,ทุ่งหญ้า,"fixed: current ทุ่งนา means paddy/farmland, wrong for grassland"
246,诱饵,yòu ěr,bait,อาหารหลอก,5,6,เหยื่อ,current อาหารหลอก is unnatural; เหยื่อ is the real Thai for bait
249,负担,fù dān,to bear; burden,ภาระ,5,5,ภาระ; แบกรับ,
252,赏,shǎng,to reward; to appreciate,"มอบให้, ประทับใจ",5,6,ให้รางวัล; ชื่นชม,current ประทับใจ (impressed) is off for 赏 appreciate/reward
256,轨道,guǐ dào,track; orbit,รางเพื่อเดินทาง,5,6,ราง; วงโคจร,current รางเพื่อเดินทาง is awkward and omits the orbit sense
257,转,zhuǎn,to turn; to change direction,"หมุน, เปลี่ยน, เลี้ยว",5,5,หมุน; เลี้ยว,trimmed 3-item list to lead + one distinct sense
258,软,ruǎn,soft; flexible,"นุ่ม; อ่อน, ยืดหยุ่น",5,4,นุ่ม; ยืดหยุ่น,cleaned mixed separators / 3 items
260,过敏,guò mǐn,medicine allergic; hypersensitive,"แพ้, ภูมิแพ้",5,5,"แพ้, ภูมิแพ้",EN-GLOSS-BUG: 'medicine allergic' is malformed; sense is 'allergic; hypersensitive'
269,铅笔,qiān bǐ,lead pencil,ดินสอ,5,2,ดินสอ,
274,随时,suí shí,at any time; at all times,"ทุกเมื่อ, ได้ตลอดเวลา",5,5,"ทุกเมื่อ, ได้ตลอดเวลา",
276,靠近,kào jìn,to be close to; to approach,"เข้าใกล้, ใกล้",5,5,"เข้าใกล้, ใกล้",
277,预报,yù bào,forecast,"พยากรณ์, ประกาศ",5,6,พยากรณ์,dropped ประกาศ (announce); 预报 = forecast
278,领域,lǐng yù,domain; sphere,"แวดวง, สาขา, ขอบเขต",5,5,"แวดวง, สาขา",trimmed 3-item list
283,一时,yī shí,a period of time; a while,"ช่วงหนึ่ง, อยู่ครู่นึง",4,4,"ช่วงหนึ่ง, ครู่หนึ่ง",fixed colloquial spelling อยู่ครู่นึง
284,一致,yí zhì,consistent; unanimous,"เป็นเอกฉันท์, สอดคล้องกัน",4,5,สอดคล้องกัน; เป็นเอกฉันท์,distinct senses -> semicolon
287,下山,xià shān,to go down a hill; of the sun or moon to set,พระอาทิตย์ตกดิน,4,3,ลงเขา; พระอาทิตย์ตกดิน,primary sense 'go down mountain' was missing
295,不要紧,bú yào jǐn,unimportant; not serious,ไม่สำคัญ,4,5,ไม่เป็นไร; ไม่สำคัญ,不要紧 idiomatically = ไม่เป็นไร
299,严谨,yán jǐn,rigorous; strict,เข้มงวด,4,6,รัดกุม; เข้มงวด,add รัดกุม (rigorous); เข้มงวด alone only covers 'strict'
308,从此,cóng cǐ,from now on; since then,"นับแต่นั้น, ตั้งแต่นั้นมา",4,5,"นับแต่นั้น, ตั้งแต่นั้นมา",
309,代价,dài jià,price; cost,ค่าใช้จ่าย,4,6,ราคาที่ต้องจ่าย,代价 = price one pays (often figurative); ค่าใช้จ่าย=expenses misleads
316,体会,tǐ huì,to realize through experience,ความสัมผัส,4,5,เข้าใจจากประสบการณ์; ซาบซึ้ง,current ความสัมผัส (the sense of touch) is wrong
323,停止,tíng zhǐ,to stop; to halt,"หยุด, ยับยั้ง",4,4,หยุด; ยุติ,ยับยั้ง = restrain (制止); 停止 = cease -> ยุติ
326,充实,chōng shí,rich; full,อุดมไปด้วย,4,6,เต็มอิ่ม; สมบูรณ์,current อุดมไปด้วย is an incomplete phrase needing an object
332,具备,jù bèi,to possess; to have,มี,4,5,มี,
336,出任,chū rèn,to take up a post; to start in a new job,บรรจุแต่งตั้ง,4,5,เข้ารับตำแหน่ง,current บรรจุแต่งตั้ง is passive appointing; 出任 = subject takes up post
348,剩,shèng,to remain; to be left,เหลือ,4,4,เหลือ,
349,加以,jiā yǐ,formal to apply; literary moreover,นอกจากนี้,4,5,นำมา (ดำเนินการกับ),"EN-GLOSS-BUG: 加以 is a formal dummy-verb marker (加以+V = carry out V on sth), not 'moreover'; no clean 1-word Thai gloss -- second opinion"
352,包裹,bāo guǒ,to wrap up; to bind up,"พัสดุ, ห่อ",4,5,พัสดุ; ห่อ,EN-GLOSS-BUG: english lists only verb senses but 包裹's dominant sense is the noun 'parcel/package' (พัสดุ)
355,半天,bàn tiān,half of the day; a long time,ครึ่งวัน,4,3,ครึ่งวัน; ตั้งนาน,added the colloquial 'a long while' sense
360,原本,yuán běn,originally; the original,ดั้งเดิม,4,5,แต่เดิม; ต้นฉบับ,current ดั้งเดิม misses adverb 'originally' and 'the original'
364,发达,fā dá,well-developed; flourishing,พัฒนา,4,5,เจริญ; พัฒนาแล้ว,发达 is adjective 'developed'; พัฒนา alone reads as verb 'to develop'
366,口袋,kǒu dài,pocket; bag,กระเป๋า,4,5,กระเป๋าเสื้อ; ถุง,current กระเป๋า is ambiguous; disambiguate pocket vs bag
369,后者,hòu zhě,the latter,ผู้หลัง,4,5,อย่างหลัง,current ผู้หลัง reads as a person only; 后者 is general
371,启发,qǐ fā,to enlighten; to explain,"จุดประกาย, อธิบาย",4,5,จุดประกาย; ให้แรงบันดาลใจ,dropped อธิบาย (explain); 启发 = inspire/enlighten
372,启示,qǐ shì,to reveal; to enlighten,เปิดเผย,4,6,ให้ข้อคิด; จุดประกาย,current เปิดเผย = disclose (揭示); 启示 = revelation/insight
374,咬,yǎo,to bite; to nip,กัด,4,5,กัด,
384,在乎,zài hū,to care about; to mind,สนใจ,4,5,แคร์; ใส่ใจ,สนใจ = interested (感兴趣); 在乎 = to care/mind
385,在意,zài yì,to care about; to mind,ใจใส่,4,6,ใส่ใจ; ถือสา,current ใจใส่ is reversed; correct is ใส่ใจ
390,坚定,jiān dìng,firm; steady,แข็งแกร่ง,4,6,แน่วแน่; มั่นคง,"坚定 = resolute of will, not physical strength (แข็งแกร่ง)"
393,壶,hú,pot; classifier for bottled liquid,หม้อ,4,5,กาน้ำ; เหยือก,current หม้อ = cooking pot (锅); 壶 = kettle/pot with spout
410,审美,shěn měi,esthetics; appreciating the arts,ศิลปบัญชา,4,6,สุนทรียภาพ,Thai fix: 'ศิลปบัญชา' is not a standard word; 审美=aesthetics=สุนทรียภาพ
413,寂寞,jì mò,lonely; lonesome,โดดเดี่ยว,4,5,"เหงา, โดดเดี่ยว",เหงา is the natural lead for lonely
417,寺庙,sì miào,temple; monastery,วัด,4,6,วัด,
423,尾巴,wěi ba,tail; colloquial pr.,หาง,4,5,หาง,EN-GLOSS-BUG: stray 'colloquial pr.' dictionary artifact in the English gloss
434,开幕式,kāi mù shì,opening ceremony,พิธีเปิด,4,5,พิธีเปิด,
435,引导,yǐn dǎo,to guide; to lead,คำแนะนำ,4,6,"ชี้นำ, นำทาง",current คำแนะนำ is a noun; 引导 is a verb (to guide/lead)
441,必定,bì dìng,to be bound to; to be sure to,ต้อง,4,6,แน่นอน,current ต้อง reads as 'must'; 必定 is adverbial 'certainly/bound to'
446,悬崖,xuán yá,precipice; overhanging cliff,หน้าผาสูง,4,6,หน้าผาสูง,
447,悲伤,bēi shāng,sad; sorrowful,สเศร้า,4,5,"เศร้า, เศร้าโศก",typo fix: สเศร้า -> เศร้า
451,愿,yuàn,to wish; willing,"ปรารถนา, เต็มใจ",4,5,ปรารถนา; เต็มใจ,distinct senses (wish; willing) take ';'
458,扛,káng,to carry; to take on,ยกขึ้น,4,6,แบก,"扛 = carry on the shoulder = แบก, not ยกขึ้น (lift)"
461,把握,bǎ wò,to grasp; to seize,ทำความเข้าใจ,4,5,"คว้าไว้, ฉวย",current ทำความเข้าใจ (understand) is the wrong sense; 把握=grasp/seize
463,抱,bào,to hold; to carry,"โอบกอด, เอา",4,4,"กอด, อุ้ม",current 'เอา' is wrong; 抱 = embrace/carry in arms
468,拨,bō,to push aside; to dial,ผลัก,4,6,ปัด; กดหมายเลข,adds the 'dial' sense; ผลัก alone missed it
469,拼命,pīn mìng,to do one's utmost,ทำให้ได้ดีที่สุด,4,5,"สุดชีวิต, สุดกำลัง",more natural for 'do one's utmost'
470,指令,zhǐ lìng,to order; to command,คำสั่ง,4,6,คำสั่ง,
471,挣,zhēng,to earn (money); to struggle,พยายามหา,4,5,หาเงิน; ดิ้น,two distinct senses: earn money; struggle free
499,景象,jǐng xiàng,scene; sight,ทัศนียวิทยา,4,5,"ภาพ, ทัศนียภาพ",Thai fix: ทัศนียวิทยา is not a standard word
504,枚,méi,(classifier for small objects),ตัวนับเหรียญ,4,5,ลักษณนามของชิ้นเล็ก (เช่น เหรียญ),classifier/measure word; no direct Thai equivalent
507,树林,shù lín,woods; forest; grove,ซู่หลิน (เขตในนิวไทเป),4,4,"ป่าไม้, ป่า","current is a transliterated place name (Shulin, New Taipei); 树林=woods/forest"
516,池子,chí zi,pond; bathhouse pool,บ่อเก็บน้ำ,4,5,"สระน้ำ, บ่อ",บ่อเก็บน้ำ (reservoir) too narrow; 池子=pool/pond
519,洽谈,qià tán,to discuss,อภิปราย,4,6,"เจรจา, พูดคุย",current อภิปราย=debate; 洽谈=negotiate/talk (business)
526,演,yǎn,to perform; to stage,"พัฒนา, วิวัฒน์",4,4,แสดง,current พัฒนา/วิวัฒน์=evolve (wrong sense); gloss is 'to perform/stage'
529,灯光,dēng guāng,stage lighting; light,แสงสว่าง,4,5,แสงไฟ,灯光=lamplight/lighting; แสงสว่าง=brightness
541,环保,huán bǎo,environmental protection,การปกป้องสิ่งแวดล้อม,4,4,การปกป้องสิ่งแวดล้อม,
550,男子,nán zi,a man; a male,ชายชน,4,6,"ผู้ชาย, ชาย",current ชายชน is not a word
556,皮,pí,skin; leather; peel,หนังสัตว์,4,4,หนัง; เปลือก,covers both skin/leather and peel
559,看上去,kàn shàng qù,it would appear; it seems,ดูเหมือนว่า,4,3,ดูเหมือนว่า,
565,碰,pèng,to touch; to meet with,ชน,4,6,"ชน, แตะ; เจอ",adds the 'meet with / run into' sense
570,立即,lì jí,immediately,ทันที,4,5,ทันที,
571,笑容,xiào róng,smile; smiling expression,ยิ้ม,4,5,รอยยิ้ม,"noun: smile = รอยยิ้ม, not the verb ยิ้ม"
574,笔记本,bǐ jì běn,notebook; computing laptop,สมุดจด,4,3,สมุดจด; โน้ตบุ๊ก,adds the distinct 'laptop' sense
577,等到,děng dào,to wait until; by the time when,"รอจนกระทั่ง, พอถึงตอนที่",4,3,"รอจนกระทั่ง, พอถึงตอนที่",
578,答应,dā yìng,to answer; to respond,ตอบสนอง,4,5,ตอบรับ; รับปาก,EN-GLOSS-BUG: gloss 'to answer; to respond' omits the primary sense 'to agree/consent/promise' (รับปาก/ตกลง)
581,精英,jīng yīng,cream; elite,บุคลากรชั้นแนว,4,6,"หัวกะทิ, ชนชั้นนำ",current บุคลากรชั้นแนว is truncated/odd
584,紧,jǐn,tight; urgent,แน่น,4,5,แน่น; เร่งด่วน,adds the distinct 'urgent' sense
585,纬度,wěi dù,latitude,เส้นรุ้ง,4,6,เส้นรุ้ง,
587,细,xì,thin; fine,เล็ก,4,4,เล็ก; ละเอียด,adds the 'fine/detailed' sense
589,细菌,xì jūn,bacterium; germ,เชื้อโรค,4,6,เชื้อโรค,
594,综合,zōng hé,comprehensive; composite,รวมเอา,4,6,"ครอบคลุม, โดยรวม",gloss is adjectival 'comprehensive/composite'; รวมเอา is a verb
598,缆车,lǎn chē,cable car,รถไฟเคเบิล,4,6,กระเช้าไฟฟ้า,cable car = กระเช้าไฟฟ้า; รถไฟเคเบิล = funicular
600,美食,měi shí,culinary delicacy; fine food,"อาหารอร่อย, ของดี",4,4,"อาหารอร่อย, อาหารรสเลิศ",'ของดี' is vague; รสเลิศ clearer for 'delicacy'
605,背,bèi,back (of body); to memorize,"หลัง, ท่องจำ",4,5,หลัง; ท่องจำ,
606,背景,bèi jǐng,background; backdrop,"ภูมิหลัง, ฉากหลัง",4,5,ภูมิหลัง; ฉากหลัง,
619,观赏,guān shǎng,to view for pleasure; ornamental,ชมดู,4,6,"ชม, ชื่นชม",
621,规则,guī zé,rule; regulation,กฎเกณฑ์,4,5,กฎเกณฑ์,
625,记号,jì hào,mark; symbol,สัญลักษณ์,4,5,"เครื่องหมาย, สัญลักษณ์",
630,请帖,qǐng tiě,invitation card; written invitation,บัตรเชิญ,4,5,บัตรเชิญ,
632,谈话,tán huà,to talk; to have a conversation,สนทนา,4,5,พูดคุย,
644,辣椒,là jiāo,hot pepper; chili,พริกขี้หนู,4,5,พริก,
649,造纸术,zào zhǐ shù,papermaking process,ศิลปะทำกระดาษ,4,6,กรรมวิธีทำกระดาษ,
654,鉴定,jiàn dìng,to appraise; to authenticate,ตัดสิน,4,6,ตรวจพิสูจน์,
660,闻,wén,to smell; to hear; news,ได้ยิน; ข่าว,4,3,"ดม, ได้กลิ่น; ได้ยิน",3 EN senses (smell/hear/news); led with smell + hear per max-two; 'news' bound in 新闻.
671,隐患,yǐn huàn,hidden danger; hazard,อันตรายแอบซ่อน,4,6,ภัยแฝง,
676,领导,lǐng dǎo,lead; leading,นำหนา,4,5,ผู้นำ; นำ,EN-GLOSS-BUG: primary sense is the noun 'leader/leadership'; 'lead; leading' understates it.
679,食欲,shí yù,appetite,ความอยากกิน,4,6,ความอยากอาหาร,
682,骗人,piàn rén,to cheat someone; a scam,"ลวง, การหลอก",4,4,"ลวง, การหลอก",
684,高明,gāo míng,brilliant; superior,ฉลาด,4,6,ฉลาด,
692,一口气,yì kǒu qì,one breath; in one breath,ครั้งเดียวจบ,3,5,รวดเดียว,
693,一味,yī wèi,persistently; stubbornly,"ดื้อดึง, ยืนกราน",3,6,"ดื้อดึง, ยืนกราน",
699,一连串,yī lián chuàn,a succession of; a series of,ลำดับต่อเนื่อง,3,6,ลำดับต่อเนื่อง,
708,不易,bù yì,not easy to do something; difficult,ยาก,3,4,ยาก,
709,不景气,bù jǐng qì,slack; in a slump,ตก,3,6,ซบเซา,
711,不耐烦,bù nài fán,impatient; to lose patience,อีดอี้,3,5,"หงุดหงิด, ใจร้อน",thai_current 'อีดอี้' is not standard Thai.
718,丢掉,diū diào,to lose; to throw away,สูญหาย,3,4,ทิ้ง; ทำหาย,
724,主观,zhǔ guān,subjective,ส่วนตัว,3,6,อัตวิสัย,
726,之下,zhī xià,under; beneath,ล่าง,3,5,ภายใต้,
727,乐趣,lè qù,delight; pleasure,ความสุข,3,5,ความเพลิดเพลิน,
730,乡,xiāng,country or countryside; native place,ชนบท,3,6,ชนบท; บ้านเกิด,
735,事实,shì shí,fact,ความจริง,3,5,ข้อเท็จจริง,
738,交往,jiāo wǎng,to associate; to have contact,มีสัมพันธ์,3,5,คบหา,
742,人口,rén kǒu,population; people,ประชากร,3,5,ประชากร,
745,人造,rén zào,man-made; artificial,ประดิษฐ์,3,6,เทียม,
748,从未,cóng wèi,never,ไม่เคยมี,3,5,ไม่เคย,
751,以免,yǐ miǎn,in order to avoid; so as not to,เพื่อหลีกเลี่ยง,3,6,เพื่อหลีกเลี่ยง,
756,会计,kuài jì,accountant; accountancy,บัญชี,3,5,นักบัญชี; การบัญชี,
758,传达,chuán dá,to pass on; to convey,ส่งสารถึง,3,6,"ถ่ายทอด, สื่อสาร",
763,便于,biàn yú,easy to; convenient for,สะดวก,3,6,"สะดวกต่อ, เอื้อต่อ",
768,俱乐部,jù lè bù,loanword club,สโมสร,3,5,"สโมสร, คลับ",EN-GLOSS-BUG: gloss 'loanword club' contains a lexical annotation; sense is just 'club'.
783,冰雪,bīng xuě,ice and snow,น้ำแข็งและหิมะ,3,6,น้ำแข็งและหิมะ,
785,决赛,jué sài,finals,ชิงชนะเลิศ,3,5,ชิงชนะเลิศ,
790,凡是,fán shì,each and every; every,ทุกคน,3,5,ทุกสิ่งที่,grammatical scope word (every/any X that…); hard to gloss standalone — second opinion?
792,出版社,chū bǎn shè,publishing house,บ้านพิมพ์,3,5,สำนักพิมพ์,
794,分散,fēn sàn,to scatter; to disperse,กระจาย,3,6,กระจาย,
796,分歧,fēn qí,divergent; difference,เห็นต่างกัน,3,6,ความเห็นต่าง,
803,刻,kè,quarter; moment,นาที,3,5,ชั่วขณะ,刻 = a moment / quarter-hour (15 min); current นาที (minute) was imprecise
804,前台,qián tái,front desk; reception,แผนกต้อนรับ; เคาน์เตอร์ต้อนรับ,3,5,"เคาน์เตอร์ต้อนรับ, แผนกต้อนรับ",
807,加工,jiā gōng,to process; processing,โปรเซส,3,6,แปรรูป,current โปรเซส is an English loan; แปรรูป is the natural Thai for processing materials
811,勇于,yǒng yú,to dare to; to be brave enough to,กล้าหาญ,3,5,กล้าที่จะ,
813,北,běi,north,เหนือ,3,3,ทิศเหนือ,matched 南=ทิศใต้ for direction consistency
817,升高,shēng gāo,to raise; to ascend,ยกสูง,3,5,สูงขึ้น,升高 is intransitive (rise); current ยกสูง = lift up (transitive)
821,即将,jí jiāng,about to; on the point of,กำลัง,3,5,กำลังจะ; ใกล้จะ,current กำลัง = progressive 'currently'; 即将 = about to (imminent)
823,原始,yuán shǐ,first; original,เดิม,3,6,ดั้งเดิม; แรกเริ่ม,EN-GLOSS-BUG: 原始 means primitive/original/raw; 'first' alone is misleading
824,去掉,qù diào,to get rid of; to exclude,ลบออก,3,5,เอาออก; กำจัด,
828,反正,fǎn zhèng,anyway; in any case,อย่างไรก็ตาม,3,5,ยังไงก็ตาม; ยังไงเสีย,spoken register; current อย่างไรก็ตาม is a formal connective
829,发射,fā shè,to shoot; to fire,ยิงปล่อย,3,6,ยิง; ปล่อย,current ยิงปล่อย is an awkward compound
830,发源地,fā yuán dì,place of origin; birthplace,สถานที่เกิด,3,6,แหล่งกำเนิด; ต้นกำเนิด,current สถานที่เกิด = a person's birthplace
834,变为,biàn wèi,to change into,เปลี่ยนเป็น,3,5,เปลี่ยนเป็น,
837,另一方面,lìng yì fāng miàn,on the other hand; another aspect,ในด้านอื่น,3,4,อีกด้านหนึ่ง; ในอีกแง่หนึ่ง,current ในด้านอื่น = 'in other aspects'
838,只不过,zhǐ bù guò,only; merely,แค่เพียง,3,4,แค่เพียง,
842,各地,gè dì,in all parts of; various regions,ต่างแห่ง,3,6,ทุกพื้นที่; ทั่วทุกแห่ง,current ต่างแห่ง is unnatural
844,同一,tóng yī,identical; the same,เหมือนกัน,3,5,เดียวกัน,同一 = one and the same; current เหมือนกัน = merely similar
847,后果,hòu guǒ,consequences; aftermath,ผลกระทบ,3,5,ผลที่ตามมา,后果 = (usually negative) consequence; current ผลกระทบ = impact
849,听取,tīng qǔ,to hear; to listen to,ฟัง,3,5,รับฟัง,听取 = listen to attentively (opinions/reports)
850,吵架,chǎo jià,to quarrel; to have a row,ทะเลาะกัน,3,5,ทะเลาะกัน,
853,命,mìng,life; fate,"ชีวิต, โชคชะตา",3,5,ชีวิต; โชคชะตา,"separator fix: life and fate are distinct senses (';' not ',')"
855,品德,pǐn dé,moral character,จริยธรรม,3,6,คุณธรรม,品德 = moral character; current จริยธรรม = ethics (abstract)
859,善,shàn,good; benevolent,ดี,3,6,ใจดี; ดีงาม,current ดี is too generic for benevolent/kind
860,嗅觉,xiù jué,sense of smell,การดมกลิ่น,3,6,ประสาทรับกลิ่น,嗅觉 = the sense of smell; current การดมกลิ่น = the act of sniffing
861,噪声,zào shēng,noise,เสียงรบกวน,3,6,เสียงรบกวน,
868,固定,gù dìng,to fix; to fasten,ติดตั้ง,3,5,ยึดให้แน่น; คงที่,current ติดตั้ง = install
869,固然,gù rán,admittedly,จริงอยู่,3,6,จริงอยู่,
871,圆,yuán,circle; round,วงกลม,3,4,วงกลม; กลม,
875,场,chǎng,site; (classifier for an event),พื้นที่,3,4,สถานที่,current พื้นที่ = area; 场 = venue/site
877,坚硬,jiān yìng,hard; solid,แข็งแรง,3,6,แข็ง,current แข็งแรง = strong/healthy; 坚硬 = physically hard
878,坟墓,fén mù,grave; tomb,สุสาน,3,6,หลุมศพ; หลุมฝังศพ,current สุสาน = cemetery (墓地)
879,坦然,tǎn rán,calm; undisturbed,สงบ,3,6,สบายใจ; ไม่วิตกกังวล,
880,埋怨,mán yuàn,to complain; to grumble,บ่นเบื่อ,3,5,บ่น; ต่อว่า,current บ่นเบื่อ = complain from boredom; 埋怨 = grumble/blame
882,基本上,jī běn shàng,basically; on the whole,พื้นฐาน,3,5,โดยพื้นฐานแล้ว; โดยหลักแล้ว,adverb; current พื้นฐาน = noun 'foundation'
884,填,tián,to fill or stuff; of a form etc to fill in,ยัด,3,4,เติม; กรอก,added the 'fill in a form' sense (กรอก)
886,壮观,zhuàng guān,spectacular; magnificent sight,ยิ่งใหญ่,3,6,ตระการตา; อลังการ,current ยิ่งใหญ่ = great; 壮观 = spectacular sight
889,外婆,wài pó,mother's mother; maternal grandmother,ยายทางแม่,3,6,ยาย,ยาย already = maternal grandmother; current ยายทางแม่ is redundant
892,大海,dà hǎi,sea; ocean,ทะเล,3,5,ทะเล,
894,天地,tiān dì,heaven and earth; world,ท้องฟ้าและแผ่นดิน,3,6,ฟ้าดิน; โลกกว้าง,ฟ้าดิน is the idiomatic Thai for heaven-and-earth
895,太太,tài tài,married woman; Mrs.,ผู้หญิงแต่งงาน,3,5,คุณนาย; ภรรยา,current ผู้หญิงแต่งงาน is descriptive/awkward
897,夸奖,kuā jiǎng,to praise; to applaud,ยกย่อง,3,5,ชมเชย; ชม,current ยกย่อง = extol/honor; 夸奖 = praise/compliment
899,奋斗,fèn dòu,to strive; to struggle,พยายาม,3,5,ต่อสู้; ดิ้นรน,current พยายาม = try; 奋斗 = strive/struggle
904,好心人,hǎo xīn rén,kindhearted person; good Samaritan,คนหนใจดี,3,6,คนใจดี; คนใจบุญ,fixed typo in current (คนหนใจดี -> คนใจดี)
906,如同,rú tóng,like; as,เช่น,3,5,เหมือนกับ; ราวกับ,"current เช่น = 'for example', wrong sense"
910,学历,xué lì,educational background,ระดับการศึกษา,3,5,วุฒิการศึกษา,学历 = academic qualification; current ระดับการศึกษา is close but less precise
911,学术,xué shù,learning; science,การศึกษา,3,5,วิชาการ,current การศึกษา = education; 学术 = academic/scholarly
912,学问,xué wèn,learning; knowledge,ความรู้,3,5,ความรู้,
913,宁可,nìng kě,preferably; one would prefer to...,"ยอมที่จะ, ขอเลือก",3,5,ยอม...ดีกว่า; ยอมที่จะ,宁可 = would rather ... (than)
