hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
老,lǎo,old; venerable,"แก่, เก่า; (คำนำหน้าแสดงความคุ้นเคย)",31,3,"แก่, เก่า; (คำนำหน้าแสดงความคุ้นเคย)",
一般,yì bān,same; ordinary,"ทั่วไป, ธรรมดา",30,3,"ทั่วไป, ธรรมดา",
习惯,xí guàn,habit; custom,"นิสัย, ความเคยชิน",30,3,"นิสัย, ความเคยชิน",
内,nèi,inside; inner,"ข้างใน, ภายใน",30,4,"ข้างใน, ภายใน",
减少,jiǎn shǎo,to lessen,"ลดลง, ลดน้อยลง",30,4,"ลดลง, ลดน้อยลง",
因,yīn,because; cause; reason,"สาเหตุ, เหตุผล; เนื่องจาก",30,4,"สาเหตุ, เหตุผล; เนื่องจาก",
存在,cún zài,to exist; to be,"มีอยู่, ดำรงอยู่",30,5,"มีอยู่, ดำรงอยู่",
学会,xué huì,to learn; to master,เรียนรู้จนทำได้; สมาคม,30,1,เรียนรู้จนทำได้; สมาคม,
家,jiā,home; family,"บ้าน, ครอบครัว",30,1,"บ้าน, ครอบครัว",
已,yǐ,already; to stop,...แล้ว; หยุด,30,4,...แล้ว; หยุด,
幽默,yōu mò,loanword humor; humorous,"อารมณ์ขัน, ตลก",30,4,อารมณ์ขัน; ตลก,EN-GLOSS-BUG: gloss contains meta text 'loanword'
手表,shǒu biǎo,wristwatch,นาฬิกาข้อมือ,30,2,นาฬิกาข้อมือ,
才能,cái néng,talent; ability,"ความสามารถ, พรสวรรค์",30,3,"ความสามารถ, พรสวรรค์",
改变,gǎi biàn,to change; to alter,เปลี่ยนแปลง,30,4,เปลี่ยนแปลง,
最好,zuì hǎo,best; had better ...,ดีที่สุด; ควรจะ...ดีกว่า,30,3,ดีที่สุด; ควรจะ...ดีกว่า,
比赛,bǐ sài,competition; match,การแข่งขัน,30,3,การแข่งขัน,
父亲,fù qīn,father,"พ่อ, บิดา",30,4,"พ่อ, บิดา",
特别,tè bié,unusual; special,"พิเศษ, โดยเฉพาะ",30,3,"พิเศษ, โดยเฉพาะ",
笑,xiào,to laugh; to smile,"หัวเราะ, ยิ้ม",30,2,หัวเราะ; ยิ้ม,
经常,jīng cháng,frequently; constantly,"บ่อยๆ, เป็นประจำ",30,3,"บ่อยๆ, เป็นประจำ",
老师,lǎo shī,teacher,"ครู, อาจารย์",30,1,"ครู, อาจารย์",
表扬,biǎo yáng,to praise; to commend,"ชมเชย, ยกย่อง",30,4,"ชมเชย, ยกย่อง",
问,wèn,to ask; to inquire,ถาม,30,2,ถาม,
骄傲,jiāo ào,pride; arrogance,ภาคภูมิใจ; หยิ่งผยอง,30,4,ภาคภูมิใจ; หยิ่งผยอง,
一定,yí dìng,surely; certainly,"แน่นอน, จะต้อง",29,3,"แน่นอน, จะต้อง",
则,zé,literary but; then,"ก็, แต่; (คำเชื่อมภาษาเขียน)",29,5,"ก็, แต่; (คำเชื่อมภาษาเขียน)",
刚,gāng,just now; just,เพิ่งจะ; แข็ง,29,3,เพิ่งจะ; แข็ง,
发光,fā guāng,to emit light,"เปล่งแสง, ส่องสว่าง",29,4,"เปล่งแสง, ส่องสว่าง",
变化,biàn huà,intransitive to change; to vary,การเปลี่ยนแปลง,29,3,การเปลี่ยนแปลง,EN-GLOSS-BUG: gloss contains meta text 'intransitive'
失败,shī bài,to be defeated; to lose,"ล้มเหลว, พ่ายแพ้",29,4,"ล้มเหลว, พ่ายแพ้",
带,dài,to bring; belt,"พา, นำ; เข็มขัด, สาย",29,3,"พา, นำ; เข็มขัด, สาย",
帮助,bāng zhù,assistance; aid,ช่วยเหลือ; ความช่วยเหลือ,29,2,ช่วยเหลือ; ความช่วยเหลือ,
强,qiáng,strong; powerful,"แข็งแกร่ง, เก่ง; แข็ง",29,5,"แข็งแกร่ง, เก่ง; แข็ง",
往往,wǎng wǎng,usually; in many cases,"มักจะ, บ่อยครั้ง",29,4,"มักจะ, บ่อยครั้ง",
总是,zǒng shì,always,"มักจะ, เสมอ",29,3,"เสมอ, มักจะ",
改,gǎi,to change; to alter,"เปลี่ยน, แก้ไข",29,4,"เปลี่ยน, แก้ไข",
文化,wén huà,culture; civilization,วัฒนธรรม,29,3,วัฒนธรรม,
陪,péi,to accompany,"เป็นเพื่อน, อยู่เป็นเพื่อน",29,4,"เป็นเพื่อน, อยู่เป็นเพื่อน",
一会儿,yī huì er,a moment; a while,"สักครู่, ประเดี๋ยว",28,3,"สักครู่, ประเดี๋ยว",
准备,zhǔn bèi,preparation; to prepare,"เตรียม; เตรียมตัว, วางแผนจะ",28,2,"เตรียม; เตรียมตัว, วางแผนจะ",
参加,cān jiā,to participate; to take part,เข้าร่วม,28,3,เข้าร่วม,
打算,dǎ suàn,to plan; to intend,"ตั้งใจจะ, วางแผนจะ",28,3,"ตั้งใจจะ, วางแผนจะ",
批评,pī píng,to criticize; criticism,"วิจารณ์, ตำหนิ",28,4,"วิจารณ์, ตำหนิ",
换,huàn,to exchange; to change,"เปลี่ยน, แลก",28,3,"เปลี่ยน, แลก",
故事,gù shì,story,"เรื่องราว, นิทาน",28,3,"เรื่องราว, นิทาน",
虽然,suī rán,although; even though,"ถึงแม้ว่า, แม้",28,2,"ถึงแม้ว่า, แม้",
要求,yāo qiú,to request; to require,เรียกร้อง; ข้อกำหนด,28,3,เรียกร้อง; ข้อกำหนด,
阳光,yáng guāng,sunshine; of personality upbeat,"แสงแดด, แสงอาทิตย์",28,4,"แสงแดด, แสงอาทิตย์; สดใสร่าเริง",added the 'upbeat/sunny personality' sense
什么样,shén me yàng,what kind?; what sort?,"แบบไหน, อย่างไร",27,3,"แบบไหน, อย่างไร",
但是,dàn shì,but; however,"แต่, แต่ว่า",27,2,"แต่, แต่ว่า",
减肥,jiǎn féi,to lose weight,"ลดน้ำหนัก, ลดความอ้วน",27,4,"ลดน้ำหนัก, ลดความอ้วน",
可是,kě shì,but; however,"แต่, แต่ว่า",27,4,"แต่, แต่ว่า",
妻子,qī zi,wife,ภรรยา,27,2,ภรรยา,
容易,róng yì,easy; straightforward,ง่าย; มีแนวโน้มจะ,27,3,ง่าย; มีแนวโน้มจะ,
幸福,xìng fú,happiness; happy,ความสุข; มีความสุข,27,4,ความสุข; มีความสุข,
放弃,fàng qì,to renounce; to abandon,"ยอมแพ้, ละทิ้ง, เลิกล้ม",27,4,"ยอมแพ้, ละทิ้ง, เลิกล้ม",
方法,fāng fǎ,method; way,"วิธี, วิธีการ",27,4,"วิธี, วิธีการ",
最后,zuì hòu,final; last,"สุดท้าย, ในที่สุด",27,3,"สุดท้าย, ในที่สุด",
活泼,huó pō,lively; vivacious,"ร่าเริง, มีชีวิตชีวา",27,4,"ร่าเริง, มีชีวิตชีวา",
浪费,làng fèi,to waste; to squander,"สิ้นเปลือง, ทำให้เสียเปล่า",27,4,"สิ้นเปลือง, ทำให้เสียเปล่า",
艺术,yì shù,art,ศิลปะ,27,4,ศิลปะ,
走,zǒu,to walk; to go,"เดิน; ไป, จากไป",27,2,"เดิน; ไป, จากไป",
过程,guò chéng,course of events; process,"กระบวนการ, ขั้นตอน",27,4,"กระบวนการ, ขั้นตอน",
出来,chū lái,to come out; to appear,ออกมา; ...ออกมา,26,2,ออกมา; ...ออกมา,
功能,gōng néng,function; capability,"ฟังก์ชัน, การทำงาน, ความสามารถ",26,5,"ฟังก์ชัน, การทำงาน, ความสามารถ",
名字,míng zì,name,ชื่อ,26,1,ชื่อ,
害羞,hài xiū,shy; embarrassed,"ขี้อาย, เขินอาย",26,4,"ขี้อาย, เขินอาย",
心理,xīn lǐ,psychology; mentality,"จิตใจ, จิตวิทยา",26,5,"จิตใจ, จิตวิทยา",
怎样,zěn yàng,how; what kind,"อย่างไร, แบบไหน",26,3,"อย่างไร, แบบไหน",
温度,wēn dù,temperature,อุณหภูมิ,26,4,อุณหภูมิ,
由于,yóu yú,due to; as a result of,"เนื่องจาก, เพราะ",26,4,"เนื่องจาก, เพราะ",
自然,zì rán,nature; natural,ธรรมชาติ; เป็นธรรมชาติ,26,4,ธรรมชาติ; เป็นธรรมชาติ,
运动,yùn dòng,to move; to exercise,"กีฬา, ออกกำลังกาย; การเคลื่อนไหว",26,2,"กีฬา, ออกกำลังกาย; การเคลื่อนไหว",
还是,hái shì,still; had better,หรือ; ...ดีกว่า; ยังคง,26,3,หรือ; ...ดีกว่า,EN-GLOSS-BUG: 'still; had better' omits the very common 'or' (choice-question) sense; trimmed to two
为了,wèi le,for; for the purpose of,เพื่อ,25,3,เพื่อ,
使用,shǐ yòng,to use; to employ,"ใช้, ใช้งาน",25,4,"ใช้, ใช้งาน",
信用卡,xìn yòng kǎ,credit card,บัตรเครดิต,25,3,บัตรเครดิต,
分钟,fēn zhōng,minute,นาที,25,1,นาที,
北京,běi jīng,Beijing,ปักกิ่ง,25,1,ปักกิ่ง,
受到,shòu dào,to receive; to be ...ed,"ได้รับ, ถูก(กระทำ)",25,4,"ได้รับ, ถูก(กระทำ)",
号,hào,number; date (of month),เลขที่; วันที่,25,1,เลขที่; วันที่,
啊,a,interjection of surprise; Ah!,คำอุทาน (อ้าว!/อ๋อ),25,3,"อ้าว, อ๋อ (คำอุทานแสดงความประหลาดใจ)","particle rule: lead with the real interjection, descriptor after"
实验,shí yàn,experiment; test,การทดลอง,25,5,การทดลอง,
平时,píng shí,ordinarily; in normal times,"ปกติ, ตามปกติ",25,4,"ปกติ, ตามปกติ",
年龄,nián líng,a person's age,อายุ,25,4,อายุ,
应,yīng,should; to agree,ควร; ตอบรับ,25,3,ควร; ตอบรับ,
引起,yǐn qǐ,to give rise to,"ทำให้เกิด, ก่อให้เกิด",25,4,"ทำให้เกิด, ก่อให้เกิด",
怎么,zěn me,how?; what?,"อย่างไร, ยังไง",25,1,"อย่างไร, ยังไง",
晚,wǎn,late; evening,"สาย, ดึก",25,2,"สาย, ดึก; ตอนค่ำ",added the 'evening' sense
每,měi,each; every,"ทุก, แต่ละ",25,2,"ทุก, แต่ละ",
活动,huó dòng,to exercise; to move about,กิจกรรม; เคลื่อนไหว,25,4,กิจกรรม; เคลื่อนไหว,EN-GLOSS-BUG: EN gives only verb senses; omits the dominant noun 'activity/event' (led in TH as กิจกรรม)
烦恼,fán nǎo,to be worried; to be distressed,"กลุ้มใจ, กังวล; ความกลุ้มใจ",25,4,"กลุ้มใจ, กังวล; ความกลุ้มใจ",
环境,huán jìng,environment; circumstances,"สิ่งแวดล้อม, สภาพแวดล้อม",25,3,"สิ่งแวดล้อม, สภาพแวดล้อม",
适合,shì hé,to fit; to suit,"เหมาะกับ, เข้ากับ",25,4,"เหมาะกับ, เข้ากับ",
那儿,nà ér,there,ที่นั่น,25,1,ที่นั่น,
马虎,mǎ hǔ,careless; sloppy,"สะเพร่า, ลวกๆ",25,4,"สะเพร่า, ลวกๆ",
鱼,yú,fish,ปลา,25,2,ปลา,
于是,yú shì,thereupon,"ดังนั้น, จึง",24,4,"ดังนั้น, จึง",
健康,jiàn kāng,health; healthy,สุขภาพ; แข็งแรง,24,3,สุขภาพ; แข็งแรง,
其中,qí zhōng,among; in,"ในนั้น, ในจำนวนนั้น",24,4,"ในนั้น, ในจำนวนนั้น",
其实,qí shí,actually; in fact,"ที่จริง, อันที่จริง",24,3,"ที่จริง, อันที่จริง",
决定,jué dìng,to decide; decision,ตัดสินใจ; การตัดสินใจ,24,3,ตัดสินใจ; การตัดสินใจ,
因此,yīn cǐ,thus; consequently,"ดังนั้น, ด้วยเหตุนี้",24,4,"ดังนั้น, ด้วยเหตุนี้",
女,nǚ,female; woman,"ผู้หญิง, เพศหญิง",24,2,"ผู้หญิง, เพศหญิง",
好像,hǎo xiàng,as if; to seem like,"ดูเหมือนว่า, ราวกับ",24,4,"ดูเหมือนว่า, ราวกับ",
学习,xué xí,to learn; to study,"เรียน, ศึกษา",24,1,"เรียน, ศึกษา",
工人,gōng rén,worker,คนงาน,24,5,คนงาน,
常,cháng,often; frequently,"บ่อยๆ, เสมอ",24,3,"บ่อยๆ, เสมอ",
放心,fàng xīn,to feel relieved; to feel reassured,"วางใจ, สบายใจ",24,3,"วางใจ, สบายใจ",
能力,néng lì,capability; ability,ความสามารถ,24,4,ความสามารถ,
节目,jié mù,TV or radio program; show,รายการ,24,3,รายการ,
超市,chāo shì,supermarket,ซูเปอร์มาร์เก็ต,24,3,ซูเปอร์มาร์เก็ต,
路上,lù shàng,on the road; on the way,"ระหว่างทาง, บนถนน",24,2,"ระหว่างทาง, บนถนน",
还有,hái yǒu,there still remain; there is still,"อีกทั้ง, นอกจากนี้, ยังมี",24,3,"อีกทั้ง, นอกจากนี้, ยังมี",
通过,tōng guò,to pass through; to get through,ผ่าน; โดยผ่าน,24,4,ผ่าน; โดยผ่าน,
道,dào,way; principle,ทาง; ลักษณนาม(เส้น/ข้อ); หลักการ,24,3,ทาง; หลักการ,trimmed measure-word sense to match EN 'way; principle'
一起,yì qǐ,in the same place; together,ด้วยกัน,23,2,ด้วยกัน,
公,gōng,public; collectively owned,สาธารณะ; ส่วนรวม,23,5,สาธารณะ; ส่วนรวม,
几,jǐ,how many; several,กี่; สองสาม,23,1,กี่; สองสาม,
分,fēn,to divide; to separate,นาที; แบ่ง; เฟิน(เงิน); คะแนน,23,2,"แบ่ง, แยก; คะแนน",EN-GLOSS-BUG: 'to divide; to separate' omits common noun senses (minute; point/score; cent); trimmed to two
努力,nǔ lì,to make an effort; to try hard,พยายาม; ความพยายาม,23,3,พยายาม; ความพยายาม,
半,bàn,half; semi-,ครึ่ง,23,3,ครึ่ง,
原谅,yuán liàng,to excuse; to forgive,"ให้อภัย, ยกโทษ",23,4,"ให้อภัย, ยกโทษ",
国,guó,country; nation; state,"ประเทศ, ชาติ",23,4,"ประเทศ, ชาติ",
城市,chéng shì,city; town,เมือง,23,3,เมือง,
希望,xī wàng,to hope; a hope,หวัง; ความหวัง,23,2,หวัง; ความหวัง,
开,kāi,to open; to turn on,เปิด; ขับ; เปิด(เครื่อง),23,1,เปิด; ขับ(รถ),"open/turn-on both = เปิด, merged; kept common 'drive' sense"
心情,xīn qíng,mood; frame of mind,"อารมณ์, ความรู้สึก",23,4,"อารมณ์, ความรู้สึก",
性格,xìng gé,nature; disposition,"นิสัย, บุคลิก",23,4,"นิสัย, บุคลิก",
打,dǎ,to hit; to play,ตี; โทร(ศัพท์); เล่น(กีฬา),23,1,ตี; เล่น(กีฬา),phone-call sense (打电话) omitted to keep two
拿,ná,to hold; to seize,"ถือ, หยิบ, เอา",23,3,"ถือ, หยิบ, เอา",
拿到,ná dào,to get; to obtain,"ได้รับ, ได้มา",23,4,"ได้รับ, ได้มา",
方式,fāng shì,way; method,"วิธีการ, รูปแบบ",23,5,"วิธีการ, รูปแบบ",
满,mǎn,full; satisfied,เต็ม,23,4,เต็ม; พอใจ,added the 'satisfied' sense
热,rè,hot; to heat up,ร้อน,23,1,ร้อน; อุ่น (ทำให้ร้อน),added the verb 'to heat up' sense
父母,fù mǔ,father and mother; parents,พ่อแม่,23,4,พ่อแม่,
狼,láng,wolf,หมาป่า,23,5,หมาป่า,
电影,diàn yǐng,movie; film,"ภาพยนตร์, หนัง",23,1,"ภาพยนตร์, หนัง",
目标,mù biāo,target; goal,เป้าหมาย,23,5,เป้าหมาย,
社会,shè huì,society,สังคม,23,4,สังคม,
紧张,jǐn zhāng,nervous; keyed up,"ตื่นเต้น, ประหม่า; ตึงเครียด",23,4,"ตื่นเต้น, ประหม่า; ตึงเครียด",
自行车,zì xíng chē,bicycle; bike,จักรยาน,23,2,จักรยาน,
论文,lùn wén,paper; treatise,"วิทยานิพนธ์, บทความวิชาการ",23,5,"วิทยานิพนธ์, บทความวิชาการ",
该,gāi,should; ought to,ควร; ...ดังกล่าว,23,3,ควร; ...ดังกล่าว,
谈,tán,to talk; to chat,"พูดคุย, สนทนา",23,4,"พูดคุย, คุย",style guide bans สนทนา (formal); 谈 is neutral -> plain spoken
进行,jìn xíng,to carry out; to proceed,"ดำเนินการ, ทำ",23,4,"ดำเนินการ, ทำ",
音乐,yīn yuè,music,"ดนตรี, เพลง",23,3,"ดนตรี, เพลง",
作为,zuò wéi,one's conduct; deed,ในฐานะ; ถือเป็น; การกระทำ,22,5,ในฐานะ; การกระทำ,EN-GLOSS-BUG: 'one's conduct; deed' omits the dominant 'as / in the capacity of' sense
刚才,gāng cái,just now; a moment ago,"เมื่อกี้, เมื่อสักครู่",22,3,"เมื่อกี้, เมื่อสักครู่",
发表,fā biǎo,to issue; to publish,"เผยแพร่, ตีพิมพ์, ประกาศ",22,5,"เผยแพร่, ตีพิมพ์, ประกาศ",
吃饭,chī fàn,to have a meal; to eat,กินข้าว,22,3,กินข้าว,
国家,guó jiā,country; nation,"ประเทศ, ชาติ",22,3,"ประเทศ, ชาติ",
国王,guó wáng,king,กษัตริย์,22,5,กษัตริย์,
复印,fù yìn,to photocopy; to duplicate a document,ถ่ายเอกสาร,22,4,ถ่ายเอกสาร,
女儿,nǚ ér,daughter,ลูกสาว,22,1,ลูกสาว,
好处,hǎo chù,benefit; advantage,"ข้อดี, ประโยชน์",22,4,"ข้อดี, ประโยชน์",
如,rú,as; as if,เช่น; ราวกับ,22,4,เช่น; ราวกับ,
密码,mì mǎ,cipher; secret code,"รหัสผ่าน, รหัสลับ",22,4,"รหัสผ่าน, รหัสลับ",
张,zhāng,classifier for sheets/tickets,แซ่จาง; ลักษณนามแผ่น,22,1,ลักษณนาม (แผ่น/ใบ),
技术,jì shù,technology; technique,"เทคโนโลยี, เทคนิค, ทักษะ",22,4,เทคโนโลยี; เทคนิค,
拒绝,jù jué,to refuse; to decline,ปฏิเสธ,22,4,ปฏิเสธ,
无,wú,not to have; no,"ไม่มี, ปราศจาก",22,4,"ไม่มี, ปราศจาก",
无法,wú fǎ,unable to; incapable of,"ไม่สามารถ, ...ไม่ได้",22,4,"ไม่สามารถ, ...ไม่ได้",
有人,yǒu rén,someone; people,"มีคน, บางคน",22,3,"มีคน, บางคน",
气,qì,air; angry,"ก๊าซ, อากาศ; โกรธ",22,5,อากาศ; โกรธ,
白天,bái tiān,daytime; during the day,"กลางวัน, ตอนกลางวัน",22,3,"กลางวัน, ตอนกลางวัน",
篇,piān,piece of writing; classifier,ลักษณนาม(บทความ/เรื่อง),22,4,ลักษณนาม(บทความ/เรื่อง),
红色,hóng sè,red; revolutionary,สีแดง,22,2,สีแดง,
经过,jīng guò,to pass; to go through,ผ่าน; ผ่านพ้น,22,3,ผ่าน; ผ่านพ้น,
羊,yáng,sheep; goat,"แกะ, แพะ",22,3,"แกะ, แพะ",
耐心,nài xīn,to be patient; patience,ความอดทน; อดทน,22,4,ความอดทน; อดทน,
能够,néng gòu,to be capable of; to be able to,สามารถ,22,4,สามารถ,
表现,biǎo xiàn,to show; to show off,"แสดงออก; ผลงาน, การแสดงออก",22,5,แสดงออก; ผลงาน,
语言,yǔ yán,language,ภาษา,22,4,ภาษา,
读,dú,to read,อ่าน,22,1,อ่าน,
送,sòng,to send; to deliver,ส่ง; มอบ(ของขวัญ); ไปส่ง,22,2,ส่ง; มอบ (ของขวัญ),
速度,sù dù,speed; rate,ความเร็ว,22,4,ความเร็ว,
那些,nà xiē,those,เหล่านั้น,22,2,เหล่านั้น,
重视,zhòng shì,to attach importance to something,ให้ความสำคัญ,22,4,ให้ความสำคัญ,
鼓励,gǔ lì,to encourage,"ให้กำลังใจ, สนับสนุน",22,4,"ให้กำลังใจ, สนับสนุน",
之间,zhī jiān,after a noun between; among,ระหว่าง,21,4,ระหว่าง,
价值,jià zhí,value; worth,"คุณค่า, มูลค่า",21,5,คุณค่า; มูลค่า,
作品,zuò pǐn,work; opus,ผลงาน (ศิลปะ/วรรณกรรม),21,5,ผลงาน (ศิลปะ/วรรณกรรม),
利用,lì yòng,to exploit; to make use of,"ใช้ประโยชน์, ใช้",21,5,"ใช้ประโยชน์, ใช้",
十分,shí fēn,very; completely,"อย่างยิ่ง, มาก",21,4,"อย่างยิ่ง, มาก",
如何,rú hé,how; what way,"อย่างไร, เช่นไร",21,5,"อย่างไร, เช่นไร",
学生,xué shēng,student; schoolchild,"นักเรียน, นักศึกษา",21,1,"นักเรียน, นักศึกษา",
广,guǎng,wide; broad,"กว้าง, แพร่หลาย",21,5,"กว้าง, แพร่หลาย",
找到,zhǎo dào,to find,"หาเจอ, พบ",21,2,"หาเจอ, พบ",
方便,fāng biàn,convenient; suitable,สะดวก,21,3,สะดวก,
材料,cái liào,raw material; data,วัสดุ; ข้อมูล,21,4,วัสดุ; ข้อมูล,
杯子,bēi zi,cup; glass,"แก้ว, ถ้วย",21,1,"แก้ว, ถ้วย",
森林,sēn lín,forest,ป่า,21,4,ป่า,
正在,zhèng zài,to be in the process of,กำลัง...อยู่,21,2,กำลัง...อยู่,
母亲,mǔ qīn,mother,"แม่, มารดา",21,4,"แม่, มารดา",
牛,niú,cow; ox,"วัว, โค",21,4,"วัว, โค",
理想,lǐ xiǎng,an ideal; a dream,"อุดมคติ, ความใฝ่ฝัน; ในอุดมคติ",21,4,อุดมคติ; ความใฝ่ฝัน,
病人,bìng rén,sick person; patient,"ผู้ป่วย, คนไข้",21,5,"ผู้ป่วย, คนไข้",
看法,kàn fǎ,way of looking at a thing; view,"มุมมอง, ความคิดเห็น",21,4,"มุมมอง, ความคิดเห็น",
结果,jié guǒ,result; outcome,ผลลัพธ์; ผลที่ตามมา,21,4,ผลลัพธ์; ผลที่ตามมา,
而且,ér qiě,not only ... but also; moreover,"อีกทั้ง, ยิ่งไปกว่านั้น",21,3,"อีกทั้ง, ยิ่งไปกว่านั้น",
走路,zǒu lù,to walk; to go on foot,"เดิน, เดินเท้า",21,2,"เดิน, เดินเท้า",
越来越,yuè lái yuè,more and more,"ยิ่ง...ยิ่งขึ้น, มากขึ้นเรื่อยๆ",21,3,"ยิ่ง...ยิ่งขึ้น, มากขึ้นเรื่อยๆ",
适应,shì yìng,to adapt; to fit,"ปรับตัว, เข้ากับ",21,4,"ปรับตัว, เข้ากับ",
顾客,gù kè,customer; client,ลูกค้า,21,4,ลูกค้า,
乒乓球,pīng pāng qiú,table tennis; ping-pong,"ปิงปอง, เทเบิลเทนนิส",20,4,"ปิงปอง, เทเบิลเทนนิส",
京剧,jīng jù,Beijing opera,งิ้วปักกิ่ง,20,4,งิ้วปักกิ่ง,
