key,english,thai_current,thai_proposed
street.captionReady,{buildings} landmarks unlocked. Decorate the street to make it yours.,ปลดล็อกจุดเด่นแล้ว {buildings} จุด ตกแต่งถนนในแบบของคุณ,ปลดล็อกจุดเด่นแล้ว {buildings} จุด ตกแต่งถนนในแบบของคุณ
street.captionSummary,{placed} decorations · {stored} stored · {buildings} landmarks,ของตกแต่ง {placed} · เก็บไว้ {stored} · จุดเด่น {buildings},ของตกแต่ง {placed} · เก็บไว้ {stored} · จุดเด่น {buildings}
street.nameEdit,Name your street,ตั้งชื่อถนนของคุณ,ตั้งชื่อถนนของคุณ
street.namePlaceholder,e.g. Sunny Lane,เช่น ถนนแสงตะวัน,เช่น ถนนแสงตะวัน
street.namedCaption,{name},{name},{name}
street.coachPlace,"You earned the {name}! Select a glowing plot to place it, or Skip for an automatic home.",คุณได้รับ{name}! เลือกพื้นที่เรืองแสงเพื่อวาง หรือกดข้ามให้จัดอัตโนมัติ,คุณได้รับ{name}! เลือกพื้นที่เรืองแสงเพื่อวาง หรือกดข้ามให้จัดอัตโนมัติ
street.coachSelect,"Choose your Welcome Lantern, then select a glowing plot.",เลือกโคมต้อนรับ แล้วเลือกพื้นที่เรืองแสง,เลือกโคมต้อนรับ แล้วเลือกพื้นที่เรืองแสง
street.skip,Skip,ข้าม,ข้าม
street.placed,Placed,วางแล้ว,วางแล้ว
street.stored,Stored,เก็บไว้,เก็บไว้
street.inventoryEmpty,No decorations match this filter.,ไม่มีของตกแต่งในตัวกรองนี้,ไม่มีของตกแต่งในตัวกรองนี้
street.noMove,That decoration needs a compatible empty plot.,ของชิ้นนี้ต้องใช้พื้นที่ว่างที่มีขนาดเหมาะสม,ของชิ้นนี้ต้องใช้พื้นที่ว่างที่มีขนาดเหมาะสม
street.placedAnnouncement,Placed {name}.,วาง{name}แล้ว,วาง{name}แล้ว
street.storedAnnouncement,Moved {name} to storage.,ย้าย{name}ไปเก็บแล้ว,ย้าย{name}ไปเก็บแล้ว
street.undoAnnouncement,Undid the last street change.,ย้อนกลับการแก้ไขล่าสุดแล้ว,ย้อนกลับการแก้ไขล่าสุดแล้ว
street.autoAnnouncement,Stored decorations were arranged.,จัดของที่เก็บไว้ลงถนนแล้ว,จัดของที่เก็บไว้ลงถนนแล้ว
street.selectedAnnouncement,Selected {name}. {count} compatible plots available.,เลือก{name}แล้ว มีพื้นที่ที่ใช้ได้ {count} จุด,เลือก{name}แล้ว มีพื้นที่ที่ใช้ได้ {count} จุด
street.savedAnnouncement,Your street was saved.,บันทึกถนนของคุณแล้ว,บันทึกถนนของคุณแล้ว
street.purchaseAnnouncement,Bought {name}. It is ready to place.,ซื้อ{name}แล้ว พร้อมนำไปวาง,ซื้อ{name}แล้ว พร้อมนำไปวาง
street.upgradeAnnouncement,Upgraded {name} to {stars}.,อัปเกรด{name}เป็น {stars} แล้ว,อัปเกรด{name}เป็น {stars} แล้ว
street.buyAndPlace,Buy ★ & place · {coins} coins,ซื้อ ★ และวาง · {coins} เหรียญ,ซื้อ ★ และวาง · {coins} เหรียญ
street.buyToInventory,Buy to inventory · {coins} coins,ซื้อเก็บเข้าคลัง · {coins} เหรียญ,ซื้อเก็บเข้าคลัง · {coins} เหรียญ
street.buyToInventoryHint,Move or store an item to place this.,ย้ายหรือเก็บของชิ้นอื่นก่อน แล้วค่อยวางชิ้นนี้,ย้ายหรือเก็บของชิ้นอื่นก่อน แล้วค่อยวางชิ้นนี้
street.placeIt,Place it,วางเลย,วางเลย
street.notEnough,Not enough coins for that purchase.,เหรียญไม่พอสำหรับการซื้อนี้,เหรียญไม่พอสำหรับการซื้อนี้
street.reserveToggle,Reserve coins for this build,กันเหรียญไว้สำหรับงานนี้,กันเหรียญไว้สำหรับงานนี้
street.reserveHint,Reserved coins stay set aside for your next build.,เหรียญที่กันไว้จะถูกเก็บไว้สำหรับงานถัดไป,เหรียญที่กันไว้จะถูกเก็บไว้สำหรับงานถัดไป
street.reserveBlocked,Those coins are reserved for your build.,เหรียญเหล่านั้นถูกกันไว้สำหรับงานของคุณ,เหรียญเหล่านั้นถูกกันไว้สำหรับงานของคุณ
street.projectEyebrow,Next street build,สิ่งที่จะสร้างบนถนนต่อไป,สิ่งที่จะสร้างบนถนนต่อไป
street.projectProgress,{pct}% of price · {coins} coins to go,{pct}% ของราคา · เหลืออีก {coins} เหรียญ,{pct}% ของราคา · เหลืออีก {coins} เหรียญ
street.projectReady,Ready to build!,พร้อมสร้างแล้ว!,พร้อมสร้างแล้ว!
street.projectReserved,Reserved while this is your project,เก็บไว้ให้คุณตราบใดที่ยังเป็นโปรเจกต์,เก็บไว้ให้คุณตราบใดที่ยังเป็นสิ่งที่คุณจะสร้าง
street.makeProject,Set as my next build,ตั้งเป็นสิ่งที่จะสร้างต่อไป,ตั้งเป็นสิ่งที่จะสร้างต่อไป
street.currentProject,Current next build,สิ่งที่จะสร้างปัจจุบัน,สิ่งที่จะสร้างปัจจุบัน
street.changeProject,Change,เปลี่ยน,เปลี่ยน
street.buildNow,Build now,สร้างเลย,สร้างเลย
street.projectSelectedAnnouncement,{name} is now your next Street build.,ตั้ง{name}เป็นสิ่งที่จะสร้างบนถนนต่อไปแล้ว,ตั้ง{name}เป็นสิ่งที่จะสร้างบนถนนต่อไปแล้ว
street.projectBlueprintLabel,"{name} project blueprint, {pct}% of price reached",พิมพ์เขียวโปรเจกต์{name} ถึง {pct}% ของราคา,พิมพ์เขียวของ{name} ถึง {pct}% ของราคาแล้ว
street.setComplete,{set} complete ✨,{set} ครบชุดแล้ว ✨,{set} ครบชุดแล้ว ✨
street.collection,Collection,คอลเลกชัน,ของสะสม
street.collectionSetHeader,{name} — {owned}/{total},{name} — {owned}/{total},{name} — {owned}/{total}
street.collectionComplete,Complete ✓,ครบแล้ว ✓,ครบแล้ว ✓
street.collectionLocked,Not yet owned,ยังไม่มี,ยังไม่มี
street.collectionEmpty,No decorations to show yet.,ยังไม่มีของตกแต่งให้แสดง,ยังไม่มีของตกแต่งให้แสดง
street.layouts,Layouts,เลย์เอาต์,แบบจัดวาง
street.layoutSave,Save here,บันทึกที่นี่,บันทึกที่นี่
street.layoutLoad,Load,โหลด,โหลด
street.layoutSlot,Slot {n},ช่อง {n},ช่อง {n}
street.layoutOverwrite,Replace this saved layout?,แทนที่เลย์เอาต์ที่บันทึกไว้?,แทนที่แบบจัดวางที่บันทึกไว้?
street.layoutOverwriteYes,Replace,แทนที่,แทนที่
street.layoutSavedAnnouncement,Saved to Slot {n}.,บันทึกลงช่อง {n} แล้ว,บันทึกลงช่อง {n} แล้ว
street.layoutLoadedAnnouncement,Loaded Slot {n}.,โหลดช่อง {n} แล้ว,โหลดช่อง {n} แล้ว
street.keepsakes,Keepsakes,ของที่ระลึก,ของที่ระลึก
street.keepsakeWelcome,Your first lantern,โคมไฟดวงแรกของคุณ,โคมไฟดวงแรกของคุณ
street.keepsakeSet,{set} set completed,สะสมชุด {set} ครบแล้ว,สะสมชุด {set} ครบแล้ว
street.keepsakeDaily,A neighbour dropped by,เพื่อนบ้านแวะมา,เพื่อนบ้านแวะมา
street.keepsakeWord,— you'd learned {word},— คุณเรียน {word} แล้ว,— คุณเรียน {word} แล้ว
street.keepsakesEmpty,Keepsakes you earn will rest here.,ของที่ระลึกที่ได้จะอยู่ที่นี่,ของที่ระลึกที่ได้จะอยู่ที่นี่
street.dailyGreeting,A neighbour stopped by!,เพื่อนบ้านแวะมา!,เพื่อนบ้านแวะมา!
street.dailyGift,They left you {coins} coins.,ฝากเหรียญไว้ให้ {coins} เหรียญ,ฝากเหรียญไว้ให้ {coins} เหรียญ
