key,english,thai_current
street.savedAnnouncement,Your street was saved.,บันทึกถนนของคุณแล้ว
street.purchaseAnnouncement,Bought {name}. It is ready to place.,ซื้อ{name}แล้ว พร้อมนำไปวาง
street.upgradeAnnouncement,Upgraded {name} to {stars}.,อัปเกรด{name}เป็น {stars} แล้ว
street.buyAndPlace,Buy ★ & place · {coins} coins,ซื้อ ★ และวาง · {coins} เหรียญ
street.buyToInventory,Buy to inventory · {coins} coins,ซื้อเก็บเข้าคลัง · {coins} เหรียญ
street.buyToInventoryHint,Move or store an item to place this.,ย้ายหรือเก็บของชิ้นอื่นก่อน แล้วค่อยวางชิ้นนี้
street.placeIt,Place it,วางเลย
street.notEnough,Not enough coins for that purchase.,เหรียญไม่พอสำหรับการซื้อนี้
street.reserveToggle,Reserve coins for this build,กันเหรียญไว้สำหรับงานนี้
street.reserveHint,Reserved coins stay set aside for your next build.,เหรียญที่กันไว้จะถูกเก็บไว้สำหรับงานถัดไป
street.reserveBlocked,Those coins are reserved for your build.,เหรียญเหล่านั้นถูกกันไว้สำหรับงานของคุณ
street.projectEyebrow,Next street build,สิ่งที่จะสร้างบนถนนต่อไป
street.projectProgress,{pct}% of price · {coins} coins to go,{pct}% ของราคา · เหลืออีก {coins} เหรียญ
street.projectReady,Ready to build!,พร้อมสร้างแล้ว!
street.projectReserved,Reserved while this is your project,เก็บไว้ให้คุณตราบใดที่ยังเป็นโปรเจกต์
street.makeProject,Set as my next build,ตั้งเป็นสิ่งที่จะสร้างต่อไป
street.currentProject,Current next build,สิ่งที่จะสร้างปัจจุบัน
street.changeProject,Change,เปลี่ยน
street.buildNow,Build now,สร้างเลย
street.projectSelectedAnnouncement,{name} is now your next Street build.,ตั้ง{name}เป็นสิ่งที่จะสร้างบนถนนต่อไปแล้ว
street.projectBlueprintLabel,"{name} project blueprint, {pct}% of price reached",พิมพ์เขียวโปรเจกต์{name} ถึง {pct}% ของราคา
street.setComplete,{set} complete ✨,{set} ครบชุดแล้ว ✨
street.collection,Collection,คอลเลกชัน
street.collectionSetHeader,{name} — {owned}/{total},{name} — {owned}/{total}
street.collectionComplete,Complete ✓,ครบแล้ว ✓
street.collectionLocked,Not yet owned,ยังไม่มี
street.collectionEmpty,No decorations to show yet.,ยังไม่มีของตกแต่งให้แสดง
street.layouts,Layouts,เลย์เอาต์
street.layoutSave,Save here,บันทึกที่นี่
street.layoutLoad,Load,โหลด
street.layoutSlot,Slot {n},ช่อง {n}
street.layoutOverwrite,Replace this saved layout?,แทนที่เลย์เอาต์ที่บันทึกไว้?
street.layoutOverwriteYes,Replace,แทนที่
street.layoutSavedAnnouncement,Saved to Slot {n}.,บันทึกลงช่อง {n} แล้ว
street.layoutLoadedAnnouncement,Loaded Slot {n}.,โหลดช่อง {n} แล้ว
street.keepsakes,Keepsakes,ของที่ระลึก
street.keepsakeWelcome,Your first lantern,โคมไฟดวงแรกของคุณ
street.keepsakeSet,{set} set completed,สะสมชุด {set} ครบแล้ว
street.keepsakeDaily,A neighbour dropped by,เพื่อนบ้านแวะมา
street.keepsakeWord,— you'd learned {word},— คุณเรียน {word} แล้ว
street.keepsakesEmpty,Keepsakes you earn will rest here.,ของที่ระลึกที่ได้จะอยู่ที่นี่
street.dailyGreeting,A neighbour stopped by!,เพื่อนบ้านแวะมา!
street.dailyGift,They left you {coins} coins.,ฝากเหรียญไว้ให้ {coins} เหรียญ
