key,english,thai_current,thai_proposed
street.captionReady,{buildings} landmarks unlocked. Decorate the street to make it yours.,ปลดล็อกจุดเด่นแล้ว {buildings} จุด ตกแต่งถนนในแบบของคุณ,ปลดล็อกจุดเด่นแล้ว {buildings} จุด ตกแต่งถนนในแบบของคุณ
street.captionSummary,{placed} decorations · {stored} stored · {buildings} landmarks,ของตกแต่ง {placed} · เก็บไว้ {stored} · จุดเด่น {buildings},ของตกแต่ง {placed} · เก็บไว้ {stored} · จุดเด่น {buildings}
street.nameEdit,Name your street,ตั้งชื่อถนนของคุณ,ตั้งชื่อถนนของคุณ
street.namePlaceholder,e.g. Sunny Lane,เช่น ถนนแสงตะวัน,เช่น ถนนแสงตะวัน
street.namedCaption,{name},{name},{name}
street.coachPlace,"You earned the {name}! Select a glowing plot to place it, or Skip for an automatic home.",คุณได้รับ{name}! เลือกพื้นที่เรืองแสงเพื่อวาง หรือกดข้ามให้จัดอัตโนมัติ,คุณได้รับ{name}! เลือกพื้นที่เรืองแสงเพื่อวาง หรือกดข้ามให้จัดอัตโนมัติ
street.coachSelect,"Choose your Welcome Lantern, then select a glowing plot.",เลือกโคมต้อนรับ แล้วเลือกพื้นที่เรืองแสง,เลือกโคมต้อนรับ แล้วเลือกพื้นที่เรืองแสง
street.skip,Skip,ข้าม,ข้าม
street.placed,Placed,วางแล้ว,วางแล้ว
street.stored,Stored,เก็บไว้,เก็บไว้
street.inventoryEmpty,No decorations match this filter.,ไม่มีของตกแต่งในตัวกรองนี้,ไม่มีของตกแต่งในตัวกรองนี้
street.noMove,That decoration needs a compatible empty plot.,ของชิ้นนี้ต้องใช้พื้นที่ว่างที่มีขนาดเหมาะสม,ของชิ้นนี้ต้องใช้พื้นที่ว่างที่มีขนาดเหมาะสม
street.placedAnnouncement,Placed {name}.,วาง{name}แล้ว,วาง{name}แล้ว
street.storedAnnouncement,Moved {name} to storage.,ย้าย{name}ไปเก็บแล้ว,ย้าย{name}ไปเก็บแล้ว
street.undoAnnouncement,Undid the last street change.,ย้อนกลับการแก้ไขล่าสุดแล้ว,ย้อนกลับการแก้ไขล่าสุดแล้ว
street.autoAnnouncement,Stored decorations were arranged.,จัดของที่เก็บไว้ลงถนนแล้ว,จัดของที่เก็บไว้ลงถนนแล้ว
street.selectedAnnouncement,Selected {name}. {count} compatible plots available.,เลือก{name}แล้ว มีพื้นที่ที่ใช้ได้ {count} จุด,เลือก{name}แล้ว มีพื้นที่ที่ใช้ได้ {count} จุด
street.savedAnnouncement,Your street was saved.,บันทึกถนนของคุณแล้ว,บันทึกถนนของคุณแล้ว
street.purchaseAnnouncement,Bought {name}. It is ready to place.,ซื้อ{name}แล้ว พร้อมนำไปวาง,ซื้อ{name}แล้ว พร้อมนำไปวาง
street.upgradeAnnouncement,Upgraded {name} to {stars}.,อัปเกรด{name}เป็น {stars} แล้ว,อัปเกรด{name}เป็น {stars} แล้ว
street.buyAndPlace,Buy ★ & place · {coins} coins,ซื้อ ★ และวาง · {coins} เหรียญ,ซื้อ ★ และวาง · {coins} เหรียญ
street.buyToInventory,Buy to inventory · {coins} coins,ซื้อเก็บเข้าคลัง · {coins} เหรียญ,ซื้อเก็บเข้าคลัง · {coins} เหรียญ
street.buyToInventoryHint,Move or store an item to place this.,ย้ายหรือเก็บของชิ้นอื่นก่อน แล้วค่อยวางชิ้นนี้,ย้ายหรือเก็บของชิ้นอื่นก่อน แล้วค่อยวางชิ้นนี้
street.placeIt,Place it,วางเลย,วางเลย
street.notEnough,Not enough coins for that purchase.,เหรียญไม่พอสำหรับการซื้อนี้,เหรียญไม่พอสำหรับการซื้อนี้
street.reserveToggle,Reserve coins for this build,กันเหรียญไว้สำหรับงานนี้,กันเหรียญไว้สำหรับงานนี้
street.reserveHint,Reserved coins stay set aside for your next build.,เหรียญที่กันไว้จะถูกเก็บไว้สำหรับงานถัดไป,เหรียญที่กันไว้จะถูกเก็บไว้สำหรับงานถัดไป
street.reserveBlocked,Those coins are reserved for your build.,เหรียญเหล่านั้นถูกกันไว้สำหรับงานของคุณ,เหรียญเหล่านั้นถูกกันไว้สำหรับงานของคุณ
street.projectEyebrow,Next street build,สิ่งที่จะสร้างบนถนนต่อไป,สิ่งที่จะสร้างบนถนนต่อไป
street.projectProgress,{pct}% of price · {coins} coins to go,{pct}% ของราคา · เหลืออีก {coins} เหรียญ,{pct}% ของราคา · เหลืออีก {coins} เหรียญ
street.projectReady,Ready to build!,พร้อมสร้างแล้ว!,พร้อมสร้างแล้ว!
street.projectReserved,Reserved while this is your project,เก็บไว้ให้คุณตราบใดที่ยังเป็นโปรเจกต์,เก็บไว้ให้คุณตราบใดที่ยังเป็นสิ่งที่คุณจะสร้าง
street.makeProject,Set as my next build,ตั้งเป็นสิ่งที่จะสร้างต่อไป,ตั้งเป็นสิ่งที่จะสร้างต่อไป
street.currentProject,Current next build,สิ่งที่จะสร้างปัจจุบัน,สิ่งที่จะสร้างปัจจุบัน
street.changeProject,Change,เปลี่ยน,เปลี่ยน
street.buildNow,Build now,สร้างเลย,สร้างเลย
street.projectSelectedAnnouncement,{name} is now your next Street build.,ตั้ง{name}เป็นสิ่งที่จะสร้างบนถนนต่อไปแล้ว,ตั้ง{name}เป็นสิ่งที่จะสร้างบนถนนต่อไปแล้ว
street.projectBlueprintLabel,"{name} project blueprint, {pct}% of price reached",พิมพ์เขียวโปรเจกต์{name} ถึง {pct}% ของราคา,พิมพ์เขียวของ{name} ถึง {pct}% ของราคาแล้ว
street.setComplete,{set} complete ✨,{set} ครบชุดแล้ว ✨,{set} ครบชุดแล้ว ✨
street.collection,Collection,คอลเลกชัน,ของสะสม
street.collectionSetHeader,{name} — {owned}/{total},{name} — {owned}/{total},{name} — {owned}/{total}
street.collectionComplete,Complete ✓,ครบแล้ว ✓,ครบแล้ว ✓
street.collectionLocked,Not yet owned,ยังไม่มี,ยังไม่มี
street.collectionEmpty,No decorations to show yet.,ยังไม่มีของตกแต่งให้แสดง,ยังไม่มีของตกแต่งให้แสดง
street.layouts,Layouts,เลย์เอาต์,แบบจัดวาง
street.layoutSave,Save here,บันทึกที่นี่,บันทึกที่นี่
street.layoutLoad,Load,โหลด,โหลด
street.layoutSlot,Slot {n},ช่อง {n},ช่อง {n}
street.layoutOverwrite,Replace this saved layout?,แทนที่เลย์เอาต์ที่บันทึกไว้?,แทนที่แบบจัดวางที่บันทึกไว้?
street.layoutOverwriteYes,Replace,แทนที่,แทนที่
street.layoutSavedAnnouncement,Saved to Slot {n}.,บันทึกลงช่อง {n} แล้ว,บันทึกลงช่อง {n} แล้ว
street.layoutLoadedAnnouncement,Loaded Slot {n}.,โหลดช่อง {n} แล้ว,โหลดช่อง {n} แล้ว
street.keepsakes,Keepsakes,ของที่ระลึก,ของที่ระลึก
street.keepsakeWelcome,Your first lantern,โคมไฟดวงแรกของคุณ,โคมไฟดวงแรกของคุณ
street.keepsakeSet,{set} set completed,สะสมชุด {set} ครบแล้ว,สะสมชุด {set} ครบแล้ว
street.keepsakeDaily,A neighbour dropped by,เพื่อนบ้านแวะมา,เพื่อนบ้านแวะมา
street.keepsakeWord,— you'd learned {word},— คุณเรียน {word} แล้ว,— คุณเรียน {word} แล้ว
street.keepsakesEmpty,Keepsakes you earn will rest here.,ของที่ระลึกที่ได้จะอยู่ที่นี่,ของที่ระลึกที่ได้จะอยู่ที่นี่
street.dailyGreeting,A neighbour stopped by!,เพื่อนบ้านแวะมา!,เพื่อนบ้านแวะมา!
street.dailyGift,They left you {coins} coins.,ฝากเหรียญไว้ให้ {coins} เหรียญ,ฝากเหรียญไว้ให้ {coins} เหรียญ
item.supporter,Supporter Pack,แพ็กผู้สนับสนุน,แพ็กผู้สนับสนุน
item.coins_s,Coin Pouch,ถุงเหรียญ,ถุงเหรียญ
item.coins_m,Coin Stack,กองเหรียญ,กองเหรียญ
item.coins_l,Coin Chest,หีบเหรียญ,หีบเหรียญ
item.coins_xl,Coin Vault,คลังเหรียญ,คลังเหรียญ
item.market,Night Market,ตลาดกลางคืน,ตลาดกลางคืน
item.temple,Temple Dawn,วัดยามรุ่งอรุณ,วัดยามรุ่งอรุณ
item.bamboo,Bamboo,ไผ่,ไผ่
item.sakura-fx,Sakura Petals,กลีบซากุระ,กลีบซากุระ
item.firecracker-fx,Firecrackers,ประทัด,ประทัด
item.bells,Temple Bells,ระฆังวัด,ระฆังวัด
item.arcade,Arcade,อาร์เคด,อาร์เคด
item.red-lantern,Red Lantern,โคมแดง,โคมแดง
item.red-lantern.desc,A warm lantern that glows when you tap it.,โคมไฟอบอุ่นที่เปล่งแสงเมื่อแตะ,โคมไฟอบอุ่นที่เปล่งแสงเมื่อแตะ
item.noodle-stall,Noodle Stall,แผงก๋วยเตี๋ยว,แผงก๋วยเตี๋ยว
item.noodle-stall.desc,A lively street kitchen with a curl of steam.,ครัวริมทางคึกคักพร้อมไอร้อนลอยกรุ่น,ครัวริมทางคึกคักพร้อมไอร้อนลอยกรุ่น
item.tea-sign,Tea Sign,ป้ายชา,ป้ายชา
item.tea-sign.desc,A welcoming tea-house sign with a soft glow.,ป้ายร้านชาที่ต้อนรับด้วยแสงนุ่ม ๆ,ป้ายร้านชาที่ต้อนรับด้วยแสงนุ่ม ๆ
item.foo-dog,Foo Dog,สิงโตหิน,สิงโตหิน
item.foo-dog.desc,A tiny guardian that sparkles in celebration.,ผู้พิทักษ์ตัวจิ๋วที่เปล่งประกายเมื่อฉลอง,ผู้พิทักษ์ตัวจิ๋วที่เปล่งประกายเมื่อฉลอง
item.golden-arch,Golden Arch,ซุ้มประตูทอง,ซุ้มประตูทอง
item.golden-arch.desc,A grand golden gateway for the street entrance.,ซุ้มประตูทองอันสง่างามสำหรับทางเข้าถนน,ซุ้มประตูทองอันสง่างามสำหรับทางเข้าถนน
item.streak-freeze,Streak Freeze,น้ำแข็งพิทักษ์สตรีค,น้ำแข็งรักษาการเรียนต่อเนื่อง
item.streak-freeze.desc,Covers a missed day — your streak survives,ชดเชยวันที่ขาดเรียน — รักษาสตรีคของคุณไว้,ชดเชยวันที่ขาดเรียน — รักษาการเรียนต่อเนื่องไว้
item.panda,Panda,แพนด้า,แพนด้า
item.ninja,Ninja,นินจา,นินจา
item.astronaut,Astronaut,นักบินอวกาศ,นักบินอวกาศ
item.harbor-night,Harbor Night,ท่าเรือยามค่ำคืน,ท่าเรือยามค่ำคืน
item.snow-festival,Snow Festival,เทศกาลหิมะ,เทศกาลหิมะ
item.mahjong-table,Mahjong Table,โต๊ะไพ่นกกระจอก,โต๊ะไพ่นกกระจอก
item.mahjong-table.desc,A social game table ready for a winning hand.,โต๊ะสังสรรค์พร้อมสำหรับไพ่ชุดชนะ,โต๊ะเกมสังสรรค์พร้อมลุ้นไพ่ชุดชนะ
item.koi-pond,Koi Pond,บ่อปลาคาร์ป,บ่อปลาคาร์ป
item.koi-pond.desc,A calm garden pond with tappable ripples.,บ่อสวนแสนสงบที่แตะให้เกิดระลอกน้ำได้,บ่อสวนแสนสงบที่แตะให้เกิดระลอกน้ำได้
item.drum-tower,Drum Tower,หอกลอง,หอกลอง
item.drum-tower.desc,A festival landmark that celebrates with stars.,จุดเด่นประจำเทศกาลที่ฉลองด้วยดวงดาว,จุดเด่นประจำเทศกาลที่ฉลองด้วยดวงดาว
item.bubble-tea,Bubble Tea Stand,ร้านชานมไข่มุก,ร้านชานมไข่มุก
item.bubble-tea.desc,A cheerful drink stand for the market lane.,ร้านเครื่องดื่มสดใสสำหรับย่านตลาด,ร้านเครื่องดื่มสดใสสำหรับย่านตลาด
item.paper-umbrella,Paper Umbrella,ร่มกระดาษ,ร่มกระดาษ
item.paper-umbrella.desc,A painted umbrella that flutters in the breeze.,ร่มลายวาดที่พลิ้วไหวตามสายลม,ร่มลายวาดที่พลิ้วไหวตามสายลม
item.goldfish-banner,Goldfish Banner,ธงปลาทอง,ธงปลาทอง
item.goldfish-banner.desc,A lucky banner made to dance in the wind.,ธงนำโชคที่เต้นไปกับสายลม,ธงนำโชคที่เต้นไปกับสายลม
item.neon-cat-sign,Neon Cat Sign,ป้ายไฟแมวนีออน,ป้ายไฟแมวนีออน
item.neon-cat-sign.desc,A bright cat sign that lights up the night.,ป้ายแมวสว่างไสวที่ทำให้ค่ำคืนมีสีสัน,ป้ายแมวสว่างไสวที่ทำให้ค่ำคืนมีสีสัน
item.lion-drum,Lion Dance Drum,กลองเชิดสิงโต,กลองเชิดสิงโต
item.star-shower,Star Shower,ฝนดาว,ฝนดาว
item.beach,Beach Cat,แมวชายหาด,แมวชายหาด
item.island-sunset,Island Sunset,พระอาทิตย์ตกที่เกาะ,พระอาทิตย์ตกที่เกาะ
item.shaved-ice-cart,Shaved-Ice Cart,รถเข็นน้ำแข็งไส,รถเข็นน้ำแข็งไส
item.shaved-ice-cart.desc,A cool summer cart serving colorful treats.,รถเข็นฤดูร้อนเสิร์ฟของหวานสีสันสดใส,รถเข็นเย็นฉ่ำรับหน้าร้อน เสิร์ฟของหวานสีสันสดใส
item.mooncake-rabbit,Mooncake Rabbit,กระต่ายขนมไหว้พระจันทร์,กระต่ายขนมไหว้พระจันทร์
item.lantern-festival,Lantern Festival,เทศกาลโคมไฟ,เทศกาลโคมไฟ
item.mooncake-stall,Mooncake Stall,แผงขนมไหว้พระจันทร์,แผงขนมไหว้พระจันทร์
item.mooncake-stall.desc,A moonlit festival stall stacked with mooncakes.,แผงเทศกาลใต้แสงจันทร์ที่เต็มไปด้วยขนม,แผงเทศกาลใต้แสงจันทร์ที่เต็มไปด้วยขนม
item.dragon,Dragon,มังกร,มังกร
item.dragon-gate,Dragon Gate,ประตูมังกร,ประตูมังกร
item.firecracker-arch,Firecracker Arch,ซุ้มประทัด,ซุ้มประทัด
item.firecracker-arch.desc,A brilliant red gateway built for celebrations.,ซุ้มประตูสีแดงสดใสที่สร้างมาเพื่อการฉลอง,ซุ้มประตูสีแดงสดใสที่สร้างมาเพื่อการฉลอง
building.lantern-post,Lantern Post,เสาโคมไฟ,เสาโคมไฟ
building.coin-bank,Coin Bank,ธนาคารเหรียญ,ธนาคารเหรียญ
building.tailor,Tailor Shop,ร้านตัดเสื้อ,ร้านตัดเสื้อ
building.kitten-cafe,Kitten Café,คาเฟ่ลูกแมว,คาเฟ่ลูกแมว
building.emperor-gate,Emperor's Gate,ประตูจักรพรรดิ,ประตูจักรพรรดิ
battle.critical,BRILLIANT!,ยอดเยี่ยม!,ยอดเยี่ยม!
toast.freeze-used,Streak Freeze used — your {n}-day streak is safe,ใช้น้ำแข็งพิทักษ์สตรีคแล้ว — สตรีค {n} วันของคุณยังอยู่,ใช้น้ำแข็งรักษาการเรียนต่อเนื่องแล้ว — สถิติ {n} วันของคุณยังอยู่
fc.noThai,no Thai yet,ยังไม่มีภาษาไทย,ยังไม่มีภาษาไทย
fc.inSentence,In a sentence,ในประโยค,ในประโยค
battle.round,Round {label},รอบ {label},รอบ {label}
battle.wordQuest,Word Quest,ภารกิจคำศัพท์,ภารกิจคำศัพท์
battle.routeName,Lantern Trail,เส้นทางโคมไฟ,เส้นทางโคมไฟ
battle.reviewPouch,Review Pouch {n},ถุงทบทวน {n},ถุงทบทวน {n}
battle.learnedProgress,Learned {label},เรียนแล้ว {label},เรียนแล้ว {label}
battle.luckyFlow,Lucky Flow,จังหวะโชคดี,จังหวะโชคดี
battle.promptChoose,Choose the correct meaning.,เลือกความหมายที่ถูกต้อง,เลือกความหมายที่ถูกต้อง
battle.promptMeaning,Choose the correct meaning.,เลือกความหมายที่ถูกต้อง,เลือกความหมายที่ถูกต้อง
battle.promptListen,"Listen, then choose the meaning you heard.",ฟังเสียง แล้วเลือกความหมายที่ได้ยิน,ฟังเสียง แล้วเลือกความหมายที่ได้ยิน
battle.promptReverse,Choose the hanzi that matches the meaning.,เลือกอักษรจีนที่ตรงกับความหมาย,เลือกตัวอักษรจีนที่ตรงกับความหมาย
battle.promptTone,Choose the correct pinyin and tone.,เลือกพินอินและวรรณยุกต์ที่ถูกต้อง,เลือกพินอินและวรรณยุกต์ที่ถูกต้อง
battle.promptCloze,Choose the word that completes the sentence.,เลือกคำที่เติมประโยคให้สมบูรณ์,เลือกคำที่เติมประโยคให้สมบูรณ์
battle.promptTyped,"Type the pinyin letters, then choose any tones shown.",พิมพ์ตัวอักษรพินอิน แล้วเลือกวรรณยุกต์ที่แสดง,พิมพ์ตัวอักษรพินอิน แล้วเลือกวรรณยุกต์ที่แสดง
battle.reviewChallengeIntro,Review Challenge · recall this word in two steps.,ด่านทบทวน · ทบทวนคำนี้ให้ครบสองขั้น,ด่านทบทวน · ทบทวนคำนี้ให้ครบสองขั้น
battle.feedbackLearned,Got it — this word is growing stronger.,เก่งมาก — คุณจำคำนี้ได้ดีขึ้นอีกขั้น,เก่งมาก — คุณจำคำนี้ได้ดีขึ้นอีกขั้น
battle.feedbackReview,Added to your Review Pouch — you will see it again soon.,เพิ่มลงถุงทบทวนแล้ว — คุณจะได้พบคำนี้อีกในไม่ช้า,เพิ่มลงถุงทบทวนแล้ว — คุณจะได้พบคำนี้อีกในไม่ช้า
battle.pause,Pause,หยุดชั่วคราว,หยุดชั่วคราว
battle.paused,Paused,หยุดชั่วคราว,หยุดชั่วคราว
battle.resume,Resume,เล่นต่อ,เล่นต่อ
battle.quit,Quit,ออก,ออก
battle.wordAudio,Word audio,เสียงคำศัพท์,เสียงคำศัพท์
battle.pinyin,Pinyin,พินอิน,พินอิน
battle.on,On,เปิด,เปิด
battle.off,Off,ปิด,ปิด
battle.canvasLabel,Word Quest scene. Press Enter or Space to replay the word's audio (when available).,ฉากภารกิจคำศัพท์ กด Enter หรือ Space เพื่อฟังเสียงคำศัพท์อีกครั้ง (เมื่อเปิดให้ฟัง),ฉากภารกิจคำศัพท์ กด Enter หรือ Space เพื่อฟังเสียงคำศัพท์อีกครั้ง (เมื่อเปิดให้ฟัง)
battle.canvasWord,"Current word: {h}, pinyin {p}. Press Enter or Space to replay its audio.",คำปัจจุบัน: {h} พินอิน {p} กด Enter หรือ Space เพื่อฟังเสียงอีกครั้ง,คำปัจจุบัน: {h} พินอิน {p} กด Enter หรือ Space เพื่อฟังเสียงอีกครั้ง
battle.canvasHanzi,Current hanzi: {h}. Use the task below to recall its pinyin.,อักษรจีนปัจจุบัน: {h} ทำโจทย์ด้านล่างเพื่อนึกพินอิน,ตัวอักษรจีนปัจจุบัน: {h} ทำโจทย์ด้านล่างเพื่อนึกพินอิน
battle.canvasListen,"Listen-only word. Press Enter or Space to replay the audio, then choose its meaning.",โจทย์ฟังเสียง กด Enter หรือ Space เพื่อฟังซ้ำ แล้วเลือกความหมาย,โจทย์ฟังเสียง กด Enter หรือ Space เพื่อฟังซ้ำ แล้วเลือกความหมาย
battle.canvasHidden,The answer is hidden for this recall task. Read the prompt and choices below.,โจทย์นี้ซ่อนคำตอบไว้ อ่านคำสั่งและตัวเลือกด้านล่าง,โจทย์นี้ซ่อนคำตอบไว้ อ่านคำสั่งและตัวเลือกด้านล่าง
battle.canvasRevealed,"Answer revealed: {h}, pinyin {p}. Press Enter or Space to replay its audio.",เฉลย: {h} พินอิน {p} กด Enter หรือ Space เพื่อฟังเสียงอีกครั้ง,เฉลย: {h} พินอิน {p} กด Enter หรือ Space เพื่อฟังเสียงอีกครั้ง
battle.bossPrompt,Review Challenge · pick the hanzi for: {meaning},ด่านทบทวน · เลือกตัวอักษรจีนของคำว่า: {meaning},ด่านทบทวน · เลือกตัวอักษรจีนของคำว่า: {meaning}
battle.replay,Play it again,ฟังอีกครั้ง,ฟังอีกครั้ง
battle.reversePrompt,Pick the hanzi for: {meaning},เลือกตัวอักษรจีนของคำว่า: {meaning},เลือกตัวอักษรจีนของคำว่า: {meaning}
battle.introOk,Got it!,เข้าใจแล้ว!,เข้าใจแล้ว!
battle.introListen,New: listen first! Play the sound and tap the meaning you hear.,ใหม่: ฟังก่อนนะ! กดฟังเสียงแล้วแตะความหมายที่ได้ยิน,ใหม่: ฟังก่อนนะ! กดฟังเสียงแล้วแตะความหมายที่ได้ยิน
battle.introReverse,New: you know this word — now pick its hanzi from the meaning!,ใหม่: คำนี้คุ้นแล้ว — เลือกตัวอักษรจีนจากความหมายเลย!,ใหม่: คำนี้คุ้นแล้ว — เลือกตัวอักษรจีนจากความหมายเลย!
battle.introTone,New: tone check! Tap the pinyin with the right tone marks.,ใหม่: เช็ควรรณยุกต์! แตะพินอินที่มีวรรณยุกต์ถูกต้อง,ใหม่: เช็ควรรณยุกต์! แตะพินอินที่มีวรรณยุกต์ถูกต้อง
battle.introCloze,New: fill the blank! Pick the word that completes the sentence.,ใหม่: เติมคำในช่องว่าง! เลือกคำที่ทำให้ประโยคสมบูรณ์,ใหม่: เติมคำในช่องว่าง! เลือกคำที่ทำให้ประโยคสมบูรณ์
battle.introTyped,Master level — now you type it!\n1 · Type the pinyin letters\n2 · Tap any tone selectors shown\n3 · Press CHECK!,ด่านมาสเตอร์ — พิมพ์เองเลย!\n1 · พิมพ์ตัวอักษรพินอิน\n2 · แตะวรรณยุกต์ที่แสดง\n3 · กด ตรวจคำตอบ!,ด่านมาสเตอร์ — พิมพ์เองเลย!\n1 · พิมพ์ตัวอักษรพินอิน\n2 · แตะวรรณยุกต์ที่แสดง\n3 · กด ตรวจคำตอบ!
battle.typedPlaceholder,type the pinyin letters,พิมพ์ตัวอักษรพินอิน,พิมพ์ตัวอักษรพินอิน
battle.typedGo,CHECK!,ตรวจคำตอบ!,ตรวจคำตอบ!
battle.typedLettersOk,letters right — check the tones!,ตัวอักษรถูกแล้ว — เช็ควรรณยุกต์!,ตัวอักษรถูกแล้ว — เช็ควรรณยุกต์!
battle.typedTonesOk,tones right — check the spelling!,วรรณยุกต์ถูกแล้ว — เช็คตัวสะกด!,วรรณยุกต์ถูกแล้ว — เช็คตัวสะกด!
battle.toneAria,tone {n} for {syl},วรรณยุกต์ {n} ของ {syl},วรรณยุกต์ {n} ของ {syl}
battle.instruction.meaning,Choose the correct meaning,เลือกความหมายที่ถูกต้อง,เลือกความหมายที่ถูกต้อง
battle.instruction.reverse,Choose the hanzi,เลือกตัวอักษรจีนที่ถูกต้อง,เลือกตัวอักษรจีนที่ถูกต้อง
battle.instruction.listen,"Listen, then choose",ฟังแล้วเลือกความหมาย,ฟังแล้วเลือกความหมาย
battle.instruction.tone,Choose the pinyin,เลือกพินอินที่ถูกต้อง,เลือกพินอินที่ถูกต้อง
battle.instruction.typed,Type the pinyin,พิมพ์พินอิน,พิมพ์พินอิน
battle.instruction.cloze,Fill the blank,เติมคำในช่องว่าง,เติมคำในช่องว่าง
battle.correct,Correct!,ถูกต้อง!,ถูกต้อง!
tones.title,Tone Trainer,ฝึกวรรณยุกต์,ฝึกวรรณยุกต์
tones.instruction,Which tone did you hear?,คุณได้ยินวรรณยุกต์อะไร,คุณได้ยินวรรณยุกต์อะไร
tones.replay,Play it again,ฟังอีกครั้ง,ฟังอีกครั้ง
tones.progress,{i} / {n},{i} / {n},{i} / {n}
tones.tone1,1,1,1
tones.tone2,2,2,2
tones.tone3,3,3,3
tones.tone4,4,4,4
tones.toneAria,Tone {n},วรรณยุกต์ {n},วรรณยุกต์ {n}
tones.roundDone,Round done!,จบรอบแล้ว!,จบรอบแล้ว!
tones.score,{score} / {total} correct,ถูก {score} จาก {total},ถูก {score} จาก {total}
tones.bestStreak,Best streak: {n},ต่อเนื่องสูงสุด {n} ครั้ง,ต่อเนื่องสูงสุด {n} ครั้ง
tones.reward,+{coins} coins · +{xp} XP,+{coins} เหรียญ · +{xp} XP,+{coins} เหรียญ · +{xp} XP
tones.again,Play again,เล่นอีกครั้ง,เล่นอีกครั้ง
notify.streak.title,Don't lose your {n}-day streak!,อย่าให้สตรีค {n} วันหลุดนะ!,อย่าให้การเรียนต่อเนื่อง {n} วันหลุดนะ!
