key,english,thai_current,thai_proposed
friend.pasteLabel,Have a friend's code?,มีรหัสของเพื่อนไหม?,มีรหัสของเพื่อนไหม?
friend.pastePlaceholder,Paste their code here,วางรหัสของเพื่อนที่นี่,วางรหัสของเพื่อนที่นี่
friend.compareBtn,Compare,เทียบ,เทียบ
friend.compareAnother,Compare another,เทียบคนอื่น,เทียบคนอื่น
friend.invalidCode,That code doesn't look right. Ask for a fresh one.,รหัสนี้ดูไม่ถูกต้อง ขอรหัสใหม่จากเพื่อน,รหัสนี้ดูไม่ถูกต้อง ขอรหัสใหม่จากเพื่อน
friend.copied,Code copied to clipboard,คัดลอกรหัสแล้ว,คัดลอกรหัสแล้ว
friend.you,You,คุณ,คุณ
friend.them,Friend,เพื่อน,เพื่อน
friend.leadMine,You're ahead! 🎉,คุณนำอยู่! 🎉,คุณนำอยู่! 🎉
friend.leadTheirs,Your friend is ahead — catch up!,เพื่อนนำอยู่ — ตามให้ทัน!,เพื่อนนำอยู่ — ตามให้ทัน!
friend.leadTie,Neck and neck!,สูสีกันมาก!,สูสีกันมาก!
friend.metric.level,Level,เลเวล,เลเวล
friend.metric.streak,Day streak,สถิติต่อเนื่อง (วัน),เรียนต่อเนื่อง (วัน)
friend.metric.mastered,Words mastered,คำที่เชี่ยวชาญ,คำที่เชี่ยวชาญ
friend.metric.stickers,Stickers earned,สติกเกอร์ที่ได้รับ,สติกเกอร์ที่ได้รับ
profile.learningTitle,Learning progress,ความคืบหน้าการเรียน,ความคืบหน้าการเรียน
