key,english,thai_current,thai_proposed
battle.introTyped,Master level — now you type it!\n1 · Type the pinyin letters\n2 · Tap any tone selectors shown\n3 · Press CHECK!,ด่านมาสเตอร์ — พิมพ์เองเลย!\n1 · พิมพ์ตัวอักษรพินอิน\n2 · แตะวรรณยุกต์ที่แสดง\n3 · กด ตรวจคำตอบ!,ด่านมาสเตอร์ — พิมพ์เองเลย!\n1 · พิมพ์ตัวอักษรพินอิน\n2 · แตะวรรณยุกต์ที่แสดง\n3 · กด ตรวจคำตอบ!
battle.typedPlaceholder,type the pinyin letters,พิมพ์ตัวอักษรพินอิน,พิมพ์ตัวอักษรพินอิน
battle.typedGo,CHECK!,ตรวจคำตอบ!,ตรวจคำตอบ!
battle.typedLettersOk,letters right — check the tones!,ตัวอักษรถูกแล้ว — เช็ควรรณยุกต์!,ตัวอักษรถูกแล้ว — เช็ควรรณยุกต์!
battle.typedTonesOk,tones right — check the spelling!,วรรณยุกต์ถูกแล้ว — เช็คตัวสะกด!,วรรณยุกต์ถูกแล้ว — เช็คตัวสะกด!
battle.toneAria,tone {n} for {syl},วรรณยุกต์ {n} ของ {syl},วรรณยุกต์ {n} ของ {syl}
battle.instruction.meaning,Choose the correct meaning,เลือกความหมายที่ถูกต้อง,เลือกความหมายที่ถูกต้อง
battle.instruction.reverse,Choose the hanzi,เลือกตัวอักษรจีนที่ถูกต้อง,เลือกตัวอักษรจีนที่ถูกต้อง
battle.instruction.listen,"Listen, then choose",ฟังแล้วเลือกความหมาย,ฟังแล้วเลือกความหมาย
battle.instruction.tone,Choose the pinyin,เลือกพินอินที่ถูกต้อง,เลือกพินอินที่ถูกต้อง
battle.instruction.typed,Type the pinyin,พิมพ์พินอิน,พิมพ์พินอิน
battle.instruction.cloze,Fill the blank,เติมคำในช่องว่าง,เติมคำในช่องว่าง
battle.correct,Correct!,ถูกต้อง!,ถูกต้อง!
tones.title,Tone Trainer,ฝึกวรรณยุกต์,ฝึกวรรณยุกต์
tones.instruction,Which tone did you hear?,คุณได้ยินวรรณยุกต์อะไร,คุณได้ยินวรรณยุกต์อะไร
tones.replay,Play it again,ฟังอีกครั้ง,ฟังอีกครั้ง
tones.progress,{i} / {n},{i} / {n},{i} / {n}
tones.tone1,1,1,1
tones.tone2,2,2,2
tones.tone3,3,3,3
tones.tone4,4,4,4
tones.toneAria,Tone {n},วรรณยุกต์ {n},วรรณยุกต์ {n}
tones.roundDone,Round done!,จบรอบแล้ว!,จบรอบแล้ว!
tones.score,{score} / {total} correct,ถูก {score} จาก {total},ถูก {score} จาก {total}
tones.bestStreak,Best streak: {n},ต่อเนื่องสูงสุด {n} ครั้ง,ต่อเนื่องสูงสุด {n} ครั้ง
tones.reward,+{coins} coins · +{xp} XP,+{coins} เหรียญ · +{xp} XP,+{coins} เหรียญ · +{xp} XP
tones.again,Play again,เล่นอีกครั้ง,เล่นอีกครั้ง
