hanzi,sentence,en,th
不感兴趣,我对足球不感兴趣。,I'm not interested in soccer.,ฉันไม่สนใจฟุตบอล
不好,今天天气不好。,The weather isn't good today.,วันนี้อากาศไม่ดี
不会,明天不会下雨。,It probably won't rain tomorrow.,พรุ่งนี้คงไม่ฝนตก
不见,我们好久不见了。,We haven't seen each other in a long time.,เราไม่ได้เจอกันนานแล้ว
不久,他不久就回来了。,He will be back before long.,อีกไม่นานเขาก็กลับมา
不难,这道题不难。,This problem is not difficult.,โจทย์นี้ไม่ยาก
不怕,我一点也不怕。,I'm not scared at all.,ฉันไม่กลัวเลยสักนิด
不让,妈妈不让我出去。,Mom doesn't let me go out.,แม่ไม่ให้ฉันออกไปข้างนอก
不少,他有不少朋友。,He has quite a few friends.,เขามีเพื่อนเยอะพอสมควร
不是,这不是我的书。,This is not my book.,นี่ไม่ใช่หนังสือของฉัน
不太好,我今天感觉不太好。,I don't feel too well today.,วันนี้ฉันรู้สึกไม่ค่อยดี
不同,我们的想法不同。,Our ideas are different.,ความคิดของเราไม่เหมือนกัน
不下雨,今天不下雨。,It's not raining today.,วันนี้ฝนไม่ตก
不要,不要在这里吃东西。,Don't eat here.,อย่ากินอาหารที่นี่
不用,你不用担心。,You don't need to worry.,คุณไม่ต้องกังวล
不远,学校离我家不远。,The school isn't far from my house.,โรงเรียนอยู่ไม่ไกลจากบ้านฉัน
步,他走了几步。,He took a few steps.,เขาเดินไปไม่กี่ก้าว
才,他昨天才回来。,He only came back yesterday.,เขาเพิ่งกลับมาเมื่อวานนี้เอง
才能,他很有才能。,He is very talented.,เขามีความสามารถมาก
菜单,服务员拿来了菜单。,The waiter brought the menu.,พนักงานเสิร์ฟเมนูมาให้
菜点,这里的菜点很好吃。,The dishes here are delicious.,อาหารที่นี่อร่อยมาก
参加,我想参加比赛。,I want to take part in the competition.,ฉันอยากเข้าร่วมการแข่งขัน
草,公园里的草很绿。,The grass in the park is very green.,หญ้าในสวนสาธารณะเขียวมาก
草地上,孩子们在草地上跑。,The children are running on the lawn.,เด็กๆ วิ่งเล่นอยู่บนสนามหญ้า
层,我家住在三层。,My family lives on the third floor.,บ้านฉันอยู่ชั้นสาม
查,我去查资料。,I'm going to look up some information.,ฉันจะไปค้นหาข้อมูล
查查,你查查这个词吧。,Please look up this word.,ลองค้นคำนี้ดูสิ
查字典,我不懂就查字典。,"When I don't understand, I look it up in the dictionary.",ถ้าไม่เข้าใจฉันก็เปิดพจนานุกรม
茶水,请喝一杯茶水。,Please have a cup of tea.,เชิญดื่มชาสักแก้ว
差,现在差五分钟到六点。,It's five minutes to six right now.,ตอนนี้อีกห้านาทีจะหกโมง
常,他常来我家。,He often comes to my house.,เขามาบ้านฉันบ่อยๆ
常有,这里常有游客。,There are often tourists here.,ที่นี่มักมีนักท่องเที่ยวอยู่เสมอ
唱,她唱歌很好听。,She sings very well.,เธอร้องเพลงเพราะมาก
超市,妈妈去超市买菜。,Mom went to the supermarket to buy vegetables.,แม่ไปซื้อกับข้าวที่ซูเปอร์มาร์เก็ต
车站,车站离这儿不远。,The station isn't far from here.,สถานีอยู่ไม่ไกลจากที่นี่
衬衫,他穿了一件白衬衫。,He wore a white shirt.,เขาใส่เสื้อเชิ้ตสีขาว
成绩,他的成绩很好。,His grades are very good.,ผลการเรียนของเขาดีมาก
城,这座城很漂亮。,This city is very beautiful.,เมืองนี้สวยงามมาก
城市,北京是一个大城市。,Beijing is a big city.,ปักกิ่งเป็นเมืองใหญ่
城外,他住在城外。,He lives outside the city.,เขาอาศัยอยู่นอกเมือง
吃饱,我已经吃饱了。,I'm already full.,ฉันอิ่มแล้ว
吃饭,我们一起吃饭吧。,Let's eat together.,เรากินข้าวด้วยกันเถอะ
吃药,你要按时吃药。,You need to take your medicine on time.,คุณต้องกินยาให้ตรงเวลา
迟到,他今天又迟到了。,He was late again today.,วันนี้เขามาสายอีกแล้ว
出国,他打算明年出国工作。,He plans to go abroad to work next year.,เขาวางแผนจะไปทำงานต่างประเทศปีหน้า
出过,他去年出过国。,He went abroad last year.,ปีที่แล้วเขาเคยไปต่างประเทศ
出门,下雨了，别出门。,"It's raining, don't go out.",ฝนตกแล้ว อย่าออกไปข้างนอกเลย
出门时,出门时请关灯。,Please turn off the lights when going out.,เวลาออกจากบ้านกรุณาปิดไฟ
出现,天上出现了彩虹。,A rainbow appeared in the sky.,บนฟ้ามีสายรุ้งปรากฏขึ้น
除了,"除了英语,我还会说汉语。","Besides English, I can also speak Chinese.",นอกจากภาษาอังกฤษแล้ว ฉันยังพูดภาษาจีนได้ด้วย
厨房,妈妈在厨房做饭。,Mom is cooking in the kitchen.,แม่กำลังทำอาหารในครัว
船票,我买了两张船票。,I bought two ship tickets.,ฉันซื้อตั๋วเรือมาสองใบ
船长,船长站在船上。,The captain stands on the ship.,กัปตันยืนอยู่บนเรือ
春季,春季天气很好。,The weather is nice in spring.,ฤดูใบไม้ผลิอากาศดีมาก
春天,春天到了，花都开了。,"Spring has arrived, and the flowers have all bloomed.",ฤดูใบไม้ผลิมาถึงแล้ว ดอกไม้บานสะพรั่งไปหมด
词,这个词很难。,This word is difficult.,คำนี้ยากมาก
词典,我有一本词典。,I have a dictionary.,ฉันมีพจนานุกรมหนึ่งเล่ม
词语,这个词语很难。,This word is difficult.,คำนี้ยากมาก
聪明,这个孩子很聪明。,This child is very clever.,เด็กคนนี้ฉลาดมาก
聪明人,他是一个聪明人。,He is a smart person.,เขาเป็นคนฉลาด
从小,他从小喜欢画画。,He has liked drawing since he was little.,เขาชอบวาดรูปมาตั้งแต่เด็ก
错过,我错过了火车。,I missed the train.,ฉันพลาดรถไฟ
错过机会,别错过机会。,Don't miss the opportunity.,อย่าพลาดโอกาสนะ
答题,学生们正在答题。,The students are answering the questions.,นักเรียนกำลังตอบคำถาม
打车,下雨天我们打车去吧。,Let's take a taxi since it's raining.,วันฝนตกเรานั่งแท็กซี่ไปกันเถอะ
打打球,我们去打打球吧。,Let's go play some ball.,เราไปเล่นบอลกันเถอะ
打电话,我给妈妈打电话了。,I called my mom.,ฉันโทรหาแม่แล้ว
打篮球,他们在打篮球。,They are playing basketball.,พวกเขากำลังเล่นบาสเก็ตบอล
打扫,我在打扫房间。,I'm cleaning the room.,ฉันกำลังทำความสะอาดห้อง
打算,我打算去中国旅游。,I plan to travel to China.,ฉันวางแผนจะไปเที่ยวจีน
大城市,北京是大城市。,Beijing is a major city.,ปักกิ่งเป็นเมืองใหญ่
大风,外面刮大风了。,There's a gale blowing outside.,ข้างนอกลมแรงมาก
大晴天,今天是大晴天。,Today is a sunny day.,วันนี้อากาศแจ่มใสมาก
大熊猫,大熊猫喜欢吃竹子。,Giant pandas like to eat bamboo.,แพนด้ายักษ์ชอบกินไผ่
大学老师,他是大学老师。,He is a university teacher.,เขาเป็นอาจารย์มหาวิทยาลัย
大一岁,我比他大一岁。,I am one year older than him.,ฉันแก่กว่าเขาหนึ่งปี
带,请带上你的护照。,Please bring your passport.,กรุณานำหนังสือเดินทางไปด้วย
带来,他给我带来了礼物。,He brought me a gift.,เขาเอาของขวัญมาให้ฉัน
担心,妈妈很担心我。,Mom is very worried about me.,แม่เป็นห่วงฉันมาก
蛋糕,妈妈做了蛋糕。,Mom made a cake.,แม่ทำเค้ก
当然,这个我当然知道。,Of course I know that.,เรื่องนี้ฉันรู้อยู่แล้วแน่นอน
到来,我们欢迎他的到来。,We welcome his arrival.,เรายินดีต้อนรับการมาของเขา
到时候,到时候我给你打电话。,I'll call you when the time comes.,ถึงเวลานั้นฉันจะโทรหาคุณ
道,你说的很有道理。,What you said makes a lot of sense.,สิ่งที่คุณพูดมีเหตุผลมาก
地,书掉在地上了。,The book fell on the ground.,หนังสือตกลงพื้น
地方,这是个好地方。,This is a good place.,ที่นี่เป็นสถานที่ที่ดี
地铁,我坐地铁上班。,I take the subway to work.,ฉันนั่งรถไฟฟ้าใต้ดินไปทำงาน
地铁站,前面就是地铁站。,The subway station is just ahead.,ข้างหน้าคือสถานีรถไฟฟ้าใต้ดิน
地图,请给我一张地图。,Please give me a map.,กรุณาให้แผนที่ฉันหนึ่งแผ่น
的话,明天有空的话就来。,"If you're free tomorrow, come over.",ถ้าพรุ่งนี้ว่างก็มานะ
等到,等到明天再说吧。,Let's wait until tomorrow to talk.,รอถึงพรุ่งนี้ค่อยว่ากันเถอะ
等会儿,你等会儿再走。,Wait a moment before you go.,รอสักครู่ค่อยไปนะ
低,这张桌子很低。,This table is low.,โต๊ะตัวนี้เตี้ยมาก
第二,这是我第二次来。,This is my second time here.,นี่เป็นครั้งที่สองที่ฉันมา
第二天,第二天他就走了。,He left the very next day.,วันรุ่งขึ้นเขาก็ไปแล้ว
第一次,这是我第一次来中国。,This is my first time coming to China.,นี่เป็นครั้งแรกที่ฉันมาเมืองจีน
第一个,他是第一个到的。,He was the first one to arrive.,เขาเป็นคนแรกที่มาถึง
电脑公司,他在电脑公司工作。,He works at a computer company.,เขาทำงานที่บริษัทคอมพิวเตอร์
电视节目,这个电视节目很好看。,This TV program is very good.,รายการโทรทัศน์นี้สนุกมาก
电梯,我们坐电梯上去。,Let's take the elevator up.,เราขึ้นลิฟต์ไปกันเถอะ
电子邮件,我给他发了电子邮件。,I sent him an email.,ฉันส่งอีเมลให้เขา
电子游戏,他喜欢玩电子游戏。,He likes playing video games.,เขาชอบเล่นเกม
东,太阳从东边出来。,The sun rises in the east.,พระอาทิตย์ขึ้นทางทิศตะวันออก
东边,太阳从东边升起。,The sun rises from the east.,พระอาทิตย์ขึ้นทางทิศตะวันออก
东门,我们在东门见面。,Let's meet at the east gate.,เราจะเจอกันที่ประตูตะวันออก
东西方,东西方文化不同。,Eastern and Western cultures are different.,วัฒนธรรมตะวันออกและตะวันตกแตกต่างกัน
冬天,冬天的北京很冷。,Beijing is very cold in winter.,ปักกิ่งหนาวมากในฤดูหนาว
动物,我喜欢小动物。,I like small animals.,ฉันชอบสัตว์ตัวเล็กๆ
动物园,周末我们去动物园。,We're going to the zoo this weekend.,สุดสัปดาห์นี้เราจะไปสวนสัตว์
读书,他喜欢在图书馆读书。,He likes to study in the library.,เขาชอบอ่านหนังสือในห้องสมุด
读音,这个字的读音是什么？,What's the pronunciation of this character?,ตัวอักษรนี้อ่านออกเสียงว่าอย่างไร
短,这条路很短。,This road is very short.,ถนนสายนี้สั้นมาก
短发,她剪了短发。,She got a short haircut.,เธอตัดผมสั้น
锻炼,我每天锻炼一小时。,I exercise for an hour every day.,ฉันออกกำลังกายวันละหนึ่งชั่วโมง
锻炼身体,他每天锻炼身体。,He exercises every day.,เขาออกกำลังกายทุกวัน
多分钟,我等了十多分钟。,I waited for more than ten minutes.,ฉันรออยู่กว่าสิบนาที
多久,你等了多久？,How long have you been waiting?,คุณรอมานานแค่ไหนแล้ว
多块,这本书三十多块。,This book costs more than thirty yuan.,หนังสือเล่มนี้ราคากว่าสามสิบหยวน
多么,今天多么开心啊！,How happy I am today!,วันนี้มีความสุขจริงๆ เลย
多年,他们认识多年了。,They have known each other for many years.,พวกเขารู้จักกันมาหลายปีแล้ว
多岁,他四十多岁了。,He is more than forty years old.,เขาอายุกว่าสี่สิบปีแล้ว
饿,我现在很饿。,I'm very hungry now.,ตอนนี้ฉันหิวมาก
而且,这件衣服漂亮而且便宜。,This piece of clothing is pretty and also cheap.,เสื้อผ้าตัวนี้สวยและราคาถูกด้วย
耳朵,我的耳朵不舒服。,My ear doesn't feel well.,หูของฉันรู้สึกไม่สบาย
发,我给他发了一条信息。,I sent him a message.,ฉันส่งข้อความหาเขาไปหนึ่งข้อความ
发烧,孩子昨天发烧了。,The child had a fever yesterday.,เมื่อวานเด็กมีไข้
发现,我发现了一个问题。,I discovered a problem.,ฉันพบปัญหาอย่างหนึ่ง
方便,坐地铁很方便。,Taking the subway is very convenient.,การนั่งรถไฟฟ้าใต้ดินสะดวกมาก
房卡,请给我房卡。,Please give me the room card.,กรุณาให้บัตรห้องฉันด้วย
放,请把书放在桌子上。,Please put the book on the table.,กรุณาวางหนังสือไว้บนโต๊ะ
放到,请把书放到桌子上。,Please put the book on the table.,กรุณาวางหนังสือไว้บนโต๊ะ
放进去,把钱放进去。,Put the money in.,ใส่เงินเข้าไปข้างใน
放开,请放开我的手。,Please let go of my hand.,กรุณาปล่อยมือฉัน
放心,你放心吧，没问题。,"Don't worry, there's no problem.",คุณวางใจได้ ไม่มีปัญหา
放在,请把书放在桌子上。,Please put the book on the table.,กรุณาวางหนังสือไว้บนโต๊ะ
飞,小鸟飞走了。,The little bird flew away.,นกตัวน้อยบินหนีไปแล้ว
分钱,这个东西才五分钱。,This thing only costs five cents.,ของชิ้นนี้ราคาแค่ห้าเฟิน
风,外面风很大。,The wind is strong outside.,ข้างนอกลมแรงมาก
夫妻,他们是一对夫妻。,They are a married couple.,พวกเขาเป็นสามีภรรยากัน
附近,附近有一个公园。,There's a park nearby.,แถวนี้มีสวนสาธารณะอยู่แห่งหนึ่ง
复习,我在复习汉语。,I'm reviewing Chinese.,ฉันกำลังทบทวนภาษาจีน
该,你该回家了。,You should go home now.,คุณควรกลับบ้านได้แล้ว
该换,这双鞋该换了。,These shoes should be replaced.,รองเท้าคู่นี้ควรเปลี่ยนได้แล้ว
敢,我不敢一个人去。,I don't dare to go alone.,ฉันไม่กล้าไปคนเดียว
感冒,我今天感冒了。,I caught a cold today.,วันนี้ฉันเป็นหวัด
感兴趣,我对汉语感兴趣。,I'm interested in Chinese.,ฉันสนใจภาษาจีน
干干净净,房间打扫得干干净净。,The room was cleaned spotlessly.,ห้องถูกทำความสะอาดจนสะอาดเอี่ยม
干净,房间很干净。,The room is very clean.,ห้องสะอาดมาก
刚,他刚才出门了。,He just went out a moment ago.,เขาเพิ่งออกจากบ้านไปเมื่อสักครู่
刚才,刚才谁在打电话？,Who was calling just now?,เมื่อกี้ใครโทรศัพท์อยู่
高高的,他长得高高的。,He is quite tall.,เขาตัวสูงโปร่ง
歌舞,他们在表演歌舞。,They are performing songs and dances.,พวกเขากำลังแสดงร้องเพลงและเต้นรำ
个子,他的个子很高。,He is tall.,เขาตัวสูงมาก
给我发,请给我发短信。,Please send me a text message.,กรุณาส่งข้อความหาฉันด้วย
根据,根据规定不能抽烟。,"According to the rules, smoking isn't allowed.",ตามกฎแล้วห้ามสูบบุหรี่
跟,我跟他一起去。,I'm going with him.,ฉันไปกับเขาด้วยกัน
更,今天比昨天更热。,Today is even hotter than yesterday.,วันนี้ร้อนกว่าเมื่อวานอีก
更好,这个办法更好。,This method is better.,วิธีนี้ดีกว่า
更是,这个季节更是漂亮。,This season is even more beautiful.,ฤดูนี้สวยงามยิ่งขึ้นไปอีก
公斤,这个包三公斤重。,This bag weighs three kilograms.,กระเป๋าใบนี้หนักสามกิโลกรัม
公园,我们在公园散步。,We're taking a walk in the park.,เราเดินเล่นในสวนสาธารณะ
共有,我们班共有三十人。,Our class has thirty people in total.,ห้องเรียนของเรามีทั้งหมดสามสิบคน
刮,外面刮风了。,It's windy outside.,ข้างนอกลมพัดแล้ว
刮风,外面刮风了。,It's windy outside.,ข้างนอกลมพัดแล้ว
关,请关上窗户。,Please close the window.,กรุณาปิดหน้าต่าง
关灯,睡觉前要关灯。,You should turn off the light before sleeping.,ก่อนนอนต้องปิดไฟ
关上,请把门关上。,Please close the door.,กรุณาปิดประตู
关心,老师很关心学生。,The teacher cares a lot about the students.,ครูเอาใจใส่นักเรียนมาก
关于,这是一本关于中国的书。,This is a book about China.,นี่คือหนังสือเกี่ยวกับประเทศจีน
广州市,他住在广州市。,He lives in Guangzhou.,เขาอาศัยอยู่ในเมืองกว่างโจว
国家,中国是一个大国家。,China is a big country.,จีนเป็นประเทศใหญ่
国家图书馆,我常去国家图书馆看书。,I often go to the national library to read.,ฉันมักไปอ่านหนังสือที่หอสมุดแห่งชาติ
国外,他在国外工作。,He works abroad.,เขาทำงานอยู่ต่างประเทศ
果,考试结果很好。,The exam result was good.,ผลสอบออกมาดีมาก
果汁,我喜欢喝果汁。,I like to drink fruit juice.,ฉันชอบดื่มน้ำผลไม้
过节,我们回家过节。,We go home for the festival.,เรากลับบ้านไปฉลองเทศกาล
过来,你过来看看。,Come over and take a look.,คุณมาดูหน่อยสิ
过去,过去他很瘦。,In the past he was thin.,เมื่อก่อนเขาผอมมาก
过生日,今天我过生日。,Today is my birthday.,วันนี้เป็นวันเกิดของฉัน
还给,我把书还给他了。,I returned the book to him.,ฉันคืนหนังสือให้เขาแล้ว
还好,今天天气还好。,The weather is pretty good today.,วันนี้อากาศก็ยังโอเคอยู่
还是,你还是去医院吧。,You'd better go to the hospital.,คุณไปโรงพยาบาลจะดีกว่า
还要,我还要买一些水果。,I also need to buy some fruit.,ฉันยังต้องซื้อผลไม้อีกหน่อย
还有,桌子上还有苹果。,There are still apples on the table.,บนโต๊ะยังมีแอปเปิลอยู่
害怕,我很害怕小狗。,I'm very afraid of dogs.,ฉันกลัวสุนัขมาก
好不好,我们去公园，好不好？,"Let's go to the park, all right?",เราไปสวนสาธารณะกันดีไหม
好极了,这个主意好极了！,This idea is wonderful!,ความคิดนี้ดีสุดยอดเลย
好几百年,这座城市有好几百年历史。,This city has several hundred years of history.,เมืองนี้มีประวัติศาสตร์หลายร้อยปี
好几个,桌子上有好几个苹果。,There are quite a few apples on the table.,บนโต๊ะมีแอปเปิลอยู่หลายลูก
好了吗,你准备好了吗？,Are you ready yet?,คุณเตรียมพร้อมหรือยัง
好听,这首歌很好听。,This song sounds very nice.,เพลงนี้เพราะมาก
喝杯,我们喝杯茶吧。,Let's have a cup of tea.,เราดื่มชากันสักแก้วเถอะ
喝茶,他喜欢喝茶。,He likes to drink tea.,เขาชอบดื่มชา
喝酒,他不喜欢喝酒。,He doesn't like to drink alcohol.,เขาไม่ชอบดื่มเหล้า
喝咖啡,我早上喜欢喝咖啡。,I like to drink coffee in the morning.,ฉันชอบดื่มกาแฟตอนเช้า
喝牛奶,小孩子每天喝牛奶。,Children drink milk every day.,เด็กๆ ดื่มนมทุกวัน
喝啤酒,他晚上喝啤酒。,He drinks beer in the evening.,เขาดื่มเบียร์ตอนกลางคืน
喝水,多喝水对身体好。,Drinking more water is good for your health.,ดื่มน้ำเยอะๆ ดีต่อสุขภาพ
河,这条河很长。,This river is very long.,แม่น้ำสายนี้ยาวมาก
河边,我们在河边散步。,We take a walk by the river.,เราเดินเล่นริมแม่น้ำ
河里,河里有很多鱼。,There are many fish in the river.,ในแม่น้ำมีปลาเยอะมาก
黑板,老师在黑板上写字。,The teacher writes on the blackboard.,ครูเขียนตัวหนังสือบนกระดานดำ
很矮,那个男孩很矮。,That boy is very short.,เด็กผู้ชายคนนั้นตัวเตี้ยมาก
很大,这个房间很大。,This room is very big.,ห้องนี้ใหญ่มาก
很多,公园里有很多花。,There are many flowers in the park.,ในสวนสาธารณะมีดอกไม้เยอะมาก
很多年,他们认识很多年了。,They've known each other for many years.,พวกเขารู้จักกันมาหลายปีแล้ว
很快,他跑得很快。,He runs very fast.,เขาวิ่งเร็วมาก
很慢,这辆车开得很慢。,This car drives very slowly.,รถคันนี้ขับช้ามาก
很胖,那只猫很胖。,That cat is very fat.,แมวตัวนั้นอ้วนมาก
很漂亮,这条裙子很漂亮。,This skirt is very beautiful.,กระโปรงตัวนี้สวยมาก
很少,他很少迟到。,He is rarely late.,เขาแทบไม่เคยมาสายเลย
很瘦,她最近很瘦。,She's been very thin lately.,ช่วงนี้เธอผอมมาก
很小,这只猫很小。,This cat is very small.,แมวตัวนี้ตัวเล็กมาก
很着急,妈妈很着急。,Mom is very anxious.,แม่กังวลใจมาก
红茶,我喜欢喝红茶。,I like drinking black tea.,ฉันชอบดื่มชาแดง
红酒,这瓶红酒很好喝。,This red wine tastes great.,ไวน์แดงขวดนี้อร่อยมาก
红葡萄酒,他喜欢喝红葡萄酒。,He likes drinking red wine.,เขาชอบดื่มไวน์แดง
后来,后来他去了北京。,Afterwards he went to Beijing.,ต่อมาเขาก็ไปปักกิ่ง
护照,出国要带护照。,You need to bring your passport when going abroad.,เวลาไปต่างประเทศต้องพกหนังสือเดินทาง
花,她买了一束花。,She bought a bunch of flowers.,เธอซื้อดอกไม้มาหนึ่งช่อ
花茶,我喜欢喝花茶。,I like to drink scented tea.,ฉันชอบดื่มชาดอกไม้
花儿,花园里的花儿很美。,The flowers in the garden are beautiful.,ดอกไม้ในสวนสวยงามมาก
花园,我们在花园散步。,We are taking a walk in the garden.,เราเดินเล่นในสวน
花园里,孩子们在花园里玩。,The children are playing in the garden.,เด็กๆ เล่นอยู่ในสวน
化,冰化成了水。,The ice turned into water.,น้ำแข็งละลายกลายเป็นน้ำ
画,弟弟喜欢画画。,My little brother likes to draw.,น้องชายชอบวาดรูป
画儿,墙上挂着一张画儿。,A picture hangs on the wall.,มีภาพวาดแขวนอยู่บนผนัง
画画,我喜欢画画。,I like drawing.,ฉันชอบวาดรูป
坏,我的手机坏了。,My phone is broken.,โทรศัพท์ของฉันเสียแล้ว
环境,这里的环境很好。,The environment here is very good.,สภาพแวดล้อมที่นี่ดีมาก
换,我想换一件衣服。,I want to change my clothes.,ฉันอยากเปลี่ยนเสื้อผ้าสักตัว
黄,这朵花是黄色的。,This flower is yellow.,ดอกไม้ดอกนี้เป็นสีเหลือง
黄河,黄河是中国的大河。,The Yellow River is a great river of China.,แม่น้ำฮวงโหเป็นแม่น้ำสายใหญ่ของจีน
回国,他明年回国。,He is returning to his home country next year.,ปีหน้าเขาจะกลับประเทศ
回家,我六点回家。,I go home at six.,ฉันกลับบ้านตอนหกโมง
会上,老师在会上讲话。,The teacher spoke at the meeting.,ครูพูดในที่ประชุม
会议,明天有一个会议。,There's a meeting tomorrow.,พรุ่งนี้มีการประชุม
会议室,会议室里有很多人。,There are many people in the meeting room.,ในห้องประชุมมีคนเยอะมาก
火,厨房里着火了。,There's a fire in the kitchen.,ในครัวไฟไหม้
火车票,我买了一张火车票。,I bought a train ticket.,ฉันซื้อตั๋วรถไฟมาหนึ่งใบ
或者,你可以喝茶或者喝咖啡。,You can drink tea or coffee.,คุณจะดื่มชาหรือดื่มกาแฟก็ได้
机会,这是个好机会。,This is a good opportunity.,นี่เป็นโอกาสที่ดี
