hanzi,sentence,en,th
生日礼物,这是我的生日礼物。,This is my birthday present.,นี่คือของขวัญวันเกิดของฉัน
声音,她的声音很好听。,Her voice sounds very nice.,เสียงของเธอไพเราะมาก
师生,师生们一起吃饭。,The teachers and students eat together.,ครูและนักเรียนกินข้าวด้วยกัน
十年,他们结婚十年了。,They have been married for ten years.,พวกเขาแต่งงานกันมาสิบปีแล้ว
十五,我今年十五岁。,I am fifteen years old this year.,ปีนี้ฉันอายุสิบห้าปี
使,这个消息使她很高兴。,This news made her very happy.,ข่าวนี้ทำให้เธอดีใจมาก
世界,我想去看看世界。,I want to go see the world.,ฉันอยากไปดูโลกกว้าง
市,这是一座大城市。,This is a big city.,นี่คือเมืองใหญ่แห่งหนึ่ง
事后,事后他很后悔。,"Afterwards, he regretted it a lot.",หลังจากนั้นเขาก็เสียใจมาก
试试,你可以试试。,You can give it a try.,คุณลองดูก็ได้
是不是,你是不是学生？,Are you a student or not?,คุณเป็นนักเรียนใช่ไหม
是因为,他迟到是因为堵车。,He was late because of traffic.,เขามาสายเพราะรถติด
手,他举起了手。,He raised his hand.,เขายกมือขึ้น
手中,他手中拿着一本书。,He is holding a book in his hand.,เขาถือหนังสืออยู่ในมือ
瘦,她最近瘦了很多。,She has gotten a lot thinner recently.,ช่วงนี้เธอผอมลงไปเยอะ
书本,学生要爱护书本。,Students should take good care of their books.,นักเรียนต้องรักษาหนังสือให้ดี
书桌下,猫躲在书桌下。,The cat is hiding under the desk.,แมวหลบอยู่ใต้โต๊ะหนังสือ
叔叔,叔叔在北京工作。,Uncle works in Beijing.,ลุงทำงานอยู่ที่ปักกิ่ง
舒服,这张床很舒服。,This bed is very comfortable.,เตียงนี้นอนสบายมาก
树,门前有一棵大树。,There is a big tree in front of the door.,หน้าประตูมีต้นไม้ใหญ่อยู่ต้นหนึ่ง
树上,树上有很多鸟。,There are many birds in the tree.,บนต้นไม้มีนกเยอะมาก
数学,我的数学成绩不错。,My math grades are pretty good.,คะแนนคณิตศาสตร์ของฉันค่อนข้างดี
数学课,我们下午有数学课。,We have math class this afternoon.,ตอนบ่ายเรามีวิชาคณิตศาสตร์
数学题,这道数学题很难。,This math problem is very hard.,โจทย์คณิตศาสตร์ข้อนี้ยากมาก
刷,他每天刷牙两次。,He brushes his teeth twice a day.,เขาแปรงฟันวันละสองครั้ง
刷牙,睡觉前要刷牙。,You should brush your teeth before bed.,ก่อนนอนต้องแปรงฟัน
双,我有一双新鞋。,I have a new pair of shoes.,ฉันมีรองเท้าคู่ใหม่
水平,他的汉语水平很高。,His Chinese level is very high.,ระดับภาษาจีนของเขาสูงมาก
睡着,孩子已经睡着了。,The child has already fallen asleep.,เด็กหลับไปแล้ว
司,他在一家公司工作。,He works at a company.,เขาทำงานอยู่ที่บริษัทแห่งหนึ่ง
司机,我爸爸是司机。,My dad is a driver.,พ่อของฉันเป็นคนขับรถ
送到,快递已经送到了。,The package has already been delivered.,พัสดุมาถึงแล้ว
送给,我把礼物送给她。,I gave the gift to her.,ฉันมอบของขวัญให้เธอ
送礼物,我要送礼物给她。,I want to give her a gift.,ฉันจะให้ของขวัญเธอ
他家,他家离学校很近。,His home is close to the school.,บ้านเขาอยู่ใกล้โรงเรียนมาก
它们,我有两只猫，它们很可爱。,I have two cats; they are very cute.,ฉันมีแมวสองตัว พวกมันน่ารักมาก
她家,她家离学校很近。,Her home is close to school.,บ้านเธออยู่ใกล้โรงเรียนมาก
太饱,我吃得太饱了。,I ate too much and I'm too full.,ฉันกินอิ่มเกินไป
太短,这条裤子太短了。,These pants are too short.,กางเกงตัวนี้สั้นเกินไป
太好了,太好了，我们赢了！,"Great, we won!",เยี่ยมเลย เราชนะแล้ว
太旧,这辆车太旧了。,This car is too old.,รถคันนี้เก่าเกินไปแล้ว
太胖,他觉得自己太胖了。,He thinks he's too fat.,เขารู้สึกว่าตัวเองอ้วนเกินไป
太小,这件衣服太小了。,This piece of clothing is too small.,เสื้อผ้าตัวนี้เล็กเกินไป
太阳,今天太阳很大。,The sun is very strong today.,วันนี้แดดแรงมาก
太阳镜,他戴着太阳镜。,He's wearing sunglasses.,เขาสวมแว่นกันแดด
糖,孩子喜欢吃糖。,Children like eating sweets.,เด็กๆ ชอบกินขนมหวาน
特,这个礼物很特别。,This gift is very special.,ของขวัญชิ้นนี้พิเศษมาก
特别,这道菜特别好吃。,This dish is especially delicious.,อาหารจานนี้อร่อยเป็นพิเศษ
疼,我的头很疼。,My head hurts a lot.,หัวของฉันปวดมาก
踢足球,他每天下午踢足球。,He plays football every afternoon.,เขาเล่นฟุตบอลทุกบ่าย
提高,他想提高汉语水平。,He wants to improve his Chinese level.,เขาอยากพัฒนาระดับภาษาจีนของตัวเอง
体,他的身体很好。,His health is very good.,สุขภาพของเขาดีมาก
体育,我喜欢体育课。,I like PE class.,ฉันชอบวิชาพลศึกษา
体育馆,我们在体育馆打球。,We play ball at the gym.,เราเล่นบอลกันในโรงยิม
体育新闻,我喜欢看体育新闻。,I like watching sports news.,ฉันชอบดูข่าวกีฬา
天冷,天冷了，要穿外套。,"It's cold now, you should wear a coat.",อากาศหนาวแล้ว ต้องใส่เสื้อคลุม
天阴,天阴了，好像要下雨。,"The sky is overcast, it looks like it will rain.",ท้องฟ้าครึ้ม ดูเหมือนฝนจะตก
甜,这个西瓜很甜。,This watermelon is very sweet.,แตงโมลูกนี้หวานมาก
条,我买了一条鱼。,I bought a fish.,ฉันซื้อปลามาหนึ่งตัว
听懂,我听懂了老师的话。,I understood what the teacher said.,ฉันฟังที่ครูพูดเข้าใจแล้ว
听歌,我喜欢听歌。,I like listening to music.,ฉันชอบฟังเพลง
同事,他是我的同事。,He is my colleague.,เขาเป็นเพื่อนร่วมงานของฉัน
同一个,我们在同一个班。,We are in the same class.,เราอยู่ห้องเดียวกัน
同意,我同意你的看法。,I agree with your opinion.,ฉันเห็นด้วยกับความคิดเห็นของคุณ
头发,她的头发很长。,Her hair is very long.,ผมของเธอยาวมาก
突然,天突然下雨了。,It suddenly started to rain.,ฝนตกลงมาอย่างกะทันหัน
图书馆,我们去图书馆看书。,Let's go to the library to read.,เราไปอ่านหนังสือที่ห้องสมุด
腿,他的腿很疼。,His leg hurts a lot.,ขาของเขาปวดมาก
腿脚,奶奶的腿脚还很好。,Grandma's legs are still strong.,ขาของคุณยายยังแข็งแรงดีอยู่
腿疼,我腿疼，不想走路。,"My leg hurts, I don't want to walk.",ขาฉันปวด ไม่อยากเดิน
外,猫在门外叫。,The cat is meowing outside the door.,แมวร้องอยู่นอกประตู
完成,他已经完成作业了。,He has already finished his homework.,เขาทำการบ้านเสร็จแล้ว
玩,孩子们在公园玩。,The children are playing in the park.,เด็กๆ เล่นอยู่ในสวนสาธารณะ
碗,桌子上有一个碗。,There is a bowl on the table.,บนโต๊ะมีชามอยู่ใบหนึ่ง
碗筷,妈妈在洗碗筷。,Mom is washing the bowls and chopsticks.,แม่กำลังล้างชามและตะเกียบ
万,这座城市有一万人。,This city has ten thousand people.,เมืองนี้มีประชากรหนึ่งหมื่นคน
万年前,这是万年前的石头。,This is a stone from ten thousand years ago.,นี่คือหินจากหมื่นปีก่อน
王经理,王经理在开会。,Manager Wang is in a meeting.,ผู้จัดการหวังกำลังประชุมอยู่
王小姐,王小姐是我朋友。,Miss Wang is my friend.,คุณหวังเป็นเพื่อนของฉัน
网上,我在网上买东西。,I buy things online.,ฉันซื้อของทางอินเทอร์เน็ต
忘,我忘了他的名字。,I forgot his name.,ฉันลืมชื่อของเขาไปแล้ว
忘带,我忘带手机了。,I forgot to bring my phone.,ฉันลืมเอาโทรศัพท์มา
忘记,我忘记他的名字了。,I forgot his name.,ฉันลืมชื่อของเขาไปแล้ว
为了,为了健康他每天跑步。,"For the sake of his health, he runs every day.",เพื่อสุขภาพเขาวิ่งออกกำลังกายทุกวัน
为什么,你为什么不高兴？,Why are you unhappy?,ทำไมคุณถึงไม่มีความสุข
位,这个位置很好。,This location is quite good.,ตำแหน่งนี้ดีมาก
文,他每天学中文。,He studies Chinese every day.,เขาเรียนภาษาจีนทุกวัน
文化,我喜欢中国文化。,I like Chinese culture.,ฉันชอบวัฒนธรรมจีน
文化节,学校举办文化节。,The school is holding a culture festival.,โรงเรียนจัดงานเทศกาลวัฒนธรรม
闻,我闻到了花香。,I smelled the fragrance of flowers.,ฉันได้กลิ่นหอมของดอกไม้
问路,他向我问路。,He asked me for directions.,เขาถามทางฉัน
我家,我家离学校很近。,My home is close to the school.,บ้านฉันอยู่ใกล้โรงเรียนมาก
五颜六色,花园里的花五颜六色。,The flowers in the garden are multicolored.,ดอกไม้ในสวนมีสีสันหลากหลาย
舞,她跳舞跳得很好。,She dances very well.,เธอเต้นรำได้เก่งมาก
西,太阳从西边落下。,The sun sets in the west.,พระอาทิตย์ตกทางทิศตะวันตก
西边,太阳从西边落下。,The sun sets in the west.,พระอาทิตย์ตกทางทิศตะวันตก
习惯,我习惯早起。,I'm used to getting up early.,ฉันเคยชินกับการตื่นเช้า
洗过澡,我已经洗过澡了。,I've already taken a shower.,ฉันอาบน้ำเสร็จแล้ว
洗脸,我起床后洗脸。,I wash my face after getting up.,ฉันล้างหน้าหลังตื่นนอน
洗手间,洗手间在哪里？,Where is the restroom?,ห้องน้ำอยู่ที่ไหน
洗完,他洗完衣服了。,He finished washing the clothes.,เขาซักเสื้อผ้าเสร็จแล้ว
洗碗,我每天洗碗。,I wash the dishes every day.,ฉันล้างจานทุกวัน
洗洗,你去洗洗手吧。,Go wash your hands a bit.,ไปล้างมือหน่อยสิ
洗澡,我每天洗澡。,I take a shower every day.,ฉันอาบน้ำทุกวัน
系,他是中文系的学生。,He is a student in the Chinese department.,เขาเป็นนักศึกษาคณะภาษาจีน
下层,我们住在下层。,We live on the lower floor.,เราอาศัยอยู่ชั้นล่าง
下次,下次我们一起去。,Let's go together next time.,ครั้งหน้าเราไปด้วยกัน
下个星期,下个星期我要出差。,Next week I have a business trip.,สัปดาห์หน้าฉันต้องไปทำงานต่างจังหวัด
下来,请你下来吃饭。,Please come down and eat.,เชิญลงมากินข้าว
下去,请你先下去吧。,Please go down first.,เชิญคุณลงไปก่อนเถอะ
下山,我们准备下山了。,We are about to go down the mountain.,เราเตรียมตัวจะลงจากเขาแล้ว
下星期,下星期我要考试。,Next week I have an exam.,สัปดาห์หน้าฉันต้องสอบ
下周,下周我们见面吧。,Let's meet next week.,สัปดาห์หน้าเราเจอกันนะ
夏季,夏季游客很多。,There are many tourists in summer.,ฤดูร้อนมีนักท่องเที่ยวเยอะมาก
夏天,夏天天气很热。,Summer weather is very hot.,อากาศฤดูร้อนร้อนมาก
先进,这个技术很先进。,This technology is advanced.,เทคโนโลยีนี้ล้ำสมัยมาก
鲜花,他送了我一束鲜花。,He gave me a bouquet of fresh flowers.,เขามอบดอกไม้สดให้ฉันหนึ่งช่อ
现,他现在很忙。,He is very busy now.,ตอนนี้เขายุ่งมาก
相机,他的相机很贵。,His camera is very expensive.,กล้องของเขาราคาแพงมาก
相同,我们的想法相同。,Our ideas are the same.,ความคิดของเราเหมือนกัน
相信,我完全相信你。,I completely believe you.,ฉันเชื่อคุณอย่างเต็มที่
香蕉,我早上吃了一根香蕉。,I ate a banana this morning.,เช้านี้ฉันกินกล้วยไปหนึ่งลูก
想不起来,我想不起来他的名字。,I can't remember his name.,ฉันนึกชื่อของเขาไม่ออก
想起,我突然想起他了。,I suddenly remembered him.,ฉันนึกถึงเขาขึ้นมาทันที
想想,你再想想吧。,Think it over again.,คุณลองคิดดูอีกทีสิ
想要,我想要一杯水。,I want a glass of water.,ฉันอยากได้น้ำสักแก้ว
想着,我一直想着你。,I've been thinking about you.,ฉันคิดถึงคุณอยู่ตลอด
向东走,请一直向东走。,Please keep walking east.,กรุณาเดินตรงไปทางตะวันออก
向左走,到路口向左走。,Turn left at the intersection.,ถึงทางแยกให้เลี้ยวซ้าย
像,他长得很像爸爸。,He looks a lot like his dad.,เขาหน้าตาคล้ายพ่อมาก
小船,河上有一只小船。,There's a small boat on the river.,บนแม่น้ำมีเรือลำเล็กอยู่ลำหนึ่ง
小孩子,小孩子喜欢吃糖。,Children like to eat candy.,เด็กๆ ชอบกินขนมหวาน
小河,村子旁边有一条小河。,There's a stream next to the village.,ข้างหมู่บ้านมีลำธารสายเล็กๆ
小鸟,树上有一只小鸟。,There's a little bird in the tree.,บนต้นไม้มีนกตัวเล็กอยู่ตัวหนึ่ง
小朋友,小朋友们在公园玩。,The kids are playing in the park.,เด็กๆ เล่นอยู่ในสวนสาธารณะ
小时候,小时候我住在乡下。,I lived in the countryside as a child.,ตอนเด็กๆ ฉันอาศัยอยู่ชนบท
小事,这只是小事，别担心。,"This is just a small matter, don't worry.",นี่แค่เรื่องเล็กน้อย ไม่ต้องกังวล
小心,过马路要小心。,Be careful when crossing the road.,ข้ามถนนต้องระวัง
小熊猫,动物园有小熊猫。,There's a red panda at the zoo.,ในสวนสัตว์มีแพนด้าแดง
小学校长,他是小学校长。,He is an elementary school principal.,เขาเป็นผู้อำนวยการโรงเรียนประถม
小雪,外面下小雪了。,It's snowing lightly outside.,ข้างนอกหิมะตกปรอยๆ
小张,小张是我的同事。,Xiao Zhang is my colleague.,เสี่ยวจางเป็นเพื่อนร่วมงานของฉัน
校,校门口有很多学生。,There are many students at the school gate.,ที่หน้าประตูโรงเรียนมีนักเรียนเยอะมาก
校医院,校医院离宿舍很近。,The school clinic is close to the dorm.,โรงพยาบาลของโรงเรียนอยู่ใกล้หอพักมาก
校长,校长在开会。,The principal is in a meeting.,ผู้อำนวยการกำลังประชุมอยู่
鞋,这双鞋很好看。,These shoes look very nice.,รองเท้าคู่นี้สวยมาก
写错字,他写错字了。,He wrote the wrong character.,เขาเขียนตัวอักษรผิด
写信,我常给朋友写信。,I often write letters to my friend.,ฉันมักเขียนจดหมายถึงเพื่อน
写字,孩子在写字。,The child is writing.,เด็กกำลังเขียนหนังสือ
谢,谢谢你的帮助。,Thank you for your help.,ขอบคุณสำหรับความช่วยเหลือของคุณ
新闻,爸爸在看新闻。,Dad is watching the news.,พ่อกำลังดูข่าว
