hanzi,sentence,en,th
一辆,他买了一辆新车。,He bought a new car.,เขาซื้อรถคันใหม่มาหนึ่งคัน
一路上,一路上我们说说笑笑。,We chatted and laughed the whole way.,ตลอดทางเราพูดคุยหัวเราะกัน
一米,这条鱼有一米长。,This fish is one meter long.,ปลาตัวนี้ยาวหนึ่งเมตร
一年,他学了一年汉语。,He studied Chinese for a year.,เขาเรียนภาษาจีนมาหนึ่งปี
一双,我买了一双鞋。,I bought a pair of shoes.,ฉันซื้อรองเท้ามาหนึ่งคู่
一天,我们玩了一天。,We played for a whole day.,เราเล่นกันทั้งวัน
一条,桌上有一条鱼。,There's a fish on the table.,บนโต๊ะมีปลาอยู่ตัวหนึ่ง
一万,那本书卖了一万本。,That book sold ten thousand copies.,หนังสือเล่มนั้นขายได้หนึ่งหมื่นเล่ม
一万元,这辆车要一万元。,This car costs ten thousand yuan.,รถคันนี้ราคาหนึ่งหมื่นหยวน
一位,来了一位客人。,A guest has arrived.,มีแขกมาหนึ่งท่าน
一箱,他买了一箱苹果。,He bought a box of apples.,เขาซื้อแอปเปิลมาหนึ่งลัง
一样,我们的想法一样。,Our ideas are the same.,ความคิดของเราเหมือนกัน
一直,我一直在等你。,I've been waiting for you the whole time.,ฉันรอคุณอยู่ตลอดเวลา
一只,天上飞着一只鸟。,A bird is flying in the sky.,บนฟ้ามีนกบินอยู่ตัวหนึ่ง
一种,这是一种新的方法。,This is a new kind of method.,นี่คือวิธีการแบบใหม่
一周,我们学习一周了。,We have studied for a week.,เราเรียนมาหนึ่งสัปดาห์แล้ว
以后,以后我会常来。,I'll come often from now on.,ต่อไปฉันจะมาบ่อยๆ
以前,以前这里是公园。,This used to be a park.,เมื่อก่อนที่นี่เป็นสวนสาธารณะ
以为,我以为你不来了。,I thought you weren't coming.,ฉันนึกว่าคุณจะไม่มาแล้ว
易,这个问题很容易。,This problem is very easy.,คำถามนี้ง่ายมาก
音乐,我喜欢听音乐。,I like listening to music.,ฉันชอบฟังเพลง
音乐节目,这是一个音乐节目。,This is a music program.,นี่คือรายการดนตรี
银行,银行离这儿不远。,The bank isn't far from here.,ธนาคารอยู่ไม่ไกลจากที่นี่
饮料,你想喝什么饮料？,What drink would you like?,คุณอยากดื่มเครื่องดื่มอะไร
应,你应早点休息。,You should rest early.,คุณควรพักผ่อนแต่หัวค่ำ
应该,你应该多喝水。,You should drink more water.,คุณควรดื่มน้ำให้มากขึ้น
影响,天气影响了我们的计划。,The weather affected our plans.,สภาพอากาศส่งผลกระทบต่อแผนของเรา
用,你可以用我的手机。,You can use my phone.,คุณใช้โทรศัพท์ของฉันได้
用电,我们要节约用电。,We should save on electricity use.,เราต้องประหยัดการใช้ไฟฟ้า
用来,这个杯子用来喝水。,This cup is used for drinking water.,แก้วนี้ใช้สำหรับดื่มน้ำ
邮件,我给你发了邮件。,I sent you an email.,ฉันส่งอีเมลให้คุณแล้ว
游客,公园里有很多游客。,There are many tourists in the park.,ในสวนสาธารณะมีนักท่องเที่ยวเยอะมาก
游戏,孩子们喜欢玩游戏。,Children like playing games.,เด็กๆ ชอบเล่นเกม
游泳馆,我们去游泳馆游泳。,We're going to the pool to swim.,เราไปว่ายน้ำที่สระว่ายน้ำ
有关,这件事跟他有关。,This matter is related to him.,เรื่องนี้เกี่ยวข้องกับเขา
有借有还,借东西要有借有还。,"When you borrow something, you should return it.",ยืมของแล้วต้องคืน
有没有,你有没有时间？,Do you have time?,คุณมีเวลาไหม
有名,他是一个有名的医生。,He is a famous doctor.,เขาเป็นหมอที่มีชื่อเสียง
有人,门外好像有人。,It seems there's someone outside.,ดูเหมือนจะมีคนอยู่นอกประตู
有时,我有时很忙。,I'm sometimes very busy.,บางครั้งฉันก็ยุ่งมาก
有时候,我有时候很忙。,Sometimes I'm very busy.,บางครั้งฉันก็ยุ่งมาก
有事,我今天有事。,I have something to do today.,วันนี้ฉันมีธุระ
有些,有些人不喜欢喝咖啡。,Some people don't like coffee.,บางคนไม่ชอบดื่มกาแฟ
又,他又迟到了。,He was late again.,เขามาสายอีกแล้ว
右,银行在你的右边。,The bank is on your right.,ธนาคารอยู่ทางขวามือของคุณ
遇到,我在路上遇到了老师。,I ran into my teacher on the way.,ฉันเจอครูระหว่างทาง
遇见,我在路上遇见了老朋友。,I ran into an old friend on the road.,ฉันเจอเพื่อนเก่าระหว่างทาง
愿意,我愿意帮你。,I'm willing to help you.,ฉันยินดีช่วยคุณ
月亮,今晚的月亮很圆。,Tonight's moon is very full.,พระจันทร์คืนนี้เต็มดวงมาก
越,天气越来越冷。,The weather is getting colder and colder.,อากาศหนาวขึ้นเรื่อยๆ
越来越,天气越来越冷了。,The weather is getting colder and colder.,อากาศหนาวขึ้นเรื่อยๆ แล้ว
云南,我很想去云南。,I really want to go to Yunnan.,ฉันอยากไปยูนนานมาก
云南旅游,我们打算去云南旅游。,We plan to travel to Yunnan.,เราวางแผนจะไปเที่ยวยูนนาน
运动鞋,我想买一双运动鞋。,I want to buy a pair of sneakers.,ฉันอยากซื้อรองเท้ากีฬาสักคู่
再慢,你能不能再慢一点？,Could you go a little slower?,คุณช้าลงอีกหน่อยได้ไหม
再说,这件事我们以后再说。,Let's talk about this matter later.,เรื่องนี้เราค่อยคุยกันทีหลัง
在家,今天我在家休息。,Today I'm resting at home.,วันนี้ฉันพักผ่อนอยู่ที่บ้าน
在我心中,你永远在我心中。,You are always in my heart.,คุณอยู่ในใจฉันเสมอ
早点儿,明天早点儿来。,Come a bit earlier tomorrow.,พรุ่งนี้มาแต่เช้าหน่อยนะ
怎么办,这件事怎么办？,What should we do about this?,เรื่องนี้จะทำอย่างไรดี
怎样,你觉得怎样？,What do you think?,คุณคิดว่าอย่างไรบ้าง
怎样才能,怎样才能学好汉语？,How can one learn Chinese well?,ทำอย่างไรถึงจะเรียนภาษาจีนได้ดี
站,前面就是火车站。,The train station is right ahead.,ข้างหน้าคือสถานีรถไฟ
站着不动,他站着不动。,He stood still.,เขายืนนิ่งไม่ขยับ
长大,孩子们都长大了。,The children have all grown up.,เด็กๆ โตกันหมดแล้ว
长胖,最近我长胖了。,I've gained weight recently.,ช่วงนี้ฉันอ้วนขึ้น
长时间,他长时间工作。,He worked for a long time.,เขาทำงานเป็นเวลานาน
照,阳光照在脸上。,Sunlight shines on my face.,แสงแดดส่องมาที่ใบหน้า
照顾,妈妈在照顾孩子。,Mom is taking care of the children.,แม่กำลังดูแลลูก
照片,我们照了很多照片。,We took a lot of photos.,เราถ่ายรูปไปเยอะมาก
照相机,我买了一个照相机。,I bought a camera.,ฉันซื้อกล้องถ่ายรูปมาหนึ่งตัว
这次,这次考试很简单。,This exam was very easy.,การสอบครั้งนี้ง่ายมาก
这段话,这段话很重要。,This passage is very important.,ข้อความช่วงนี้สำคัญมาก
这家,这家饭馆很有名。,This restaurant is very famous.,ร้านอาหารนี้มีชื่อเสียงมาก
这件,这件衣服很漂亮。,This piece of clothing is very pretty.,เสื้อผ้าตัวนี้สวยมาก
这块,这块蛋糕很好吃。,This piece of cake is delicious.,เค้กชิ้นนี้อร่อยมาก
这辆,这辆车很贵。,This car is very expensive.,รถคันนี้แพงมาก
这么晚,你怎么这么晚回来？,Why are you back so late?,ทำไมคุณกลับมาดึกขนาดนี้
这位,这位是我的老师。,This is my teacher.,ท่านนี้คือครูของฉัน
这种,我喜欢这种颜色。,I like this kind of color.,ฉันชอบสีแบบนี้
着急,别着急，慢慢说。,"Don't worry, take your time.",อย่ารีบร้อน ค่อยๆ พูด
真不简单,你真不简单。,You're really impressive.,คุณเก่งจริงๆ
真累,今天工作真累。,Work today was really tiring.,วันนี้ทำงานเหนื่อยจริงๆ
真是,今天真是太热了。,Today is really so hot.,วันนี้ร้อนมากจริงๆ
正要,我正要出门。,I was just about to go out.,ฉันกำลังจะออกจากบ้านพอดี
只,我今天只喝水。,I'm only drinking water today.,วันนี้ฉันดื่มแต่น้ำเปล่า
只能,我今天只能在家。,I can only stay home today.,วันนี้ฉันได้แต่อยู่บ้าน
只怕,只怕明天会下雨。,I'm afraid it will rain tomorrow.,เกรงว่าพรุ่งนี้ฝนจะตก
只是,我只是问问。,I'm just asking.,ฉันแค่ถามเฉยๆ
只要,只要努力就能成功。,"As long as you work hard, you can succeed.",ขอแค่ตั้งใจก็สามารถสำเร็จได้
只有,桌子上只有一本书。,There is only one book on the table.,บนโต๊ะมีหนังสือเพียงเล่มเดียว
中间,他坐在我们中间。,"He sits in the middle, between us.",เขานั่งอยู่ตรงกลางระหว่างเรา
中文,他的中文说得很好。,His Chinese is very good.,เขาพูดภาษาจีนได้ดีมาก
终于,我们终于到家了。,We finally got home.,ในที่สุดเราก็ถึงบ้านแล้ว
种,这种水果很甜。,This kind of fruit is very sweet.,ผลไม้ชนิดนี้หวานมาก
重要,这件事很重要。,This matter is very important.,เรื่องนี้สำคัญมาก
周,我们一周上五天课。,We have classes five days a week.,เราเรียนห้าวันต่อสัปดาห์
周末,周末我在家休息。,I rest at home on weekends.,วันหยุดสุดสัปดาห์ฉันพักผ่อนอยู่บ้าน
主要,这是主要的问题。,This is the main problem.,นี่คือปัญหาหลัก
注意,过马路要注意安全。,Pay attention to safety when crossing the street.,ข้ามถนนต้องระวังความปลอดภัย
祝您,祝您生日快乐。,Wishing you a happy birthday.,ขอให้คุณมีความสุขในวันเกิด
桌,房间里有一张桌子。,There is a table in the room.,ในห้องมีโต๊ะอยู่ตัวหนึ่ง
子,他有一个儿子。,He has a son.,เขามีลูกชายหนึ่งคน
字典,我用字典查生词。,I look up new words in the dictionary.,ฉันใช้พจนานุกรมค้นหาคำศัพท์ใหม่
自己,我自己做饭。,I cook by myself.,ฉันทำอาหารเอง
总会,好事总会发生。,Good things will always happen.,เรื่องดีๆ ย่อมเกิดขึ้นเสมอ
总是,他总是迟到。,He is always late.,เขามาสายอยู่เสมอ
走得慢,爷爷走得慢。,Grandpa walks slowly.,คุณปู่เดินช้า
走动,吃完饭出去走动一下。,Go out and move around a bit after eating.,กินข้าวเสร็จแล้วออกไปเดินเล่นหน่อย
走走,我们去外面走走吧。,Let's go outside for a walk.,เราออกไปเดินเล่นข้างนอกกันเถอะ
嘴,他的嘴很大。,His mouth is big.,ปากของเขาใหญ่มาก
最好,你最好早点睡。,You'd better sleep early.,คุณควรนอนแต่หัวค่ำจะดีกว่า
最后,最后他成功了。,"In the end, he succeeded.",ในที่สุดเขาก็ประสบความสำเร็จ
最近,我最近很忙。,I've been busy recently.,ช่วงนี้ฉันยุ่งมาก
最少,我们最少需要两个人。,We need at least two people.,เราต้องการอย่างน้อยสองคน
最新,这是最新的消息。,This is the latest news.,นี่คือข่าวล่าสุด
昨,昨天我很忙。,I was very busy yesterday.,เมื่อวานฉันยุ่งมาก
昨天晚上,昨天晚上我没睡好。,I didn't sleep well last night.,เมื่อคืนฉันนอนหลับไม่สนิท
昨天下午,昨天下午下雨了。,It rained yesterday afternoon.,เมื่อวานตอนบ่ายฝนตก
左,请你往左转。,Please turn left.,กรุณาเลี้ยวซ้าย
左右,他今年五十岁左右。,He is around fifty years old this year.,ปีนี้เขาอายุประมาณห้าสิบปี
作业,我还没做完作业。,I haven't finished my homework yet.,ฉันยังทำการบ้านไม่เสร็จ
作用,这个药有作用。,This medicine works.,ยานี้ใช้ได้ผล
坐船,我们坐船去那个岛。,We took a boat to that island.,เรานั่งเรือไปเกาะนั้น
坐船去,我们坐船去那个岛。,We went to that island by boat.,เรานั่งเรือไปเกาะนั้น
坐地铁,我每天坐地铁上班。,I take the subway to work every day.,ฉันนั่งรถไฟฟ้าใต้ดินไปทำงานทุกวัน
坐飞机,我第一次坐飞机。,This is my first time taking a plane.,นี่เป็นครั้งแรกที่ฉันนั่งเครื่องบิน
坐在,她坐在椅子上。,She is sitting on the chair.,เธอนั่งอยู่บนเก้าอี้
做出,他做出了正确的决定。,He made the right decision.,เขาตัดสินใจได้อย่างถูกต้อง
做到,我一定能做到。,I can definitely make it happen.,ฉันต้องทำให้ได้แน่นอน
做饭,妈妈在厨房做饭。,Mom is cooking in the kitchen.,แม่กำลังทำอาหารในครัว
做客,我去朋友家做客。,I went to my friend's house as a guest.,ฉันไปเยี่ยมเยือนบ้านเพื่อน
做人,做人要诚实。,One should be honest in life.,การเป็นคนต้องซื่อสัตย์
做事,他做事很认真。,He is very conscientious in his work.,เขาทำงานอย่างจริงจัง
把,他把着方向盘。,He is gripping the steering wheel.,เขาจับพวงมาลัยไว้
故事,奶奶讲了一个故事。,Grandma told a story.,คุณยายเล่านิทานเรื่องหนึ่ง
比较,老师比较了两篇作文。,The teacher compared the two essays.,ครูเปรียบเทียบเรียงความสองเรื่อง
一边,他站在一边等待。,He stood to one side and waited.,เขายืนอยู่ข้างๆ รอคอย
不想,我今天不想上班。,I don't want to go to work today.,วันนี้ฉันไม่อยากไปทำงาน
总,这家公司总部很大。,This company's headquarters is very large.,สำนักงานใหญ่ของบริษัทนี้ใหญ่มาก
