hanzi,sentence,en,th
不感兴趣,我对足球不感兴趣。,I'm not interested in soccer.,ฉันไม่สนใจฟุตบอล
不好,今天天气不好。,The weather isn't good today.,วันนี้อากาศไม่ดี
不会,明天不会下雨。,It probably won't rain tomorrow.,พรุ่งนี้คงไม่ฝนตก
不见,我们好久不见了。,We haven't seen each other in a long time.,เราไม่ได้เจอกันนานแล้ว
不久,他不久就回来了。,He will be back before long.,อีกไม่นานเขาก็กลับมา
不难,这道题不难。,This problem is not difficult.,โจทย์นี้ไม่ยาก
不怕,我一点也不怕。,I'm not scared at all.,ฉันไม่กลัวเลยสักนิด
不让,妈妈不让我出去。,Mom doesn't let me go out.,แม่ไม่ให้ฉันออกไปข้างนอก
不少,他有不少朋友。,He has quite a few friends.,เขามีเพื่อนเยอะพอสมควร
不是,这不是我的书。,This is not my book.,นี่ไม่ใช่หนังสือของฉัน
不太好,我今天感觉不太好。,I don't feel too well today.,วันนี้ฉันรู้สึกไม่ค่อยดี
不同,我们的想法不同。,Our ideas are different.,ความคิดของเราไม่เหมือนกัน
不下雨,今天不下雨。,It's not raining today.,วันนี้ฝนไม่ตก
不要,不要在这里吃东西。,Don't eat here.,อย่ากินอาหารที่นี่
不用,你不用担心。,You don't need to worry.,คุณไม่ต้องกังวล
不远,学校离我家不远。,The school isn't far from my house.,โรงเรียนอยู่ไม่ไกลจากบ้านฉัน
步,他走了几步。,He took a few steps.,เขาเดินไปไม่กี่ก้าว
才,他昨天才回来。,He only came back yesterday.,เขาเพิ่งกลับมาเมื่อวานนี้เอง
才能,他很有才能。,He is very talented.,เขามีความสามารถมาก
菜单,服务员拿来了菜单。,The waiter brought the menu.,พนักงานเสิร์ฟเมนูมาให้
菜点,这里的菜点很好吃。,The dishes here are delicious.,อาหารที่นี่อร่อยมาก
参加,我想参加比赛。,I want to take part in the competition.,ฉันอยากเข้าร่วมการแข่งขัน
草,公园里的草很绿。,The grass in the park is very green.,หญ้าในสวนสาธารณะเขียวมาก
草地上,孩子们在草地上跑。,The children are running on the lawn.,เด็กๆ วิ่งเล่นอยู่บนสนามหญ้า
层,我家住在三层。,My family lives on the third floor.,บ้านฉันอยู่ชั้นสาม
查,我去查资料。,I'm going to look up some information.,ฉันจะไปค้นหาข้อมูล
查查,你查查这个词吧。,Please look up this word.,ลองค้นคำนี้ดูสิ
查字典,我不懂就查字典。,"When I don't understand, I look it up in the dictionary.",ถ้าไม่เข้าใจฉันก็เปิดพจนานุกรม
茶水,请喝一杯茶水。,Please have a cup of tea.,เชิญดื่มชาสักแก้ว
差,现在差五分钟到六点。,It's five minutes to six right now.,ตอนนี้อีกห้านาทีจะหกโมง
常,他常来我家。,He often comes to my house.,เขามาบ้านฉันบ่อยๆ
常有,这里常有游客。,There are often tourists here.,ที่นี่มักมีนักท่องเที่ยวอยู่เสมอ
唱,她唱歌很好听。,She sings very well.,เธอร้องเพลงเพราะมาก
超市,妈妈去超市买菜。,Mom went to the supermarket to buy vegetables.,แม่ไปซื้อกับข้าวที่ซูเปอร์มาร์เก็ต
车站,车站离这儿不远。,The station isn't far from here.,สถานีอยู่ไม่ไกลจากที่นี่
衬衫,他穿了一件白衬衫。,He wore a white shirt.,เขาใส่เสื้อเชิ้ตสีขาว
成绩,他的成绩很好。,His grades are very good.,ผลการเรียนของเขาดีมาก
城,这座城很漂亮。,This city is very beautiful.,เมืองนี้สวยงามมาก
城市,北京是一个大城市。,Beijing is a big city.,ปักกิ่งเป็นเมืองใหญ่
城外,他住在城外。,He lives outside the city.,เขาอาศัยอยู่นอกเมือง
吃饱,我已经吃饱了。,I'm already full.,ฉันอิ่มแล้ว
吃饭,我们一起吃饭吧。,Let's eat together.,เรากินข้าวด้วยกันเถอะ
吃药,你要按时吃药。,You need to take your medicine on time.,คุณต้องกินยาให้ตรงเวลา
迟到,他今天又迟到了。,He was late again today.,วันนี้เขามาสายอีกแล้ว
出国,他打算明年出国工作。,He plans to go abroad to work next year.,เขาวางแผนจะไปทำงานต่างประเทศปีหน้า
出过,他去年出过国。,He went abroad last year.,ปีที่แล้วเขาเคยไปต่างประเทศ
出门,下雨了，别出门。,"It's raining, don't go out.",ฝนตกแล้ว อย่าออกไปข้างนอกเลย
出门时,出门时请关灯。,Please turn off the lights when going out.,เวลาออกจากบ้านกรุณาปิดไฟ
出现,天上出现了彩虹。,A rainbow appeared in the sky.,บนฟ้ามีสายรุ้งปรากฏขึ้น
除了,"除了英语,我还会说汉语。","Besides English, I can also speak Chinese.",นอกจากภาษาอังกฤษแล้ว ฉันยังพูดภาษาจีนได้ด้วย
厨房,妈妈在厨房做饭。,Mom is cooking in the kitchen.,แม่กำลังทำอาหารในครัว
船票,我买了两张船票。,I bought two ship tickets.,ฉันซื้อตั๋วเรือมาสองใบ
船长,船长站在船上。,The captain stands on the ship.,กัปตันยืนอยู่บนเรือ
春季,春季天气很好。,The weather is nice in spring.,ฤดูใบไม้ผลิอากาศดีมาก
春天,春天到了，花都开了。,"Spring has arrived, and the flowers have all bloomed.",ฤดูใบไม้ผลิมาถึงแล้ว ดอกไม้บานสะพรั่งไปหมด
词,这个词很难。,This word is difficult.,คำนี้ยากมาก
词典,我有一本词典。,I have a dictionary.,ฉันมีพจนานุกรมหนึ่งเล่ม
词语,这个词语很难。,This word is difficult.,คำนี้ยากมาก
聪明,这个孩子很聪明。,This child is very clever.,เด็กคนนี้ฉลาดมาก
聪明人,他是一个聪明人。,He is a smart person.,เขาเป็นคนฉลาด
从小,他从小喜欢画画。,He has liked drawing since he was little.,เขาชอบวาดรูปมาตั้งแต่เด็ก
错过,我错过了火车。,I missed the train.,ฉันพลาดรถไฟ
错过机会,别错过机会。,Don't miss the opportunity.,อย่าพลาดโอกาสนะ
答题,学生们正在答题。,The students are answering the questions.,นักเรียนกำลังตอบคำถาม
打车,下雨天我们打车去吧。,Let's take a taxi since it's raining.,วันฝนตกเรานั่งแท็กซี่ไปกันเถอะ
打打球,我们去打打球吧。,Let's go play some ball.,เราไปเล่นบอลกันเถอะ
打电话,我给妈妈打电话了。,I called my mom.,ฉันโทรหาแม่แล้ว
打篮球,他们在打篮球。,They are playing basketball.,พวกเขากำลังเล่นบาสเก็ตบอล
打扫,我在打扫房间。,I'm cleaning the room.,ฉันกำลังทำความสะอาดห้อง
打算,我打算去中国旅游。,I plan to travel to China.,ฉันวางแผนจะไปเที่ยวจีน
大城市,北京是大城市。,Beijing is a major city.,ปักกิ่งเป็นเมืองใหญ่
大风,外面刮大风了。,There's a gale blowing outside.,ข้างนอกลมแรงมาก
大晴天,今天是大晴天。,Today is a sunny day.,วันนี้อากาศแจ่มใสมาก
大熊猫,大熊猫喜欢吃竹子。,Giant pandas like to eat bamboo.,แพนด้ายักษ์ชอบกินไผ่
大学老师,他是大学老师。,He is a university teacher.,เขาเป็นอาจารย์มหาวิทยาลัย
大一岁,我比他大一岁。,I am one year older than him.,ฉันแก่กว่าเขาหนึ่งปี
带,请带上你的护照。,Please bring your passport.,กรุณานำหนังสือเดินทางไปด้วย
带来,他给我带来了礼物。,He brought me a gift.,เขาเอาของขวัญมาให้ฉัน
担心,妈妈很担心我。,Mom is very worried about me.,แม่เป็นห่วงฉันมาก
蛋糕,妈妈做了蛋糕。,Mom made a cake.,แม่ทำเค้ก
当然,这个我当然知道。,Of course I know that.,เรื่องนี้ฉันรู้อยู่แล้วแน่นอน
到来,我们欢迎他的到来。,We welcome his arrival.,เรายินดีต้อนรับการมาของเขา
到时候,到时候我给你打电话。,I'll call you when the time comes.,ถึงเวลานั้นฉันจะโทรหาคุณ
道,你说的很有道理。,What you said makes a lot of sense.,สิ่งที่คุณพูดมีเหตุผลมาก
地,书掉在地上了。,The book fell on the ground.,หนังสือตกลงพื้น
地方,这是个好地方。,This is a good place.,ที่นี่เป็นสถานที่ที่ดี
地铁,我坐地铁上班。,I take the subway to work.,ฉันนั่งรถไฟฟ้าใต้ดินไปทำงาน
地铁站,前面就是地铁站。,The subway station is just ahead.,ข้างหน้าคือสถานีรถไฟฟ้าใต้ดิน
地图,请给我一张地图。,Please give me a map.,กรุณาให้แผนที่ฉันหนึ่งแผ่น
的话,明天有空的话就来。,"If you're free tomorrow, come over.",ถ้าพรุ่งนี้ว่างก็มานะ
等到,等到明天再说吧。,Let's wait until tomorrow to talk.,รอถึงพรุ่งนี้ค่อยว่ากันเถอะ
等会儿,你等会儿再走。,Wait a moment before you go.,รอสักครู่ค่อยไปนะ
低,这张桌子很低。,This table is low.,โต๊ะตัวนี้เตี้ยมาก
第二,这是我第二次来。,This is my second time here.,นี่เป็นครั้งที่สองที่ฉันมา
第二天,第二天他就走了。,He left the very next day.,วันรุ่งขึ้นเขาก็ไปแล้ว
第一次,这是我第一次来中国。,This is my first time coming to China.,นี่เป็นครั้งแรกที่ฉันมาเมืองจีน
第一个,他是第一个到的。,He was the first one to arrive.,เขาเป็นคนแรกที่มาถึง
电脑公司,他在电脑公司工作。,He works at a computer company.,เขาทำงานที่บริษัทคอมพิวเตอร์
电视节目,这个电视节目很好看。,This TV program is very good.,รายการโทรทัศน์นี้สนุกมาก
电梯,我们坐电梯上去。,Let's take the elevator up.,เราขึ้นลิฟต์ไปกันเถอะ
电子邮件,我给他发了电子邮件。,I sent him an email.,ฉันส่งอีเมลให้เขา
电子游戏,他喜欢玩电子游戏。,He likes playing video games.,เขาชอบเล่นเกม
东,太阳从东边出来。,The sun rises in the east.,พระอาทิตย์ขึ้นทางทิศตะวันออก
东边,太阳从东边升起。,The sun rises from the east.,พระอาทิตย์ขึ้นทางทิศตะวันออก
东门,我们在东门见面。,Let's meet at the east gate.,เราจะเจอกันที่ประตูตะวันออก
东西方,东西方文化不同。,Eastern and Western cultures are different.,วัฒนธรรมตะวันออกและตะวันตกแตกต่างกัน
冬天,冬天的北京很冷。,Beijing is very cold in winter.,ปักกิ่งหนาวมากในฤดูหนาว
动物,我喜欢小动物。,I like small animals.,ฉันชอบสัตว์ตัวเล็กๆ
动物园,周末我们去动物园。,We're going to the zoo this weekend.,สุดสัปดาห์นี้เราจะไปสวนสัตว์
读书,他喜欢在图书馆读书。,He likes to study in the library.,เขาชอบอ่านหนังสือในห้องสมุด
读音,这个字的读音是什么？,What's the pronunciation of this character?,ตัวอักษรนี้อ่านออกเสียงว่าอย่างไร
短,这条路很短。,This road is very short.,ถนนสายนี้สั้นมาก
短发,她剪了短发。,She got a short haircut.,เธอตัดผมสั้น
锻炼,我每天锻炼一小时。,I exercise for an hour every day.,ฉันออกกำลังกายวันละหนึ่งชั่วโมง
锻炼身体,他每天锻炼身体。,He exercises every day.,เขาออกกำลังกายทุกวัน
多分钟,我等了十多分钟。,I waited for more than ten minutes.,ฉันรออยู่กว่าสิบนาที
多久,你等了多久？,How long have you been waiting?,คุณรอมานานแค่ไหนแล้ว
多块,这本书三十多块。,This book costs more than thirty yuan.,หนังสือเล่มนี้ราคากว่าสามสิบหยวน
多么,今天多么开心啊！,How happy I am today!,วันนี้มีความสุขจริงๆ เลย
多年,他们认识多年了。,They have known each other for many years.,พวกเขารู้จักกันมาหลายปีแล้ว
多岁,他四十多岁了。,He is more than forty years old.,เขาอายุกว่าสี่สิบปีแล้ว
饿,我现在很饿。,I'm very hungry now.,ตอนนี้ฉันหิวมาก
而且,这件衣服漂亮而且便宜。,This piece of clothing is pretty and also cheap.,เสื้อผ้าตัวนี้สวยและราคาถูกด้วย
耳朵,我的耳朵不舒服。,My ear doesn't feel well.,หูของฉันรู้สึกไม่สบาย
发,我给他发了一条信息。,I sent him a message.,ฉันส่งข้อความหาเขาไปหนึ่งข้อความ
