hanzi,sentence,en,th_final
潮,海边的潮已经退了。,The tide by the sea has already gone out.,น้ำทะเลที่ชายหาดลงแล้ว
潮流,她穿衣打扮很赶潮流。,Her outfits really keep up with trends.,การแต่งตัวของเธอตามเทรนด์มาก
潮湿,地下室很潮湿。,The basement is very damp.,ห้องใต้ดินชื้นมาก
激情,他对音乐充满激情。,He is full of passion for music.,เขาเต็มไปด้วยความหลงใหลในดนตรี
激活,请输入密码激活账户。,Please enter the password to activate the account.,กรุณาใส่รหัสผ่านเพื่อเปิดใช้งานบัญชี
激起,这个消息激起了大家的愤怒。,This news aroused everyone's anger.,ข่าวนี้จุดชนวนความโกรธของทุกคน
瀑布,这条瀑布非常壮观。,This waterfall is very spectacular.,น้ำตกแห่งนี้ตระการตามาก
灌溉,农民用河水灌溉农田。,Farmers irrigate the fields with river water.,ชาวนาใช้น้ำจากแม่น้ำทดน้ำเข้าไร่นา
火候,炒菜要掌握好火候。,Stir-frying requires good heat control.,การผัดกับข้าวต้องคุมไฟให้ดี
火灾,这场火灾造成了巨大损失。,This fire caused enormous losses.,ไฟไหม้ครั้งนี้สร้างความเสียหายมหาศาล
火焰,蜡烛的火焰在摇曳。,The candle's flame is flickering.,เปลวเทียนกำลังลุกไหว
火箭,这枚火箭成功发射了。,This rocket was launched successfully.,จรวดลำนี้ปล่อยตัวสำเร็จ
火花,电线冒出了火花。,Sparks flew from the wire.,สายไฟเกิดประกายไฟ
火辣辣,夏天的太阳火辣辣的。,The summer sun is scorching hot.,แดดหน้าร้อนร้อนแผดเผา
灭,大家一起把火灭了。,Everyone worked together to put out the fire.,ทุกคนช่วยกันดับไฟ
灭亡,那个古老王朝已灭亡。,That ancient dynasty has perished.,ราชวงศ์เก่าแก่นั้นล่มสลายไปแล้ว
灭绝,恐龙早已灭绝了。,Dinosaurs became extinct long ago.,ไดโนเสาร์สูญพันธุ์ไปนานแล้ว
灯笼,春节家家挂灯笼。,During Spring Festival every household hangs lanterns.,ช่วงตรุษจีนบ้านทุกหลังแขวนโคมไฟ
灵巧,她的双手非常灵巧。,Her hands are very nimble.,มือทั้งสองของเธอคล่องแคล่วมาก
灵魂,音乐能触动人的灵魂。,Music can touch a person's soul.,ดนตรีสามารถสัมผัสจิตวิญญาณของคนเราได้
灾区,志愿者赶往灾区救援。,Volunteers rushed to the disaster area to help.,อาสาสมัครรีบไปช่วยเหลือที่พื้นที่ประสบภัย
灾害,地震是一种自然灾害。,An earthquake is a kind of natural disaster.,แผ่นดินไหวเป็นภัยพิบัติทางธรรมชาติอย่างหนึ่ง
灾难,地震是一场可怕的灾难。,An earthquake is a terrible disaster.,แผ่นดินไหวเป็นหายนะที่น่ากลัว
炉子,厨房里有一个炉子。,There is a stove in the kitchen.,ในครัวมีเตาอยู่หนึ่งเตา
炎热,夏天天气非常炎热。,The weather is extremely hot in summer.,อากาศหน้าร้อนร้อนอบอ้าวมาก
炒,妈妈在厨房炒青菜。,Mom is stir-frying vegetables in the kitchen.,แม่กำลังผัดผักอยู่ในครัว
炫耀,他喜欢向朋友炫耀新车。,He likes to show off his new car to friends.,เขาชอบอวดรถใหม่ให้เพื่อนดู
炸药,工人们用炸药炸开了岩石。,The workers used explosives to blast open the rock.,คนงานใช้ระเบิดระเบิดหินออก
点火,他划了根火柴点火。,He struck a match to light a fire.,เขาจุดไม้ขีดเพื่อจุดไฟ
点缀,花朵点缀着整个花园。,Flowers adorn the entire garden.,ดอกไม้ประดับตกแต่งทั่วทั้งสวน
点评,老师对作文做了点评。,The teacher gave comments on the essay.,คุณครูให้ความเห็นเกี่ยวกับเรียงความ
炼,工厂用高温炼铁。,The factory smelts iron at high temperature.,โรงงานหลอมเหล็กด้วยความร้อนสูง
烂,这个苹果已经烂了。,This apple has already gone bad.,แอปเปิลลูกนี้เน่าแล้ว
烟,房间里全是烟味。,The room is full of the smell of smoke.,ในห้องมีแต่กลิ่นควัน
烟花,除夕夜到处都有烟花。,On New Year's Eve there are fireworks everywhere.,คืนส่งท้ายปีเก่ามีพลุอยู่ทุกที่
烤鸭,北京烤鸭非常有名。,Beijing roast duck is very famous.,เป็ดปักกิ่งขึ้นชื่อมาก
烦,这件事让他很烦。,This matter is really annoying him.,เรื่องนี้ทำให้เขารำคาญมาก
烦躁,天气太热让人烦躁。,The hot weather makes people irritable.,อากาศร้อนเกินไปทำให้คนหงุดหงิด
烫,小心别烫伤了手。,Be careful not to scald your hand.,ระวังอย่าให้มือลวกนะ
热带,这种植物生长在热带。,This plant grows in the tropics.,พืชชนิดนี้เติบโตในเขตร้อน
热点,这是最近的社会热点。,This is a recent hot topic in society.,นี่เป็นประเด็นร้อนในสังคมช่วงนี้
热门,这是今年最热门的话题。,This is the hottest topic this year.,นี่เป็นหัวข้อที่ฮอตที่สุดในปีนี้
焦点,这件事成了大家的焦点。,This matter became everyone's focus.,เรื่องนี้กลายเป็นจุดสนใจของทุกคน
焦虑,考试前他感到很焦虑。,He felt very anxious before the exam.,ก่อนสอบเขารู้สึกกังวลมาก
焦躁,等待结果让他很焦躁。,Waiting for the result made him restless.,การรอผลทำให้เขากระวนกระวายใจ
焰火,广场上放起了焰火。,Fireworks went off in the square.,มีการจุดพลุที่ลานกว้าง
煤,工厂需要大量的煤。,The factory needs a large amount of coal.,โรงงานต้องการถ่านหินจำนวนมาก
煤炭,这个地区盛产煤炭。,This region is rich in coal.,พื้นที่แถบนี้อุดมไปด้วยถ่านหิน
照料,她每天照料生病的母亲。,She takes care of her sick mother every day.,เธอดูแลแม่ที่ป่วยทุกวัน
照明,这条街道的照明设备很老旧。,The lighting equipment on this street is very old.,อุปกรณ์ให้แสงสว่างบนถนนสายนี้เก่ามาก
照耀,阳光照耀着大地。,Sunlight shines upon the earth.,แสงอาทิตย์ส่องสว่างทั่วผืนแผ่นดิน
熊,森林里有一只熊。,There is a bear in the forest.,ในป่ามีหมีอยู่ตัวหนึ่ง
熏陶,他从小受艺术熏陶。,He was influenced by art since childhood.,เขาซึมซับศิลปะมาตั้งแต่เด็ก
熟,苹果已经熟了。,The apple is already ripe.,แอปเปิลสุกแล้ว
熟练,他操作机器非常熟练。,He operates the machine very skillfully.,เขาใช้งานเครื่องจักรได้อย่างชำนาญมาก
燃料,汽车需要加满燃料。,The car needs to be filled up with fuel.,รถยนต์ต้องเติมเชื้อเพลิงให้เต็ม
爆,气球突然爆了。,The balloon suddenly burst.,ลูกโป่งระเบิดขึ้นมาทันที
爆发,战争突然爆发了。,War suddenly broke out.,สงครามปะทุขึ้นอย่างกะทันหัน
爆炸,厨房突然发生了爆炸。,An explosion suddenly occurred in the kitchen.,จู่ๆ ก็เกิดระเบิดขึ้นในครัว
爪子,猫用爪子抓门。,The cat scratches the door with its claw.,แมวใช้อุ้งเล็บข่วนประตู
爱不释手,他对这本书爱不释手。,He loves this book so much he can't put it down.,เขาชอบหนังสือเล่มนี้มากจนวางไม่ลง
爱心,他常常向灾区捐赠爱心物资。,He often donates charity supplies to disaster areas.,เขามักบริจาคสิ่งของด้วยน้ำใจให้พื้นที่ประสบภัย
爱惜,我们要爱惜粮食。,We should cherish food.,เราควรเห็นคุณค่าของอาหาร
爱护,我们要爱护公共设施。,We should take care of public facilities.,เราต้องช่วยกันดูแลรักษาสิ่งของสาธารณะ
爱面子,他非常爱面子。,He cares a lot about saving face.,เขาเป็นคนรักษาหน้ามาก
父女,这对父女很亲密。,This father and daughter are very close.,พ่อลูกคู่นี้สนิทกันมาก
爽快,他做事很爽快。,He acts in a straightforward way.,เขาทำอะไรฉับไวเด็ดขาด
片面,他的看法有点片面。,His view is a bit one-sided.,มุมมองของเขาค่อนข้างมองด้านเดียว
牌子,门口挂着一块牌子。,A sign hangs at the doorway.,ที่หน้าประตูมีป้ายแขวนอยู่
牙齿,医生检查了他的牙齿。,The doctor examined his teeth.,หมอตรวจฟันของเขา
牛,农场里养着牛。,Cows are raised on the farm.,ในฟาร์มเลี้ยงวัวไว้
牛仔裤,她穿了一条牛仔裤。,She wore a pair of jeans.,เธอใส่กางเกงยีนส์หนึ่งตัว
牡丹,公园里种满牡丹。,The park is full of peonies.,ในสวนปลูกดอกโบตั๋นเต็มไปหมด
牢,门锁得很牢。,The door is locked very firmly.,ประตูล็อกแน่นหนามาก
牢固,这座桥非常牢固。,This bridge is very sturdy.,สะพานนี้แข็งแรงมั่นคงมาก
牧场,羊群在牧场上吃草。,The sheep graze on the pasture.,ฝูงแกะกินหญ้าอยู่ในทุ่งเลี้ยงสัตว์
物品,请检查随身物品。,Please check your personal belongings.,กรุณาตรวจสอบสัมภาระติดตัว
物资,救援物资已经送到灾区。,Relief supplies have already been delivered to the disaster area.,สิ่งของบรรเทาทุกข์ถูกส่งไปยังพื้นที่ประสบภัยแล้ว
牵,妈妈牵着孩子的手。,Mom holds her child's hand.,แม่จูงมือลูก
特产,这是本地的特产。,This is a local specialty.,นี่เป็นของขึ้นชื่อประจำท้องถิ่น
特制,这是厨师特制的酱料。,This is a sauce specially made by the chef.,นี่เป็นซอสที่เชฟทำขึ้นเป็นพิเศษ
特地,我特地来看你。,I came specially to see you.,ฉันตั้งใจมาหาเธอโดยเฉพาะ
特定,这是特定的场合。,This is a specific occasion.,นี่เป็นโอกาสเฉพาะ
特征,这种鸟有明显的特征。,This bird has obvious distinguishing traits.,นกชนิดนี้มีลักษณะเด่นชัดเจน
特性,每种材料都有特性。,Every material has its own properties.,วัสดุแต่ละชนิดล้วนมีคุณสมบัติเฉพาะตัว
特有,这是熊猫特有的特征。,This is a characteristic unique to pandas.,นี่เป็นลักษณะเฉพาะที่มีแต่ในแพนด้า
特长,唱歌是她的特长。,Singing is her special talent.,การร้องเพลงเป็นความถนัดพิเศษของเธอ
牺牲,他为国家牺牲了。,He sacrificed himself for the country.,เขาเสียสละชีวิตเพื่อชาติ
犯,他不小心犯了错误。,He accidentally made a mistake.,เขาเผลอทำผิดพลาด
犯规,那名球员犯规了。,That player committed a foul.,นักกีฬาคนนั้นทำฟาวล์
状元,他是今年的状元。,He is this year's top scorer.,เขาเป็นผู้สอบได้ที่หนึ่งของปีนี้
犹豫不决,他做决定总是犹豫不决。,He is always hesitant when making decisions.,เวลาตัดสินใจเขาลังเลไม่กล้าตัดสินใจเสมอ
狂欢,大家彻夜狂欢。,Everyone partied all night.,ทุกคนสนุกสุดเหวี่ยงกันทั้งคืน
独一无二,每个人都是独一无二的。,Everyone is unique.,ทุกคนล้วนมีหนึ่งเดียวไม่เหมือนใคร
独立自主,国家实现了独立自主。,The country achieved independence and self-reliance.,ประเทศบรรลุความเป็นเอกราชและพึ่งพาตนเอง
独自,她独自一人去旅行。,She traveled alone.,เธอไปเที่ยวคนเดียวตามลำพัง
狭小,这个房间十分狭小。,This room is very narrow and small.,ห้องนี้เล็กคับแคบมาก
狭窄,这条街道十分狭窄。,This street is very narrow.,ถนนสายนี้แคบมาก
狭隘,他的想法很狭隘。,His thinking is very narrow-minded.,ความคิดของเขาคับแคบมาก
猎人,猎人在森林里追踪野兽。,The hunter tracked the beast through the forest.,นายพรานตามล่าสัตว์ป่าในป่า
猛,风突然刮得很猛。,The wind suddenly blew fiercely.,จู่ๆ ลมก็พัดแรงมาก
猛烈,双方展开猛烈进攻。,Both sides launched a fierce attack.,ทั้งสองฝ่ายเปิดฉากโจมตีอย่างดุเดือด
猛然,他猛然想起一件事。,He suddenly remembered something.,จู่ๆ เขาก็นึกขึ้นได้เรื่องหนึ่ง
率,这次考试通过率很高。,The pass rate for this exam is very high.,อัตราการสอบผ่านครั้งนี้สูงมาก
率先,他率先举手发言。,He was the first to raise his hand to speak.,เขาเป็นคนแรกที่ยกมือขึ้นพูด
率领,队长率领大家前进。,The captain led everyone forward.,หัวหน้าทีมนำทุกคนเดินหน้าไป
玉,她戴着一块漂亮的玉。,She was wearing a beautiful piece of jade.,เธอสวมหยกสวยๆ ชิ้นหนึ่ง
王后,王后穿着华丽的长裙。,The queen wore a gorgeous long dress.,ราชินีสวมชุดกระโปรงยาวหรูหรา
王国,这是一个古老的王国。,This is an ancient kingdom.,นี่เป็นอาณาจักรเก่าแก่
王子,王子骑马进城了。,The prince rode into the city on horseback.,เจ้าชายขี่ม้าเข้าเมือง
环绕,群山环绕着小镇。,Mountains surround the small town.,ภูเขาล้อมรอบเมืองเล็กๆ
现场,警察赶到了现场。,The police arrived at the scene.,ตำรวจรีบไปถึงที่เกิดเหตุ
现有,我们只能用现有的材料。,We can only use the materials we currently have.,เราใช้ได้แค่วัสดุที่มีอยู่ตอนนี้
现状,他对现状很不满意。,He is very dissatisfied with the current situation.,เขาไม่พอใจกับสภาพปัจจุบันมาก
现金,这家店只收现金。,This shop only accepts cash.,ร้านนี้รับแต่เงินสด
玻璃,小心别打碎玻璃。,Be careful not to break the glass.,ระวังอย่าทำกระจกแตก
珍珠,她戴着一串珍珠项链。,She wore a pearl necklace.,เธอสวมสร้อยคอไข่มุก
班长,她当上了班长。,She became the class monitor.,เธอได้เป็นหัวหน้าห้อง
球场,孩子们在球场上踢球。,The children are playing football on the field.,เด็กๆ เตะบอลอยู่ในสนาม
球迷,他是资深球迷。,He is a diehard fan.,เขาเป็นแฟนบอลตัวยง
球队,我们的球队赢了比赛。,Our team won the match.,ทีมของเราชนะการแข่งขัน
理性,遇事要保持理性。,One should stay rational when facing problems.,เวลาเจอปัญหาต้องมีเหตุผล
理所当然,他觉得这是理所当然的。,He thinks this is only natural.,เขารู้สึกว่านี่เป็นเรื่องธรรมดาที่ควรจะเป็นอยู่แล้ว
理智,遇事要保持理智。,One should stay rational when facing problems.,เวลาเจอปัญหาต้องรักษาสติ
理睬,他没有理睬我。,He didn't pay any attention to me.,เขาไม่สนใจฉันเลย
琴,她每天练习弹琴。,She practices playing the instrument every day.,เธอฝึกเล่นเครื่องดนตรีทุกวัน
瓷器,这些瓷器很珍贵。,This porcelain is very precious.,เครื่องกระเบื้องเหล่านี้มีค่ามาก
甜美,她的笑容十分甜美。,Her smile is very sweet.,รอยยิ้มของเธอหวานมาก
甜蜜,他们过着甜蜜的生活。,They live a sweet life.,พวกเขาใช้ชีวิตอย่างหวานชื่น
生动,老师讲课非常生动。,The teacher's lectures are very vivid.,คุณครูสอนได้มีชีวิตชีวามาก
生态,我们要保护生态环境。,We must protect the ecological environment.,เราต้องปกป้องสภาพแวดล้อมทางระบบนิเวศ
生怕,她生怕迟到了。,She was afraid of being late.,เธอกลัวเหลือเกินว่าจะไปสาย
生成,系统自动生成报告。,The system automatically generates the report.,ระบบสร้างรายงานขึ้นมาโดยอัตโนมัติ
生机,春天充满了生机。,Spring is full of vitality.,ฤดูใบไม้ผลิเต็มไปด้วยชีวิตชีวา
生硬,他的态度显得很生硬。,His attitude seemed very stiff.,ท่าทีของเขาดูแข็งกระด้างมาก
生育,她计划明年生育。,She plans to have a baby next year.,เธอวางแผนจะมีลูกปีหน้า
用不着,你用不着担心。,You don't need to worry.,เธอไม่จำเป็นต้องกังวลหรอก
用人,公司用人非常谨慎。,The company is very careful about hiring people.,บริษัทระมัดระวังมากในการรับคนเข้าทำงาน
用处,这个工具很有用处。,This tool is very useful.,เครื่องมือนี้มีประโยชน์มาก
用得着,这些工具以后用得着。,These tools will be useful later.,เครื่องมือพวกนี้ไว้ใช้ประโยชน์ได้ในภายหลัง
用心,他做事一向很用心。,He always does things attentively.,เขาทำอะไรตั้งใจใส่ใจเสมอ
用意,我明白你的用意。,I understand your intention.,ฉันเข้าใจเจตนาของเธอ
用户,这个软件有很多用户。,This software has many users.,ซอฟต์แวร์นี้มีผู้ใช้เยอะมาก
用法,请说明这个词的用法。,Please explain the usage of this word.,กรุณาอธิบายวิธีใช้ของคำนี้
用餐,请大家准时用餐。,Please everyone eat on time.,ขอให้ทุกคนรับประทานอาหารให้ตรงเวลา
甩,他生气地甩上了门。,He angrily slammed the door.,เขากระแทกประตูปิดอย่างโกรธเกรี้ยว
田径,他擅长田径运动。,He excels at track and field.,เขาเก่งกีฬากรีฑา
由此可见,由此可见他非常努力。,"From this, it's clear he works very hard.",จากตรงนี้จะเห็นได้ว่าเขาขยันมาก
甲,他在考试中获得甲等。,He received a grade A on the exam.,เขาได้เกรดเอในการสอบ
电台,他在电台工作多年。,He has worked at the radio station for years.,เขาทำงานที่สถานีวิทยุมาหลายปี
电视剧,她喜欢看电视剧。,She likes watching TV dramas.,เธอชอบดูละครโทรทัศน์
电视台,他在电视台工作。,He works at a TV station.,เขาทำงานที่สถานีโทรทัศน์
电视机,客厅里放着一台电视机。,A television set sits in the living room.,ในห้องนั่งเล่นมีโทรทัศน์วางอยู่หนึ่งเครื่อง
男士,这件外套是为男士设计的。,This jacket is designed for men.,เสื้อโค้ตตัวนี้ออกแบบมาสำหรับผู้ชาย
男生,班上有十个男生。,There are ten boys in the class.,ในห้องมีเด็กผู้ชายสิบคน
畅销,这本书非常畅销。,This book sells extremely well.,หนังสือเล่มนี้ขายดีมาก
界限,两国划定了界限。,The two countries set a boundary.,สองประเทศกำหนดเส้นแบ่งเขตแดน
留恋,我很留恋这里的生活。,I am reluctant to leave the life here.,ฉันอาลัยอาวรณ์ชีวิตที่นี่มาก
留言,他在本子上留言。,He left a message in the notebook.,เขาเขียนข้อความทิ้งไว้ในสมุด
略,味道略有些咸。,The taste is slightly salty.,รสชาติเค็มไปนิดหน่อย
略微,这个价格略微贵了点。,This price is a bit expensive.,ราคานี้แพงไปนิดหน่อย
番,他费了一番功夫。,He put in quite an effort.,เขาลงแรงไปไม่น้อย
番茄,妈妈买了几个新鲜番茄。,Mom bought a few fresh tomatoes.,แม่ซื้อมะเขือเทศสดมาสองสามลูก
疑惑,他脸上露出疑惑的表情。,A puzzled expression appeared on his face.,บนใบหน้าของเขาปรากฏสีหน้าฉงนสงสัย
疑问,这件事还有很多疑问。,There are still many doubts about this matter.,เรื่องนี้ยังมีข้อสงสัยอีกมาก
疗效,这种药疗效很好。,This medicine is very effective.,ยาชนิดนี้ได้ผลในการรักษาดีมาก
疯,他因为压力大快疯了。,He's almost going crazy from the pressure.,เขาเกือบจะบ้าเพราะเครียดมาก
疯狂,他疯狂地爱上了她。,He fell madly in love with her.,เขาตกหลุมรักเธออย่างบ้าคลั่ง
疲倦,长途旅行让他很疲倦。,The long journey left him exhausted.,การเดินทางไกลทำให้เขาเหนื่อยล้ามาก
