orig_row,hanzi,sentence,en,th
254,喝酒,他不喜欢喝酒。,He doesn't like to drink alcohol.,เขาไม่ชอบดื่มเหล้า
255,喝咖啡,我早上喜欢喝咖啡。,I like to drink coffee in the morning.,ฉันชอบดื่มกาแฟตอนเช้า
275,红茶,我喜欢喝红茶。,I like drinking black tea.,ฉันชอบดื่มชาแดง
281,花茶,我喜欢喝花茶。,I like to drink scented tea.,ฉันชอบดื่มชาดอกไม้
294,回国,他明年回国。,He is returning to his home country next year.,ปีหน้าเขาจะกลับประเทศ
296,会上,老师在会上讲话。,The teacher spoke at the meeting.,ครูพูดในที่ประชุม
301,或者,你可以喝茶或者喝咖啡。,You can drink tea or coffee.,คุณจะดื่มชาหรือดื่มกาแฟก็ได้
316,记错,我记错时间了。,I got the time wrong.,ฉันจำเวลาผิด
333,教,他信什么教？,What religion does he believe in?,เขานับถือศาสนาอะไร
364,就是,这就是我要的答案。,This is exactly the answer I want.,นี่แหละคือคำตอบที่ฉันต้องการ
370,开班,学校开班教汉语。,The school started a class to teach Chinese.,โรงเรียนเปิดชั้นเรียนสอนภาษาจีน
382,看清楚,请你看清楚地图。,Please look at the map clearly.,กรุณาดูแผนที่ให้ชัดเจน
386,看一看,让我看一看。,Let me have a look.,ให้ฉันดูหน่อยสิ
396,快点儿,你快点儿走。,Hurry up and go.,คุณรีบไปเร็วๆ หน่อย
407,老李,老李是我的邻居。,Old Li is my neighbor.,เหลาหลี่เป็นเพื่อนบ้านของฉัน
414,累坏,今天真是累坏了。,I'm really exhausted today.,วันนี้เหนื่อยมากจริงๆ
436,两只,她养了两只猫。,She keeps two cats.,เธอเลี้ยงแมวสองตัว
438,辆,他买了一辆车。,He bought a car.,เขาซื้อรถมาหนึ่งคัน
452,妈,妈，我回来了。,"Mom, I'm home.",แม่ ฉันกลับมาแล้ว
478,米,这张桌子长两米。,This table is two meters long.,โต๊ะตัวนี้ยาวสองเมตร
494,那么,天气怎么那么冷？,Why is the weather so cold?,ทำไมอากาศถึงหนาวขนาดนั้น?
504,南京,我去过南京。,I have been to Nanjing.,ฉันเคยไปหนานจิงมาแล้ว
509,你好,他对我说你好。,He said hello to me.,เขาทักทายฉันว่าสวัสดี
514,年轻人,很多年轻人喜欢跑步。,Many young people like running.,คนหนุ่มสาวหลายคนชอบวิ่งออกกำลังกาย
516,您好,您好，请问怎么走？,"Hello, excuse me, how do I get there?",สวัสดี ขอถามหน่อยไปทางไหน?
518,爬,他喜欢爬山。,He likes climbing mountains.,เขาชอบปีนเขา
519,爬山,周末我们去爬山。,We're going hiking this weekend.,สุดสัปดาห์นี้เราจะไปปีนเขา
530,瓶,桌上有一瓶水。,There's a bottle of water on the table.,บนโต๊ะมีน้ำอยู่หนึ่งขวด
542,起飞,飞机马上要起飞了。,The plane is about to take off.,เครื่องบินกำลังจะขึ้นบินแล้ว
546,前来,他前来看我们。,He came to see us.,เขามาเยี่ยมเรา
548,前年,我前年去过中国。,I went to China the year before last.,ฉันเคยไปจีนเมื่อสองปีก่อน
557,热茶,冬天喝热茶很舒服。,Drinking hot tea in winter feels great.,ดื่มชาร้อนในหน้าหนาวสบายมาก
558,热情,服务员对客人很热情。,The waiter is very warm to guests.,พนักงานเสิร์ฟเป็นกันเองกับลูกค้ามาก
560,认,我认识他很多年了。,I've known him for many years.,ฉันรู้จักเขามาหลายปีแล้ว
567,如果,如果下雨我们就不去。,"If it rains, we won't go.",ถ้าฝนตกเราจะไม่ไป
582,上网,我每天上网学习。,I go online to study every day.,ฉันเข้าอินเทอร์เน็ตเรียนหนังสือทุกวัน
583,上下,他五十岁上下。,He is about fifty years old.,เขาอายุประมาณห้าสิบปี
609,树,门前有一棵大树。,There is a big tree in front of the door.,หน้าประตูมีต้นไม้ใหญ่อยู่ต้นหนึ่ง
611,数学,我的数学成绩不错。,My math grades are pretty good.,คะแนนคณิตศาสตร์ของฉันค่อนข้างดี
620,司机,我爸爸是司机。,My dad is a driver.,พ่อของฉันเป็นคนขับรถ
626,她家,她家离学校很近。,Her home is close to school.,บ้านเธออยู่ใกล้โรงเรียนมาก
635,糖,孩子喜欢吃糖。,Children like eating sweets.,เด็กๆ ชอบกินขนมหวาน
636,特,这个礼物很特别。,This gift is very special.,ของขวัญชิ้นนี้พิเศษมาก
637,特别,这道菜特别好吃。,This dish is especially delicious.,อาหารจานนี้อร่อยเป็นพิเศษ
664,碗筷,妈妈在洗碗筷。,Mom is washing the bowls and chopsticks.,แม่กำลังล้างชามและตะเกียบ
667,王经理,王经理在开会。,Manager Wang is in a meeting.,ผู้จัดการหวังกำลังประชุมอยู่
668,王小姐,王小姐是我朋友。,Miss Wang is my friend.,คุณหวังเป็นเพื่อนของฉัน
677,文化,我喜欢中国文化。,I like Chinese culture.,ฉันชอบวัฒนธรรมจีน
684,西,太阳从西边落下。,The sun sets in the west.,พระอาทิตย์ตกทางทิศตะวันตก
706,鲜花,他送了我一束鲜花。,He gave me a bouquet of fresh flowers.,เขามอบดอกไม้สดให้ฉันหนึ่งช่อ
708,相机,他的相机很贵。,His camera is very expensive.,กล้องของเขาราคาแพงมาก
710,相信,我完全相信你。,I completely believe you.,ฉันเชื่อคุณอย่างเต็มที่
718,向左走,到路口向左走。,Turn left at the intersection.,ถึงทางแยกให้เลี้ยวซ้าย
721,小孩子,小孩子喜欢吃糖。,Children like to eat candy.,เด็กๆ ชอบกินขนมหวาน
722,小河,村子旁边有一条小河。,There's a stream next to the village.,ข้างหมู่บ้านมีลำธารสายเล็กๆ
727,小心,过马路要小心。,Be careful when crossing the road.,ข้ามถนนต้องระวัง
729,小学校长,他是小学校长。,He is an elementary school principal.,เขาเป็นผู้อำนวยการโรงเรียนประถม
749,需,这件事需要时间。,This matter requires time.,เรื่องนี้ต้องใช้เวลา
752,选择,你可以自己选择。,You can choose by yourself.,คุณสามารถเลือกเองได้
760,羊,山上有很多羊。,There are many sheep on the mountain.,บนภูเขามีแกะเยอะมาก
767,一般,他的成绩一般。,His grades are average.,ผลการเรียนของเขาธรรมดาๆ
770,一点,我懂一点汉语。,I know a little Chinese.,ฉันรู้ภาษาจีนอยู่บ้างเล็กน้อย
771,一定,你一定要来。,You must come.,คุณต้องมาให้ได้นะ
774,一分钟,请等一分钟。,Please wait one minute.,กรุณารอสักหนึ่งนาที
780,一件,我买了一件新衣服。,I bought a new piece of clothing.,ฉันซื้อเสื้อผ้าตัวใหม่มาหนึ่งตัว
789,一天,我们玩了一天。,We played for a whole day.,เราเล่นกันทั้งวัน
801,以前,以前这里是公园。,This used to be a park.,เมื่อก่อนที่นี่เป็นสวนสาธารณะ
802,以为,我以为你不来了。,I thought you weren't coming.,ฉันนึกว่าคุณจะไม่มาแล้ว
805,音乐节目,这是一个音乐节目。,This is a music program.,นี่คือรายการดนตรี
807,饮料,你想喝什么饮料？,What drink would you like?,คุณอยากดื่มเครื่องดื่มอะไร?
809,应该,你应该多喝水。,You should drink more water.,คุณควรดื่มน้ำให้มากขึ้น
810,影响,天气影响了我们的计划。,The weather affected our plans.,อากาศมีผลต่อแผนของเรา
817,游泳馆,我们去游泳馆游泳。,We're going to the pool to swim.,เราไปว่ายน้ำที่สระว่ายน้ำ
822,有人,门外好像有人。,It seems there's someone outside.,ดูเหมือนจะมีคนอยู่นอกประตู
824,有时候,我有时候很忙。,Sometimes I'm very busy.,บางครั้งฉันก็ยุ่งมาก
834,越来越,天气越来越冷了。,The weather is getting colder and colder.,อากาศหนาวขึ้นเรื่อยๆ แล้ว
847,站着不动,他站着不动。,He stood still.,เขายืนนิ่งไม่ขยับ
848,长大,孩子们都长大了。,The children have all grown up.,เด็กๆ โตกันหมดแล้ว
856,这段话,这段话很重要。,This passage is very important.,ข้อความนี้สำคัญมาก
880,周,我们一周上五天课。,We have classes five days a week.,เราเรียนห้าวันต่อสัปดาห์
890,总是,他总是迟到。,He is always late.,เขามาสายอยู่เสมอ
892,走动,吃完饭出去走动一下。,Go out and move around a bit after eating.,กินข้าวเสร็จแล้วออกไปเดินเล่นหน่อย
895,最好,你最好早点睡。,You'd better sleep early.,คุณควรนอนแต่หัวค่ำจะดีกว่า
908,坐船去,我们坐船去那个岛。,We went to that island by boat.,เรานั่งเรือไปเกาะนั้น
917,做事,他做事很认真。,He is very conscientious in his work.,เขาทำงานอย่างจริงจัง
931,缺点,每个人都有缺点。,Everyone has faults.,ทุกคนก็มีข้อเสีย
940,尊重,我们应该尊重老师。,We should respect our teachers.,เราควรเคารพครู
942,骄傲,妈妈为我感到骄傲。,Mom feels proud of me.,แม่รู้สึกภูมิใจในตัวฉัน
970,拿到,我拿到了新护照。,I got my new passport.,ฉันได้หนังสือเดินทางเล่มใหม่มาแล้ว
978,父母,我父母都很健康。,My parents are both healthy.,พ่อแม่ของฉันสุขภาพแข็งแรงดีทั้งคู่
979,复印,请帮我复印文件。,Please help me photocopy the document.,ช่วยถ่ายเอกสารให้ฉันหน่อย
980,耐心,老师对学生很耐心。,The teacher is very patient with the students.,คุณครูใจเย็นกับนักเรียนมาก
990,看法,你对这件事有什么看法？,What's your view on this matter?,คุณมีความคิดเห็นยังไงกับเรื่องนี้?
991,通过,他通过了考试。,He passed the exam.,เขาสอบผ่านแล้ว
995,乒乓球,我喜欢打乒乓球。,I like playing table tennis.,ฉันชอบเล่นปิงปอง
996,打乒乓球,他每天打乒乓球。,He plays table tennis every day.,เขาเล่นปิงปองทุกวัน
1007,警察,警察正在抓小偷。,The police are catching a thief.,ตำรวจกำลังจับขโมย
1012,情况,现在的情况很复杂。,The current situation is very complicated.,สถานการณ์ตอนนี้ซับซ้อนมาก
1017,感情,他们之间的感情很深。,Their feelings for each other run deep.,ความผูกพันระหว่างพวกเขาลึกซึ้งมาก
1023,电视广告,这个电视广告很有意思。,This TV commercial is quite interesting.,โฆษณาทีวีอันนี้น่าสนใจมาก
1050,主动,他主动帮我拿行李。,He took the initiative to help me carry the luggage.,เขาเสนอตัวช่วยฉันถือกระเป๋าเอง
1068,值,这本书值一百块。,This book is worth a hundred yuan.,หนังสือเล่มนี้มีค่าตั้งร้อยหยวน
1078,心情,今天我的心情很好。,My mood is very good today.,วันนี้อารมณ์ฉันดีมาก
1082,得意,他考了第一名很得意。,He got first place and is very pleased with himself.,เขาสอบได้ที่หนึ่งเลยภูมิใจในตัวเองมาก
1099,联系,请常常和我联系。,Please keep in touch with me often.,ติดต่อฉันบ่อยๆ นะ
1105,想法,我的想法和你不一样。,My way of thinking is different from yours.,ความคิดของฉันไม่เหมือนกับคุณ
1107,免费,这里的水是免费的。,The water here is free.,น้ำที่นี่ฟรี
1113,气候,这里气候很温暖。,The climate here is very warm.,ภูมิอากาศที่นี่อบอุ่นมาก
1115,受到,他受到大家的欢迎。,He is welcomed by everyone.,เขาเป็นที่ต้อนรับของทุกคน
1119,不够,这些钱不够买车票。,This money isn't enough to buy a train ticket.,เงินเท่านี้ไม่พอซื้อตั๋วรถ
1121,因此,他病了，因此没去上班。,"He was sick, so he didn't go to work.",เขาป่วย เลยไม่ได้ไปทำงาน
1125,专业,我的专业是经济学。,My major is economics.,วิชาเอกของฉันคือเศรษฐศาสตร์
1132,购物,周末我们一起去购物。,Let's go shopping together this weekend.,สุดสัปดาห์นี้เราไปซื้อของกันเถอะ
1146,感谢,非常感谢你的帮助。,Thank you very much for your help.,ขอบคุณมากสำหรับความช่วยเหลือของคุณ
1161,出差,他这个月要去北京出差。,He has to go to Beijing on a business trip this month.,เดือนนี้เขาต้องเดินทางไปทำงานที่ปักกิ่ง
1165,数量,这里苹果的数量很多。,The quantity of apples here is large.,จำนวนแอปเปิลที่นี่มีเยอะมาก
1166,暂时,这个问题暂时不能解决。,This problem can't be solved for now.,ตอนนี้ปัญหานี้ยังแก้ไม่ได้
1168,继续,请大家继续努力工作。,Please everyone continue working hard.,ขอให้ทุกคนตั้งใจทำงานต่อไป
1170,价格,这件衣服的价格不贵。,The price of this piece of clothing isn't expensive.,ราคาของเสื้อตัวนี้ไม่แพง
1177,怀疑,我怀疑他说的是假话。,I suspect what he said is a lie.,ฉันสงสัยว่าสิ่งที่เขาพูดเป็นเรื่องโกหก
1179,按照,请按照要求填写表格。,Please fill out the form according to the requirements.,กรุณากรอกแบบฟอร์มตามข้อกำหนด
1218,所有,所有学生都到了。,All the students have arrived.,นักเรียนทุกคนมาถึงแล้ว
1230,原来,这是他原来的房子。,This is his original house.,นี่คือบ้านเดิมของเขา
1241,西红柿,妈妈买了西红柿。,Mom bought tomatoes.,แม่ซื้อมะเขือเทศ
1247,消息,我听到一个好消息。,I heard a piece of good news.,ฉันได้ยินข่าวดีมาอันหนึ่ง
1262,样子,他看起来很累的样子。,He looks like he's very tired.,เขาดูท่าทางเหนื่อยมาก
1277,受,他受了很多苦。,He has endured a lot of suffering.,เขาทนทุกข์มามาก
1286,安排,老师安排了作业。,The teacher assigned homework.,ครูมอบหมายการบ้านให้เรา
1295,网站,这个网站的信息很多。,This website has a lot of information.,เว็บไซต์นี้มีข้อมูลเยอะมาก
1310,著名,他是一位著名的医生。,He is a famous doctor.,เขาเป็นหมอที่มีชื่อเสียง
1313,厚,这本书很厚，要看很久。,"This book is very thick, it'll take a long time to read.",หนังสือเล่มนี้หนามาก ต้องใช้เวลาอ่านนาน
1320,选,你可以选一个颜色。,You can choose a color.,คุณเลือกสีได้หนึ่งสี
1325,保证,我保证按时完成作业。,I guarantee I'll finish the homework on time.,ฉันรับรองว่าจะทำการบ้านเสร็จตรงเวลา
1326,写日记,她每天晚上写日记。,She writes in her diary every evening.,เธอเขียนไดอารี่ทุกคืน
1336,特点,这个城市有很多特点。,This city has many characteristics.,เมืองนี้มีจุดเด่นหลายอย่าง
1338,研究生,我姐姐是研究生。,My sister is a graduate student.,พี่สาวฉันเป็นนักศึกษาปริญญาโท
1339,究竟,你究竟想说什么？,What exactly do you want to say?,ตกลงเธอจะพูดอะไรกันแน่
1366,一名,他是一名医生。,He is a doctor.,เขาเป็นหมอคนหนึ่ง
1368,主意,这是个好主意。,This is a good idea.,นี่เป็นความคิดที่ดี
1371,加,三加五等于八。,Three plus five equals eight.,สามบวกห้าเท่ากับแปด
1374,吵,他们俩又吵起来了。,The two of them started quarreling again.,สองคนนั้นทะเลาะกันอีกแล้ว
1375,孙子,爷爷很爱他的孙子。,Grandpa loves his grandson very much.,ปู่รักหลานชายมาก
1376,对面,他坐在我的对面。,He sits across from me.,เขานั่งตรงข้ามฉัน
1379,恐怕,恐怕明天会下雨。,I'm afraid it will rain tomorrow.,เกรงว่าพรุ่งนี้ฝนจะตก
1384,羽毛球,他每天打羽毛球。,He plays badminton every day.,เขาเล่นแบดมินตันทุกวัน
1392,旅行,我们打算去旅行。,We plan to go traveling.,เราวางแผนจะไปเที่ยว
1399,喜爱,大家都喜爱这首歌。,Everyone loves this song.,ทุกคนชอบเพลงนี้
1400,金钱,金钱不能买到幸福。,Money can't buy happiness.,เงินซื้อความสุขไม่ได้
1401,高速公路,我们开车走高速公路。,We drove on the expressway.,เราขับรถไปทางด่วน
1404,专门,这是专门为孩子设计的。,This is specially designed for children.,อันนี้ออกแบบมาเพื่อเด็กโดยเฉพาะ
1407,判断,你要自己判断对错。,You need to judge right from wrong yourself.,เธอต้องตัดสินถูกผิดด้วยตัวเอง
1408,判断力,他的判断力很强。,His judgment is very strong.,เขามีวิจารณญาณดีมาก
1412,同情心,她很有同情心。,She has a lot of compassion.,เธอเป็นคนมีความเห็นอกเห็นใจมาก
1414,成,这件事一定能成。,This matter will definitely work out.,เรื่องนี้ต้องสำเร็จแน่นอน
1419,极其,这道题极其简单。,This problem is extremely simple.,ข้อนี้ง่ายมากๆ เลย
1422,稍微,请稍微等一下。,Please wait just a little bit.,ช่วยรอสักครู่นะ
1428,躺,他躺在床上休息。,He lay on the bed to rest.,เขานอนพักอยู่บนเตียง
1436,出汗,跑步后他出汗了。,He sweated after running.,หลังวิ่งเสร็จเขาเหงื่อออก
1443,浪费时间,别浪费时间了。,Stop wasting time.,อย่าเสียเวลาเลย
1459,车族,越来越多的人加入车族。,More and more people are joining the car-owning group.,มีคนเข้าร่วมกลุ่มคนมีรถมากขึ้นเรื่อยๆ
1463,五份,请复印五份。,Please make five copies.,ช่วยถ่ายเอกสารห้าชุด
1472,别着急,遇到问题别着急。,Don't worry when you run into a problem.,เจอปัญหาก็อย่าเพิ่งร้อนใจ
1486,深,这条河很深。,This river is very deep.,แม่น้ำสายนี้ลึกมาก
1490,行,他行遍了中国。,He has traveled all over China.,เขาเดินทางไปทั่วประเทศจีน
1507,聚会,今晚有一个聚会。,There's a party tonight.,คืนนี้มีงานปาร์ตี้
1508,自备,请大家自备雨伞。,Please bring your own umbrella.,ขอให้ทุกคนเตรียมร่มมาเอง
1511,不可,这件事不可拖延。,This matter cannot be delayed.,เรื่องนี้จะเลื่อนออกไปไม่ได้
1515,按,请按这个按钮。,Please press this button.,ช่วยกดปุ่มนี้หน่อย
1519,责任感,他很有责任感。,He has a strong sense of responsibility.,เขาเป็นคนมีความรับผิดชอบสูง
1520,购物袋,请自带购物袋。,Please bring your own shopping bag.,ช่วยเอาถุงช้อปปิ้งมาเองนะ
1535,冷静下来,请大家冷静下来。,Please everyone calm down.,ทุกคนใจเย็นๆ ก่อนนะ
1537,半小时,我等了半小时。,I waited for half an hour.,ฉันรอมาครึ่งชั่วโมงแล้ว
1540,各位,各位请注意安全。,Everyone please pay attention to safety.,ทุกท่านระวังความปลอดภัยด้วย
1541,垃圾桶,垃圾桶在门口。,The trash can is by the door.,ถังขยะอยู่ตรงประตู
1544,天黑,"天黑了,快回家。","It's getting dark, hurry home.",ฟ้ามืดแล้ว รีบกลับบ้านเถอะ
1545,姓名,请写下你的姓名。,Please write down your full name.,ช่วยเขียนชื่อ-นามสกุลของเธอด้วย
1559,笔记,我上课认真做笔记。,I take notes carefully in class.,ฉันตั้งใจจดโน้ตตอนเรียน
1562,篇文章,他写了一篇文章。,He wrote an article.,เขาเขียนบทความมาหนึ่งชิ้น
1565,考虑一下,这个问题我要考虑一下。,I need to think this problem over.,เรื่องนี้ฉันขอคิดดูก่อน
1569,责任,这是我的责任。,This is my responsibility.,นี่คือความรับผิดชอบของฉัน
1579,假,这是一个假消息。,This is a fake piece of news.,นี่คือข่าวปลอม
1582,功夫,他的功夫非常厉害。,His skill is extremely impressive.,กังฟูของเขาเก่งมาก
1591,有效,这个方法很有效。,This method is very effective.,วิธีนี้ได้ผลดีมาก
1601,十几岁,她今年十几岁。,She is in her teens this year.,ปีนี้เธออายุสิบกว่าขวบ
1615,一般来说,一般来说，他很准时。,"Generally speaking, he is very punctual.",โดยทั่วไปแล้ว เขาตรงเวลามาก
1633,关注,大家都很关注这件事。,Everyone is paying close attention to this matter.,ทุกคนให้ความสนใจกับเรื่องนี้มาก
1644,台,他买了一台电脑。,He bought a computer.,เขาซื้อคอมพิวเตอร์มาหนึ่งเครื่อง
1653,大雨,外面下着大雨。,It's raining heavily outside.,ข้างนอกฝนตกหนัก
1664,度,我们在海边度周末。,We're spending the weekend at the beach.,เราไปใช้เวลาสุดสัปดาห์ที่ชายทะเล
1666,很穷,他家以前很穷。,His family used to be very poor.,เมื่อก่อนบ้านเขาจนมาก
1672,感,他深有所感。,He felt deeply moved.,เขารู้สึกซาบซึ้งใจอย่างลึกซึ้ง
1679,擦破,他擦破了手臂。,He scraped open his arm.,เขาทำแขนถลอก
1687,昨晚,昨晚我没睡好。,I didn't sleep well last night.,เมื่อคืนฉันนอนไม่ค่อยหลับ
1697,生活态度,他的生活态度很好。,His attitude toward life is very good.,ทัศนคติต่อชีวิตของเขาดีมาก
1704,短信,他给我发了短信。,He sent me a text message.,เขาส่งข้อความมาหาฉัน
1720,这方面,这方面我不太懂。,I don't know much about this.,ด้านนี้ฉันไม่ค่อยเข้าใจ
1721,进食,病人开始进食了。,The patient has started eating again.,คนไข้เริ่มกินอาหารได้แล้ว
1726,餐厅,我们在餐厅吃饭。,We are eating in the dining hall.,เรากินข้าวกันในร้านอาหาร
1730,一趟,我去了一趟超市。,I made a trip to the supermarket.,ฉันไปซูเปอร์มาร์เก็ตมารอบหนึ่ง
1742,无价,友谊是无价的财富。,Friendship is a priceless treasure.,มิตรภาพเป็นสมบัติที่ประเมินค่าไม่ได้
1748,电子信箱,请发到我的电子信箱。,Please send it to my email inbox.,ส่งมาที่กล่องอีเมลของฉันหน่อย
1760,南北,这条路贯通南北。,This road runs from north to south.,ถนนเส้นนี้เชื่อมเหนือจรดใต้
1761,及时雨,这场及时雨救了庄稼。,This timely rain saved the crops.,ฝนที่ตกมาถูกเวลานี้ช่วยพืชผลไว้ได้
1776,一段,我们认识一段时间了。,We've known each other for a period of time.,เรารู้จักกันมาระยะหนึ่งแล้ว
1795,今天上午,今天上午我去医院了。,I went to the hospital this morning.,เช้านี้ฉันไปโรงพยาบาลมา
1808,儿童节,儿童节孩子们很开心。,The children are very happy on Children's Day.,วันเด็กเด็กๆ มีความสุขกันมาก
1817,几份,请复印几份文件。,Please copy a few documents.,ช่วยถ่ายเอกสารสักสองสามชุดหน่อย
1819,刀子,用刀子切苹果。,Cut the apple with a knife.,ใช้มีดหั่นแอปเปิล
1823,剩下,剩下的钱不多了。,There isn't much money left.,เงินที่เหลือไม่มากแล้ว
1825,功,他为国家立了功。,He achieved merit for the country.,เขาสร้างคุณงามความดีให้ประเทศชาติ
1832,原,这依然是原计划。,This is still the original plan.,นี่ยังเป็นแผนเดิมอยู่
1839,另,这是另一个问题。,This is another problem.,นี่เป็นอีกปัญหาหนึ่ง
1841,吃晚饭,我们一起吃晚饭。,We eat dinner together.,เรากินข้าวเย็นด้วยกัน
1857,多个,他去过多个国家。,He has been to many countries.,เขาไปมาหลายประเทศแล้ว
1858,多场,他参加了多场比赛。,He took part in many matches.,เขาเข้าร่วมการแข่งขันมาหลายนัด
1866,大量,他喝了大量的水。,He drank a large amount of water.,เขาดื่มน้ำไปเป็นจำนวนมาก
1867,天晴,雨后天晴了。,The sky cleared up after the rain.,หลังฝนหยุด ท้องฟ้าก็แจ่มใส
1874,好书,这是一本好书。,This is a good book.,นี่เป็นหนังสือดีเล่มหนึ่ง
1891,弄乱,他把房间弄乱了。,He messed up the room.,เขาทำห้องรกไปหมด
1892,弄错,他把名字弄错了。,He got the name wrong.,เขาจำชื่อผิด
1909,放下,请把手机放下吧。,Please put down your phone.,วางมือถือลงเถอะ
1924,死去,他的爷爷去年死去了。,His grandfather died last year.,ปู่ของเขาเสียชีวิตเมื่อปีที่แล้ว
1943,爱好音乐,我从小就爱好音乐。,I've been fond of music since childhood.,ฉันชอบดนตรีมาตั้งแต่เด็ก
1948,瓶子,桌子上有一个瓶子。,There's a bottle on the table.,บนโต๊ะมีขวดใบหนึ่ง
1961,租,我想租一套房子。,I want to rent an apartment.,ฉันอยากเช่าบ้านสักหลัง
1963,租房,在北京租房很贵。,Renting an apartment in Beijing is expensive.,เช่าบ้านที่ปักกิ่งแพงมาก
1967,穷人的孩子早当家,穷人的孩子早当家。,Children of poor families take on responsibility early.,เด็กบ้านจนต้องรับผิดชอบครอบครัวตั้งแต่เล็ก
1986,认清,我们要认清事实。,We need to clearly recognize the facts.,เราต้องเข้าใจความจริงให้ชัดเจน
2002,逛逛,我们去商店逛逛。,Let's go take a stroll around the store.,เราไปเดินเล่นในร้านกัน
2009,重新认识,这件事让他重新认识自己。,This matter made him understand himself anew.,เรื่องนี้ทำให้เขากลับมารู้จักตัวเองใหม่
2024,饮用,这水可以直接饮用。,This water can be drunk directly.,น้ำนี้ดื่มได้เลย
2028,一眼,我看了他一眼。,I glanced at him.,ฉันมองเขาแวบหนึ่ง
2037,减,医生让他减一点体重。,The doctor told him to lose a little weight.,หมอให้เขาลดน้ำหนักลงหน่อย
2041,场,昨晚下了一场雨。,It rained last night.,เมื่อคืนฝนตกลงมาห่าหนึ่ง
2046,学到老,他一直坚持学到老。,"He has always kept learning, even into old age.",เขาเรียนรู้ไปเรื่อยๆ จนแก่
2054,感冒药,我去药店买感冒药。,I'm going to the pharmacy to buy cold medicine.,ฉันไปร้านขายยาซื้อยาแก้หวัด
2055,手机号码,请告诉我你的手机号码。,Please tell me your mobile phone number.,ช่วยบอกเบอร์มือถือของเธอหน่อย
2058,教学,他从事教学工作。,He works in teaching.,เขาทำงานด้านการสอน
2061,无声电影,爷爷喜欢看无声电影。,Grandpa likes watching silent movies.,ปู่ชอบดูหนังเงียบ
2070,生命力,这棵树很有生命力。,This tree is full of vitality.,ต้นไม้ต้นนี้มีพลังชีวิตสูงมาก
2071,画面,电影的画面很美。,The scenes in the movie are beautiful.,ภาพในหนังสวยมาก
2084,风雨,他们一起经历风雨。,They went through hard times together.,พวกเขาฟันฝ่าลมฝนมาด้วยกัน
2089,人类,人类需要保护环境。,Humanity needs to protect the environment.,มนุษย์จำเป็นต้องปกป้องสิ่งแวดล้อม
2099,食物,冰箱里有很多食物。,There is a lot of food in the fridge.,ในตู้เย็นมีอาหารเยอะมาก
