hanzi,sentence,en
人才,公司需要更多人才。,The company needs more talented people.
体内,体内缺水会口渴。,Lack of water in the body causes thirst.
即,五月一日即劳动节。,May 1st is Labor Day.
心灵,她心灵手巧。,She is clever and dexterous.
性,安全性非常重要。,Safety is very important.
生物,病毒也是一种生物。,A virus is also a kind of organism.
疾病,疾病影响人的健康。,Disease affects people's health.
含,牛奶含有丰富的钙。,Milk contains abundant calcium.
已有,这个城市已有百年历史。,This city already has a hundred years of history.
幅,墙上挂着一幅画。,A painting hangs on the wall.
分子,知识分子应该多读书。,Intellectuals should read more.
女性,越来越多女性开始工作。,More and more women are starting to work.
支撑,这根柱子支撑着屋顶。,This pillar supports the roof.
样,这个样子很奇怪。,This appearance is very strange.
物,万物都在变化。,All things are changing.
连续,他连续三天没睡觉。,He hasn't slept for three days in a row.
园,我们在公园散步。,We take a walk in the park.
报,请把情况报给经理。,Please report the situation to the manager.
水库,这座水库能蓄很多水。,This reservoir can store a lot of water.
激素,压力会影响激素水平。,Stress affects hormone levels.
猎物,老虎正在寻找猎物。,The tiger is looking for prey.
白领,他是一名白领上班族。,He is a white-collar office worker.
转动,风扇正在慢慢转动。,The fan is slowly turning.
狼群,狼群在森林里出没。,The wolf pack roams in the forest.
大千,大千世界真奇妙。,The vast world is truly wonderful.
太空,宇航员在太空工作。,Astronauts work in outer space.
建,政府计划建一座桥。,The government plans to build a bridge.
题材,这部电影题材新颖。,This movie's subject matter is original.
本身,问题本身并不复杂。,The problem itself is not complicated.
长期,他长期在国外工作。,He has worked abroad long-term.
供,农场供应新鲜蔬菜。,The farm supplies fresh vegetables.
因素,天气是重要因素。,Weather is an important factor.
水中,鱼儿在水中游动。,The fish swims in the water.
神奇,这个魔术真神奇。,This magic trick is truly magical.
自由,每个人都渴望自由。,Everyone longs for freedom.
仍,他仍然爱着她。,He still loves her.
发出,警报突然发出声音。,The alarm suddenly emitted a sound.
采用,工厂采用新技术。,The factory adopted new technology.
大都,学生大都按时到校。,Students mostly arrive at school on time.
患者,医生正在治疗患者。,The doctor is treating the patient.
打破,他打破了世界纪录。,He broke the world record.
曲,这条路弯弯曲曲。,This road is winding and curvy.
生意,他的生意越做越好。,His business is getting better and better.
男人,那个男人很高。,That man is very tall.
