hanzi,sentence,en,th
脸色,你今天脸色不好。,You don't look well today.,วันนี้สีหน้าคุณดูไม่ดีเลย
练,我每天练汉字。,I practice Chinese characters every day.,ฉันฝึกเขียนตัวอักษรจีนทุกวัน
练习,我每天练习汉语。,I practice Chinese every day.,ฉันฝึกภาษาจีนทุกวัน
练习题,老师给了很多练习题。,The teacher gave a lot of practice questions.,ครูให้แบบฝึกหัดมาเยอะมาก
两包,他买了两包烟。,He bought two packs of cigarettes.,เขาซื้อบุหรี่มาสองซอง
两边,路的两边都是树。,There are trees on both sides of the road.,สองข้างถนนเต็มไปด้วยต้นไม้
两层,这座房子有两层。,This house has two floors.,บ้านหลังนี้มีสองชั้น
两点,现在是两点。,It's two o'clock now.,ตอนนี้สองโมงแล้ว
两个,我要两个苹果。,I want two apples.,ฉันต้องการแอปเปิลสองลูก
两辆车,他家有两辆车。,His family has two cars.,บ้านเขามีรถสองคัน
两年,他学了两年英语。,He studied English for two years.,เขาเรียนภาษาอังกฤษมาสองปี
两三,我有两三个朋友。,I have two or three friends.,ฉันมีเพื่อนสองสามคน
两天,我休息了两天。,I rested for two days.,ฉันพักผ่อนไปสองวัน
两万人,这座城市有两万人。,This city has twenty thousand people.,เมืองนี้มีประชากรสองหมื่นคน
两只,她养了两只猫。,She keeps two cats.,เธอเลี้ยงแมวสองตัว
亮,房间里很亮。,The room is very bright.,ในห้องสว่างมาก
辆,他买了一辆车。,He bought a car.,เขาซื้อรถมาหนึ่งคัน
辆车,他买了一辆车。,He bought a car.,เขาซื้อรถมาหนึ่งคัน
聊聊天,我们聊聊天吧。,Let's chat for a bit.,เรามาคุยกันหน่อยเถอะ
聊天儿,我们喜欢聊天儿。,We like chatting.,เราชอบคุยกัน
邻居,他是我的邻居。,He is my neighbor.,เขาเป็นเพื่อนบ้านของฉัน
零钱,我没有零钱了。,I don't have any small change.,ฉันไม่มีเงินเศษแล้ว
留学,她去美国留学。,She went to study abroad in the US.,เธอไปเรียนต่อที่อเมริกา
留学生,他是一名留学生。,He is an international student.,เขาเป็นนักเรียนต่างชาติ
楼梯,小心楼梯很滑。,"Be careful, the stairs are slippery.",ระวังบันไดลื่นนะ
楼下,他在楼下等你。,He's waiting for you downstairs.,เขารออยู่ชั้นล่าง
绿,树叶是绿色的。,The leaves are green.,ใบไม้เป็นสีเขียว
绿草,公园里有绿草。,There is green grass in the park.,ในสวนสาธารณะมีหญ้าเขียว
绿茶,我每天喝绿茶。,I drink green tea every day.,ฉันดื่มชาเขียวทุกวัน
绿色,我喜欢绿色的衣服。,I like green clothes.,ฉันชอบเสื้อผ้าสีเขียว
妈,妈，我回来了。,"Mom, I'm home.",แม่ครับ ผมกลับมาแล้ว
马,他骑着一匹马。,He is riding a horse.,เขาขี่ม้าอยู่
马上,我马上就到。,I'll be there right away.,ฉันจะไปถึงเดี๋ยวนี้
买车,他打算买车。,He plans to buy a car.,เขาวางแผนจะซื้อรถ
买点儿,我去买点儿水果。,I'm going to buy some fruit.,ฉันจะไปซื้อผลไม้สักหน่อย
买卖,他做买卖多年了。,He has been in business for many years.,เขาทำธุรกิจค้าขายมาหลายปีแล้ว
买票,我们去买票吧。,Let's go buy tickets.,เราไปซื้อตั๋วกันเถอะ
卖房子,他打算卖房子。,He plans to sell his house.,เขาวางแผนจะขายบ้าน
满意,老师对我很满意。,The teacher is very satisfied with me.,ครูพอใจในตัวฉันมาก
慢点儿,你说话慢点儿。,Speak a bit slower.,คุณพูดช้าลงหน่อย
慢慢,请你慢慢说。,Please speak slowly.,กรุณาพูดช้าๆ
慢慢来,别着急，慢慢来。,"Don't rush, take your time.",อย่ารีบร้อน ค่อยๆ ทำ
忙不过来,我最近忙不过来。,I've had more than I can handle lately.,ช่วงนี้ฉันยุ่งจนทำไม่ทัน
帽子,他戴着一顶红帽子。,He is wearing a red hat.,เขาสวมหมวกสีแดง
没人接,电话没人接。,No one answered the phone.,ไม่มีใครรับโทรศัพท์
没什么,没什么好担心的。,There's nothing to worry about.,ไม่มีอะไรต้องกังวล
没事,这真的没事。,This really doesn't matter.,เรื่องนี้ไม่เป็นไรจริงๆ
没想到,我没想到他会来。,I didn't expect him to come.,ฉันไม่คิดว่าเขาจะมา
每次,每次见面都很开心。,I'm happy every time we meet.,ทุกครั้งที่เจอกันมีความสุขเสมอ
每个,每个人都来了。,Everyone came.,ทุกคนมากันหมดแล้ว
每年,我们每年都去旅行。,We travel every year.,เราไปเที่ยวทุกปี
每天,我每天都跑步。,I run every day.,ฉันวิ่งออกกำลังกายทุกวัน
每天晚上,我每天晚上看书。,I read books every evening.,ฉันอ่านหนังสือทุกคืน
门口,他在门口等我。,He is waiting for me at the doorway.,เขารอฉันอยู่ที่ประตู
门票,门票多少钱？,How much is the ticket?,ตั๋วเข้าราคาเท่าไหร่
门前,门前有一棵树。,There's a tree in front of the door.,หน้าประตูมีต้นไม้อยู่ต้นหนึ่ง
米,这张桌子长两米。,This table is two meters long.,โต๊ะตัวนี้ยาวสองเมตร
面包,我早饭吃面包。,I eat bread for breakfast.,ฉันกินขนมปังเป็นอาหารเช้า
面前,老师站在我们面前。,The teacher stands in front of us.,ครูยืนอยู่ตรงหน้าเรา
面试,明天我要去面试。,Tomorrow I have a job interview.,พรุ่งนี้ฉันต้องไปสัมภาษณ์งาน
名单,老师有学生名单。,The teacher has a list of students' names.,ครูมีรายชื่อนักเรียน
名人,他是一位名人。,He is a celebrity.,เขาเป็นคนดัง
明,星星很明亮。,The stars are very bright.,ดวงดาวสว่างไสวมาก
明白,我明白你的意思。,I understand what you mean.,ฉันเข้าใจสิ่งที่คุณหมายถึง
目,她的目光很温柔。,Her gaze is very gentle.,สายตาของเธออ่อนโยนมาก
拿,请帮我拿一下书。,Please help me get the book.,ช่วยหยิบหนังสือให้ฉันหน่อย
拿出,他从包里拿出书。,He took a book out of his bag.,เขาหยิบหนังสือออกมาจากกระเป๋า
拿回去,请把这些拿回去。,Please take these back.,กรุณาเอาสิ่งเหล่านี้กลับไปด้วย
哪些,你喜欢哪些水果？,Which fruits do you like?,คุณชอบผลไม้ชนิดไหนบ้าง
那本书,那本书很有意思。,That book is very interesting.,หนังสือเล่มนั้นน่าสนใจมาก
那件事,那件事我知道了。,I know about that matter.,เรื่องนั้นฉันรู้แล้ว
那里,我们去那里看看。,Let's go take a look there.,เราไปดูที่นั่นกันเถอะ
那么,天气怎么那么冷？,Why is the weather so cold?,ทำไมอากาศถึงหนาวขนาดนั้น
那时,那时我还很小。,I was still very young then.,ตอนนั้นฉันยังเด็กมาก
那双,那双鞋是我的。,That pair of shoes is mine.,รองเท้าคู่นั้นเป็นของฉัน
那天,那天我很高兴。,I was very happy that day.,วันนั้นฉันมีความสุขมาก
那条,那条河很长。,That river is very long.,แม่น้ำสายนั้นยาวมาก
那位,那位老师很好。,That teacher is very good.,ครูท่านนั้นดีมาก
那种,我不喜欢那种颜色。,I don't like that kind of color.,ฉันไม่ชอบสีแบบนั้น
奶奶,奶奶今年七十岁了。,Grandma is seventy years old this year.,ปีนี้คุณยายอายุเจ็ดสิบปีแล้ว
南,他从南边来。,He came from the south.,เขามาจากทางใต้
南方,我家在南方。,My home is in the south.,บ้านฉันอยู่ทางภาคใต้
南京,我去过南京。,I have been to Nanjing.,ฉันเคยไปหนานจิงมาแล้ว
南京旅游,我们去南京旅游。,We went to Nanjing for a trip.,เราไปเที่ยวหนานจิง
难,这个问题很难。,This question is very difficult.,คำถามนี้ยากมาก
难过,听到这个消息她很难过。,She felt very sad when she heard the news.,พอได้ยินข่าวนี้เธอเสียใจมาก
难忘,那是难忘的一天。,That was an unforgettable day.,วันนั้นเป็นวันที่ลืมไม่ลง
你好,他对我说你好。,He said hello to me.,เขาทักทายฉันว่าสวัสดี
你家,你家在哪儿？,Where is your home?,บ้านคุณอยู่ที่ไหน
年级,他是三年级学生。,He is a third-grade student.,เขาเป็นนักเรียนชั้นปีที่สาม
年票,我买了一张年票。,I bought an annual pass.,ฉันซื้อบัตรผ่านรายปีมาหนึ่งใบ
年轻,她看起来很年轻。,She looks very young.,เธอดูอ่อนเยาว์มาก
年轻人,很多年轻人喜欢跑步。,Many young people like running.,คนหนุ่มสาวหลายคนชอบวิ่งออกกำลังกาย
鸟,树上有一只鸟。,There is a bird in the tree.,บนต้นไม้มีนกอยู่ตัวหนึ่ง
您好,您好，请问怎么走？,"Hello, excuse me, how do I get there?",สวัสดีค่ะ ขอถามหน่อยไปทางไหน
努力,他学习很努力。,He studies very hard.,เขาตั้งใจเรียนมาก
爬,他喜欢爬山。,He likes climbing mountains.,เขาชอบปีนเขา
爬山,周末我们去爬山。,We're going hiking this weekend.,สุดสัปดาห์นี้เราจะไปปีนเขา
怕,小孩子怕黑。,The child is afraid of the dark.,เด็กๆ กลัวความมืด
盘子,桌子上有一个盘子。,There is a plate on the table.,บนโต๊ะมีจานอยู่ใบหนึ่ง
胖,他比以前胖了。,He is fatter than before.,เขาอ้วนขึ้นกว่าเมื่อก่อน
跑跑步,我们去跑跑步吧。,Let's go for a run.,เราไปวิ่งออกกำลังกายกันเถอะ
朋友家,我在朋友家吃饭。,I'm eating at my friend's house.,ฉันกินข้าวที่บ้านเพื่อน
皮鞋,他买了新皮鞋。,He bought new leather shoes.,เขาซื้อรองเท้าหนังคู่ใหม่
啤酒,爸爸喜欢喝啤酒。,Dad likes to drink beer.,พ่อชอบดื่มเบียร์
啤酒节,我们去参加啤酒节。,We're going to the Beer Festival.,เราจะไปร่วมงานเทศกาลเบียร์
苹,我想吃一个苹果。,I want to eat an apple.,ฉันอยากกินแอปเปิลสักลูก
苹果汁,他喜欢喝苹果汁。,He likes to drink apple juice.,เขาชอบดื่มน้ำแอปเปิล
瓶,桌上有一瓶水。,There's a bottle of water on the table.,บนโต๊ะมีน้ำอยู่หนึ่งขวด
葡萄,我喜欢吃葡萄。,I like eating grapes.,ฉันชอบกินองุ่น
普通,他是一个普通人。,He is an ordinary person.,เขาเป็นคนธรรมดา
普通话,他普通话说得很好。,He speaks Mandarin very well.,เขาพูดภาษาจีนกลางได้ดีมาก
七八年,他学了七八年汉语。,He has studied Chinese for seven or eight years.,เขาเรียนภาษาจีนมาเจ็ดแปดปี
七个,桌上有七个苹果。,There are seven apples on the table.,บนโต๊ะมีแอปเปิลเจ็ดลูก
其实,其实我不喜欢咖啡。,"Actually, I don't like coffee.",จริงๆ แล้วฉันไม่ชอบกาแฟ
其他,我没有其他问题了。,I don't have any other questions.,ฉันไม่มีคำถามอื่นแล้ว
奇怪,这件事很奇怪。,This matter is very strange.,เรื่องนี้แปลกมาก
骑,他每天骑车上班。,He rides a bike to work every day.,เขาปั่นจักรยานไปทำงานทุกวัน
骑车,我每天骑车上班。,I ride a bike to work every day.,ฉันปั่นจักรยานไปทำงานทุกวัน
骑马,我们在草原上骑马。,We rode horses on the grassland.,เราขี่ม้าบนทุ่งหญ้า
起飞,飞机马上要起飞了。,The plane is about to take off.,เครื่องบินกำลังจะออกเดินทางแล้ว
起风,外面起风了。,It's getting windy outside.,ข้างนอกลมเริ่มพัดแล้ว
千种,这里有千种商品。,There are a thousand kinds of goods here.,ที่นี่มีสินค้านับพันชนิด
铅笔画,这是一张铅笔画。,This is a pencil drawing.,นี่คือภาพวาดดินสอ
前来,他前来看我们。,He came to see us.,เขามาเยี่ยมเรา
前两天,前两天下雨了。,It rained a couple of days ago.,เมื่อสองวันก่อนฝนตก
前年,我前年去过中国。,I went to China the year before last.,ฉันเคยไปจีนเมื่อสองปีก่อน
钱包,我的钱包丢了。,I lost my wallet.,กระเป๋าเงินของฉันหายไป
清楚,老师说得很清楚。,The teacher explained very clearly.,ครูพูดได้ชัดเจนมาก
请假,他今天请假了。,He took a day off today.,วันนี้เขาลาหยุด
请问,请问洗手间在哪儿？,"Excuse me, where is the restroom?",ขอถามหน่อยห้องน้ำอยู่ที่ไหน
秋季,秋季的树叶很漂亮。,The autumn leaves are very beautiful.,ใบไม้ในฤดูใบไม้ร่วงสวยงามมาก
秋天,秋天的天气很凉快。,The weather in autumn is nice and cool.,อากาศฤดูใบไม้ร่วงเย็นสบายมาก
裙子,她穿了一条新裙子。,She wore a new skirt.,เธอใส่กระโปรงตัวใหม่
