shard,hanzi,th_current,th_fixed,reason
rw-4,书桌下,แมวหลบอยู่ใต้โต๊ะหนังสือ,แมวหลบอยู่ใต้โต๊ะเขียนหนังสือ,书桌='desk'; โต๊ะหนังสือ ไม่ใช่คำไทยที่ใช้จริงสำหรับโต๊ะเขียนหนังสือ — ใช้ โต๊ะเขียนหนังสือ
rw-5,一共,ของพวกนี้รวมทั้งหมดราคาเท่าไหร่,ของพวกนี้รวมทั้งหมดราคาเท่าไหร่?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-5,饮料,คุณอยากดื่มเครื่องดื่มอะไร,คุณอยากดื่มเครื่องดื่มอะไร?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-5,有没有,คุณมีเวลาไหม,คุณมีเวลาไหม?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-5,再慢,คุณช้าลงอีกหน่อยได้ไหม,คุณช้าลงอีกหน่อยได้ไหม?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-5,怎么办,เรื่องนี้จะทำอย่างไรดี,เรื่องนี้จะทำอย่างไรดี?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-5,怎样,คุณคิดว่าอย่างไรบ้าง,คุณคิดว่าอย่างไรบ้าง?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-5,怎样才能,ทำอย่างไรถึงจะเรียนภาษาจีนได้ดี,ทำอย่างไรถึงจะเรียนภาษาจีนได้ดี?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-5,这么晚,ทำไมคุณกลับมาดึกขนาดนี้,ทำไมคุณกลับมาดึกขนาดนี้?,แหล่งที่มาเป็นประโยคคำถาม (？) — สไตล์ไกด์ให้คง ？→? ไว้ แต่ร่างนี้ตัดเครื่องหมายทิ้ง
rw-5,这段话,ข้อความช่วงนี้สำคัญมาก,ข้อความนี้สำคัญมาก,这段话='this passage'; ข้อความช่วงนี้ อ่านได้ว่า 'ช่วงเวลานี้' กำกวม — ข้อความนี้ ชัดกว่า
rw-5,影响,สภาพอากาศส่งผลกระทบต่อแผนของเรา,อากาศมีผลต่อแผนของเรา,ส่งผลกระทบต่อ เป็นทะเบียนข่าว/ทางการ; เสียงแมวเป็นกันเองตามไกด์ — อากาศมีผลต่อ เป็นภาษาพูด
